side,entry_time,entry_price,stop,target,timeout,target_updates,exit_time,exit_price,exit_reason,pnl,pnl_cum
down,2025-11-25 17:59:00+00:00,4146.25,4161.25,3786.25,2025-11-25 19:37:00+00:00,22,2025-11-25 19:37:00+00:00,4131.15,Timeout,15.100000000000364,15.100000000000364
down,2025-11-25 23:10:00+00:00,4132.8,4147.8,4057.8,2025-11-26 00:14:00+00:00,3,2025-11-26 00:14:00+00:00,4138.75,Timeout,-5.949999999999818,9.150000000000546
down,2025-11-26 06:19:00+00:00,4156.31,4171.31,4066.3100000000004,2025-11-26 07:32:00+00:00,4,2025-11-26 07:32:00+00:00,4154.9,Timeout,1.410000000000764,10.56000000000131
up,2025-11-26 13:42:00+00:00,4155.09,4140.09,4560.09,2025-11-26 15:59:00+00:00,25,2025-11-26 15:00:00+00:00,4140.09,Stop,-15.0,-4.43999999999869
up,2025-11-26 15:01:00+00:00,4139.16,4124.16,4529.16,2025-11-26 16:32:00+00:00,24,2025-11-26 16:32:00+00:00,4163.39,Timeout,24.230000000000473,19.790000000001783
up,2025-11-26 19:00:00+00:00,4165.1,4150.1,4210.1,2025-11-26 20:03:00+00:00,1,2025-11-26 20:03:00+00:00,4163.79,Timeout,-1.3100000000004002,18.480000000001382
down,2025-11-27 09:29:00+00:00,4155.59,4170.59,4125.59,2025-11-27 10:29:00+00:00,0,2025-11-27 10:29:00+00:00,4153.09,Timeout,2.5,20.980000000001382
down,2025-11-27 11:35:00+00:00,4159.9,4174.9,3064.8999999999996,2025-11-27 15:08:00+00:00,71,2025-11-27 15:08:00+00:00,4157.8,Timeout,2.0999999999994543,23.080000000000837
down,2025-11-28 00:44:00+00:00,4178.64,4193.64,3983.6400000000003,2025-11-28 02:12:00+00:00,11,2025-11-28 02:12:00+00:00,4187.91,Timeout,-9.269999999999527,13.81000000000131
down,2025-11-28 04:55:00+00:00,4188.51,4203.51,3918.51,2025-11-28 06:37:00+00:00,16,2025-11-28 06:37:00+00:00,4185.82,Timeout,2.6900000000005093,16.50000000000182
down,2025-11-28 08:04:00+00:00,4160.59,4175.59,4100.59,2025-11-28 09:05:00+00:00,2,2025-11-28 08:06:00+00:00,4175.59,Stop,-15.0,1.500000000001819
down,2025-11-28 08:07:00+00:00,4166.33,4181.33,3041.33,2025-11-28 12:19:00+00:00,73,2025-11-28 12:19:00+00:00,4174.73,Timeout,-8.399999999999636,-6.899999999997817
down,2025-11-28 12:35:00+00:00,4173.88,4188.88,3363.88,2025-11-28 15:09:00+00:00,52,2025-11-28 14:10:00+00:00,4188.88,Stop,-15.0,-21.899999999997817
down,2025-11-28 14:11:00+00:00,4188.8,4203.8,3843.8,2025-11-28 15:39:00+00:00,21,2025-11-28 14:40:00+00:00,4203.8,Stop,-15.0,-36.89999999999782
down,2025-11-28 14:41:00+00:00,4207.31,4222.31,4072.3100000000004,2025-11-28 16:21:00+00:00,7,2025-11-28 16:21:00+00:00,4207.11,Timeout,0.2000000000007276,-36.69999999999709
down,2025-11-28 16:37:00+00:00,4206.69,4221.69,4161.69,2025-11-28 17:37:00+00:00,1,2025-11-28 17:37:00+00:00,4212.29,Timeout,-5.600000000000364,-42.29999999999745
up,2025-11-28 18:18:00+00:00,4216.2,4201.2,4306.2,2025-11-28 19:35:00+00:00,4,2025-11-28 19:35:00+00:00,4217.51,Timeout,1.3100000000004002,-40.98999999999705
down,2025-11-30 23:02:00+00:00,4230.45,4245.45,4185.45,2025-12-01 00:02:00+00:00,1,2025-12-01 00:02:00+00:00,4222.74,Timeout,7.710000000000036,-33.27999999999702
down,2025-12-01 01:14:00+00:00,4230.69,4245.69,3705.6899999999996,2025-12-01 02:47:00+00:00,33,2025-12-01 01:54:00+00:00,4245.69,Stop,-15.0,-48.27999999999702
