side,entry_time,entry_price,stop,target,timeout,exit_time,exit_price,exit_reason,pnl
down,2025-11-25 17:14:00+00:00,4149.88,4164.88,4116.49,2025-11-25 18:48:00+00:00,2025-11-25 17:49:00+00:00,4151.38,Reverse,-1.5
up,2025-11-25 17:50:00+00:00,4151.7,4136.7,4181.7,2025-11-25 18:50:00+00:00,2025-11-25 17:50:00+00:00,4151.14,Reverse,-0.5599999999994907
down,2025-11-25 17:51:00+00:00,4150.82,4165.82,4104.47,2025-11-25 20:18:00+00:00,2025-11-25 20:18:00+00:00,4137.33,Timeout,13.489999999999782
down,2025-11-26 00:07:00+00:00,4134.91,4149.91,4104.91,2025-11-26 02:37:00+00:00,2025-11-26 01:40:00+00:00,4149.91,Stop,-15.0
down,2025-11-26 01:41:00+00:00,4150.12,4165.12,4120.12,2025-11-26 03:30:00+00:00,2025-11-26 02:31:00+00:00,4165.12,Stop,-15.0
down,2025-11-26 02:32:00+00:00,4165.16,4180.16,4126.45,2025-11-26 07:18:00+00:00,2025-11-26 06:19:00+00:00,4155.89,Reverse,9.269999999999527
up,2025-11-26 06:20:00+00:00,4156.22,4141.22,4186.22,2025-11-26 07:20:00+00:00,2025-11-26 06:28:00+00:00,4159.86,Reverse,3.639999999999418
down,2025-11-26 06:29:00+00:00,4159.57,4174.57,4118.26,2025-11-26 07:44:00+00:00,2025-11-26 07:23:00+00:00,4150.36,Reverse,9.210000000000036
up,2025-11-26 07:24:00+00:00,4150.67,4135.67,4180.67,2025-11-26 08:24:00+00:00,2025-11-26 08:24:00+00:00,4165.71,Timeout,15.039999999999964
down,2025-11-26 08:40:00+00:00,4162.65,4177.65,4125.56,2025-11-26 09:53:00+00:00,2025-11-26 09:53:00+00:00,4159.96,Timeout,2.6899999999996
down,2025-11-26 10:54:00+00:00,4159.86,4174.86,4129.86,2025-11-26 13:14:00+00:00,2025-11-26 12:16:00+00:00,4170.41,Reverse,-10.550000000000182
up,2025-11-26 12:17:00+00:00,4170.75,4155.75,4200.75,2025-11-26 13:28:00+00:00,2025-11-26 12:33:00+00:00,4161.91,Reverse,-8.840000000000146
down,2025-11-26 12:34:00+00:00,4161.64,4176.64,4114.45,2025-11-26 15:23:00+00:00,2025-11-26 14:24:00+00:00,4145.02,Reverse,16.61999999999989
up,2025-11-26 14:25:00+00:00,4145.18,4130.18,4175.18,2025-11-26 15:25:00+00:00,2025-11-26 14:25:00+00:00,4146.53,Reverse,1.3499999999994543
down,2025-11-26 14:26:00+00:00,4146.45,4161.45,4110.04,2025-11-26 16:26:00+00:00,2025-11-26 15:31:00+00:00,4161.45,Stop,-15.0
down,2025-11-26 15:34:00+00:00,4157.19,4172.19,4127.19,2025-11-26 17:03:00+00:00,2025-11-26 17:03:00+00:00,4167.41,Timeout,-10.220000000000255
down,2025-11-26 18:37:00+00:00,4163.46,4178.46,4133.46,2025-11-26 20:03:00+00:00,2025-11-26 20:03:00+00:00,4164.09,Timeout,-0.6300000000001091
up,2025-11-26 20:59:00+00:00,4164.16,4149.16,4194.16,2025-11-26 21:59:00+00:00,2025-11-26 21:24:00+00:00,4163.36,Reverse,-0.8000000000001819
down,2025-11-26 21:25:00+00:00,4163.09,4178.09,4133.09,2025-11-26 22:40:00+00:00,2025-11-26 23:01:00+00:00,4165.75,Timeout,-2.6599999999998545
down,2025-11-27 00:07:00+00:00,4164.45,4179.45,4134.39,2025-11-27 01:14:00+00:00,2025-11-27 00:16:00+00:00,4164.44,Reverse,0.010000000000218279
up,2025-11-27 00:17:00+00:00,4164.83,4149.83,4194.83,2025-11-27 01:17:00+00:00,2025-11-27 00:19:00+00:00,4164.55,Reverse,-0.27999999999974534
down,2025-11-27 00:20:00+00:00,4164.12,4179.12,4134.12,2025-11-27 01:26:00+00:00,2025-11-27 01:26:00+00:00,4152.77,Timeout,11.349999999999454
down,2025-11-27 01:27:00+00:00,4152.43,4167.43,4122.43,2025-11-27 02:27:00+00:00,2025-11-27 02:27:00+00:00,4150.74,Timeout,1.6900000000005093
down,2025-11-27 09:29:00+00:00,4155.59,4170.59,4124.04,2025-11-27 10:30:00+00:00,2025-11-27 10:30:00+00:00,4154.95,Timeout,0.6400000000003274
up,2025-11-27 11:35:00+00:00,4160.2,4145.2,4190.46,2025-11-27 12:37:00+00:00,2025-11-27 12:04:00+00:00,4159.18,Reverse,-1.019999999999527
down,2025-11-27 12:05:00+00:00,4158.94,4173.94,4120.56,2025-11-27 14:14:00+00:00,2025-11-27 13:19:00+00:00,4151.79,Reverse,7.149999999999636
up,2025-11-27 13:20:00+00:00,4152.19,4137.19,4186.13,2025-11-27 14:44:00+00:00,2025-11-27 13:45:00+00:00,4155.38,Reverse,3.1900000000005093
down,2025-11-27 13:46:00+00:00,4155.29,4170.29,4123.5,2025-11-27 15:08:00+00:00,2025-11-27 15:08:00+00:00,4157.8,Timeout,-2.5100000000002183
down,2025-11-28 00:09:00+00:00,4168.46,4183.46,4138.46,2025-11-28 01:59:00+00:00,2025-11-28 01:00:00+00:00,4183.46,Stop,-15.0
down,2025-11-28 01:02:00+00:00,4184.87,4199.87,4153.93,2025-11-28 02:29:00+00:00,2025-11-28 02:29:00+00:00,4190.13,Timeout,-5.260000000000218
down,2025-11-28 03:18:00+00:00,4186.59,4201.59,4156.49,2025-11-28 04:39:00+00:00,2025-11-28 04:39:00+00:00,4186.02,Timeout,0.569999999999709
up,2025-11-28 04:51:00+00:00,4188.6,4173.6,4218.71,2025-11-28 05:58:00+00:00,2025-11-28 05:01:00+00:00,4188.67,Reverse,0.06999999999970896
down,2025-11-28 05:02:00+00:00,4188.4,4203.4,4150.17,2025-11-28 06:14:00+00:00,2025-11-28 05:15:00+00:00,4182.69,Reverse,5.710000000000036
up,2025-11-28 05:16:00+00:00,4183.0,4168.0,4216.79,2025-11-28 06:22:00+00:00,2025-11-28 05:24:00+00:00,4168.0,Stop,-15.0
down,2025-11-28 05:31:00+00:00,4183.52,4198.52,4153.52,2025-11-28 07:44:00+00:00,2025-11-28 06:45:00+00:00,4187.67,Reverse,-4.149999999999636
