signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,signal_ts_close,update_ts_close,last_target_price,entry_target_price,exit_reason
2059,2025-12-10T19:44:00+00:00,2025-12-10T19:45:00+00:00,2025-12-10T19:52:00+00:00,0,down,4187.72,4202.72,-15.0,0.9975615467349218,0.9975615467349218,0,2059,2025-12-10T19:44:00+00:00,4187.99,4232.7,4137.467360000001,4137.467360000001,stop_loss
10248,2026-01-21T03:16:00+00:00,2026-01-21T03:17:00+00:00,2026-01-21T03:40:00+00:00,0,down,4830.58,4845.58,-15.0,0.9999648450118013,0.9999838953938841,3,10255,2026-01-21T03:23:00+00:00,4830.7,4854.22,4770.59752,4772.61304,stop_loss
10277,2026-01-21T03:45:00+00:00,2026-01-21T03:46:00+00:00,2026-01-21T04:35:00+00:00,0,down,4841.15,4856.15,-15.0,0.9996354436698359,0.9996780981732618,2,10279,2026-01-21T03:47:00+00:00,4840.82,4865.13,4782.64124,4783.0562,stop_loss
10350,2026-01-21T04:58:00+00:00,2026-01-21T04:59:00+00:00,2026-01-21T06:22:00+00:00,0,down,4864.79,4879.79,-15.0,0.9998543174588491,0.9996051735985021,17,10388,2026-01-21T05:36:00+00:00,4865.0,4879.29,4816.03564,4806.41252,stop_loss
14512,2026-01-29T00:00:00+00:00,2026-01-29T00:01:00+00:00,2026-01-29T00:07:00+00:00,0,down,5487.0,5502.0,-15.0,0.9674916717921428,0.9624587807070049,0,14512,2026-01-29T00:00:00+00:00,5489.15,5490.06,5421.156,5421.156,stop_loss
14519,2026-01-29T00:07:00+00:00,2026-01-29T00:08:00+00:00,2026-01-29T00:33:00+00:00,0,down,5502.26,5517.26,-15.0,0.9907480180661439,0.9089103001076628,2,14526,2026-01-29T00:14:00+00:00,5504.74,5480.03,5430.91744,5436.2328800000005,stop_loss
14546,2026-01-29T00:34:00+00:00,2026-01-29T00:35:00+00:00,2026-01-29T01:40:00+00:00,0,down,5521.15,5536.15,-15.0,0.9950292712040312,0.9851043562751921,0,14546,2026-01-29T00:34:00+00:00,5521.48,5520.82,5454.896199999999,5454.896199999999,stop_loss
14912,2026-01-29T15:10:00+00:00,2026-01-29T15:11:00+00:00,2026-01-29T15:11:00+00:00,2,up,5427.06,5412.06,-15.0,0.9394992920506692,0.9394992920506692,0,14912,2026-01-29T15:10:00+00:00,5425.17,5237.58,5492.18472,5492.18472,stop_loss
14913,2026-01-29T15:11:00+00:00,2026-01-29T15:12:00+00:00,2026-01-29T15:12:00+00:00,2,up,5412.81,5397.81,-15.0,0.8049745028899412,0.8049745028899412,0,14913,2026-01-29T15:11:00+00:00,5410.84,5250.95,5477.763720000001,5477.763720000001,stop_loss
14914,2026-01-29T15:12:00+00:00,2026-01-29T15:13:00+00:00,2026-01-29T15:13:00+00:00,2,up,5428.14,5413.14,-15.0,0.991929822176103,0.991929822176103,0,14914,2026-01-29T15:12:00+00:00,5426.59,5251.86,5493.27768,5493.27768,stop_loss
14915,2026-01-29T15:13:00+00:00,2026-01-29T15:14:00+00:00,2026-01-29T15:14:00+00:00,2,up,5411.29,5396.29,-15.0,0.9912421739042874,0.9912421739042874,0,14915,2026-01-29T15:13:00+00:00,5408.19,5268.61,5476.22548,5476.22548,stop_loss
14916,2026-01-29T15:14:00+00:00,2026-01-29T15:15:00+00:00,2026-01-29T15:15:00+00:00,2,up,5384.64,5369.64,-15.0,0.9117002498910978,0.9117002498910978,0,14916,2026-01-29T15:14:00+00:00,5381.95,5271.93,5449.25568,5449.25568,stop_loss
14957,2026-01-29T15:55:00+00:00,2026-01-29T15:56:00+00:00,2026-01-29T15:57:00+00:00,2,up,5186.71,5171.71,-15.0,0.5546993010912747,0.5546993010912747,0,14957,2026-01-29T15:55:00+00:00,5182.6,5252.35,5248.95052,5248.95052,stop_loss
15037,2026-01-29T17:15:00+00:00,2026-01-29T17:16:00+00:00,2026-01-29T17:18:00+00:00,0,down,5319.7,5334.7,-15.0,0.9971819735388016,0.9971819735388016,0,15037,2026-01-29T17:15:00+00:00,5321.45,5357.91,5255.8636,5255.8636,stop_loss
15157,2026-01-29T19:15:00+00:00,2026-01-29T19:16:00+00:00,2026-01-29T19:18:00+00:00,0,down,5313.11,5328.11,-15.0,0.9995024254904561,0.9999780591983052,2,15159,2026-01-29T19:17:00+00:00,5314.94,5303.28,5261.5841199999995,5249.35268,stop_loss
15160,2026-01-29T19:18:00+00:00,2026-01-29T19:19:00+00:00,2026-01-29T20:28:00+00:00,0,down,5323.21,5319.72,3.4899999999997817,0.9999775794056015,0.9997868452583799,0,15160,2026-01-29T19:18:00+00:00,5325.16,5307.98,5259.33148,5259.33148,timeout
15459,2026-01-30T01:48:00+00:00,2026-01-30T01:49:00+00:00,2026-01-30T01:59:00+00:00,2,up,5319.1,5304.1,-15.0,0.8919980245033393,0.9769080400413015,1,15460,2026-01-30T01:49:00+00:00,5318.01,5236.96,5392.5938,5382.9292000000005,stop_loss
15470,2026-01-30T01:59:00+00:00,2026-01-30T02:00:00+00:00,2026-01-30T02:00:00+00:00,2,up,5302.28,5287.28,-15.0,0.9568002547677024,0.9568002547677024,0,15470,2026-01-30T01:59:00+00:00,5299.94,5223.85,5365.90736,5365.90736,stop_loss
15472,2026-01-30T02:01:00+00:00,2026-01-30T02:02:00+00:00,2026-01-30T02:04:00+00:00,2,up,5310.4,5295.4,-15.0,0.6739566733773117,0.6373761138969942,0,15472,2026-01-30T02:01:00+00:00,5310.7,5219.15,5374.1248,5374.1248,stop_loss
15483,2026-01-30T02:12:00+00:00,2026-01-30T02:13:00+00:00,2026-01-30T02:14:00+00:00,2,up,5222.82,5207.82,-15.0,0.6670078528099141,0.7804835186615798,0,15483,2026-01-30T02:12:00+00:00,5218.85,5188.4,5285.49384,5285.49384,stop_loss
15485,2026-01-30T02:14:00+00:00,2026-01-30T02:15:00+00:00,2026-01-30T02:15:00+00:00,2,up,5214.23,5199.23,-15.0,0.6251733830314079,0.6251733830314079,0,15485,2026-01-30T02:14:00+00:00,5210.18,5180.46,5276.800759999999,5276.800759999999,stop_loss
15487,2026-01-30T02:16:00+00:00,2026-01-30T02:17:00+00:00,2026-01-30T02:17:00+00:00,2,up,5193.68,5178.68,-15.0,0.8027127356474562,0.8027127356474562,0,15487,2026-01-30T02:16:00+00:00,5191.35,5189.5,5256.00416,5256.00416,stop_loss
15488,2026-01-30T02:17:00+00:00,2026-01-30T02:18:00+00:00,2026-01-30T02:18:00+00:00,2,up,5194.95,5179.95,-15.0,0.9481797407658403,0.9481797407658403,0,15488,2026-01-30T02:17:00+00:00,5191.6,5192.95,5257.2894,5257.2894,stop_loss
15490,2026-01-30T02:19:00+00:00,2026-01-30T02:20:00+00:00,2026-01-30T02:21:00+00:00,2,up,5148.69,5133.69,-15.0,0.5661683579556359,0.5661683579556359,0,15490,2026-01-30T02:19:00+00:00,5142.65,5188.98,5210.474279999999,5210.474279999999,stop_loss
15496,2026-01-30T02:25:00+00:00,2026-01-30T02:26:00+00:00,2026-01-30T02:29:00+00:00,2,up,5176.78,5161.78,-15.0,0.6150082540385513,0.56201723904629,1,15497,2026-01-30T02:26:00+00:00,5173.71,5197.83,5246.6633999999995,5238.90136,stop_loss
15500,2026-01-30T02:29:00+00:00,2026-01-30T02:30:00+00:00,2026-01-30T02:31:00+00:00,2,up,5173.6,5158.6,-15.0,0.9585613963664645,0.5736918811841099,0,15500,2026-01-30T02:29:00+00:00,5170.2,5198.31,5235.6832,5235.6832,stop_loss
15502,2026-01-30T02:31:00+00:00,2026-01-30T02:32:00+00:00,2026-01-30T02:39:00+00:00,2,up,5145.93,5214.85624,68.92623999999978,0.8591205786529723,0.8043273609772709,1,15503,2026-01-30T02:32:00+00:00,5145.53,5202.35,5214.85624,5207.68116,target_hit
15510,2026-01-30T02:39:00+00:00,2026-01-30T02:40:00+00:00,2026-01-30T03:05:00+00:00,2,up,5212.4,5197.4,-15.0,0.5814316533323604,0.9647019376977298,1,15513,2026-01-30T02:42:00+00:00,5209.9,5169.14,5282.488200000001,5274.948799999999,stop_loss
15536,2026-01-30T03:05:00+00:00,2026-01-30T03:06:00+00:00,2026-01-30T03:14:00+00:00,2,up,5191.46,5176.46,-15.0,0.9664486286877112,0.6869484943931475,1,15538,2026-01-30T03:07:00+00:00,5189.3,5218.5,5258.4026,5253.75752,stop_loss
15545,2026-01-30T03:14:00+00:00,2026-01-30T03:15:00+00:00,2026-01-30T03:39:00+00:00,2,up,5182.66,5167.66,-15.0,0.7773637410878106,0.7773637410878106,0,15545,2026-01-30T03:14:00+00:00,5180.46,5213.55,5244.85192,5244.85192,stop_loss
15711,2026-01-30T06:00:00+00:00,2026-01-30T06:01:00+00:00,2026-01-30T06:03:00+00:00,0,down,5187.59,5202.59,-15.0,0.9999443197643038,0.9999443197643038,0,15711,2026-01-30T06:00:00+00:00,5190.1,5132.4,5125.33892,5125.33892,stop_loss
15718,2026-01-30T06:07:00+00:00,2026-01-30T06:08:00+00:00,2026-01-30T06:10:00+00:00,0,down,5180.5,5195.5,-15.0,0.9999549738568396,0.999912659126787,1,15720,2026-01-30T06:09:00+00:00,5183.0,5167.25,5131.54356,5118.334,stop_loss
15721,2026-01-30T06:10:00+00:00,2026-01-30T06:11:00+00:00,2026-01-30T15:00:00+00:00,0,down,5201.06,5138.64728,62.41272000000026,0.9998878698558743,0.9974078770719738,0,15721,2026-01-30T06:10:00+00:00,5203.15,5174.31,5138.64728,5138.64728,target_hit
15786,2026-01-30T15:15:00+00:00,2026-01-30T15:16:00+00:00,2026-01-30T15:50:00+00:00,2,up,5037.68,5062.03,24.349999999999454,0.9871117823833648,0.9931393781418371,1,15787,2026-01-30T15:16:00+00:00,5035.5,5025.55,5102.9594,5098.13216,reverse_signal
15835,2026-01-30T16:04:00+00:00,2026-01-30T16:05:00+00:00,2026-01-30T16:35:00+00:00,0,down,5023.1,4972.1594000000005,50.940599999999904,0.9972508250696134,0.999365879228305,2,15846,2026-01-30T16:15:00+00:00,5023.18,4926.08,4972.1594000000005,4962.8228,target_hit
15876,2026-01-30T16:45:00+00:00,2026-01-30T16:46:00+00:00,2026-01-30T16:48:00+00:00,2,up,5005.05,4990.05,-15.0,0.692637850242534,0.5788466029984302,1,15877,2026-01-30T16:46:00+00:00,5003.25,4868.85,5066.39584,5065.1106,stop_loss
15881,2026-01-30T16:50:00+00:00,2026-01-30T16:51:00+00:00,2026-01-30T16:51:00+00:00,2,up,4973.4,4958.4,-15.0,0.6251900451733512,0.6251900451733512,0,15881,2026-01-30T16:50:00+00:00,4971.15,4854.45,5033.0808,5033.0808,stop_loss
15882,2026-01-30T16:51:00+00:00,2026-01-30T16:52:00+00:00,2026-01-30T16:52:00+00:00,2,up,4962.85,4947.85,-15.0,0.622353331912549,0.622353331912549,0,15882,2026-01-30T16:51:00+00:00,4961.04,4846.15,5022.4042,5022.4042,stop_loss
15883,2026-01-30T16:52:00+00:00,2026-01-30T16:53:00+00:00,2026-01-30T16:54:00+00:00,2,up,4967.32,4976.75,9.430000000000291,0.575493653039358,0.575493653039358,0,15883,2026-01-30T16:52:00+00:00,4962.95,4831.25,5026.927839999999,5026.927839999999,reverse_signal
15885,2026-01-30T16:54:00+00:00,2026-01-30T16:55:00+00:00,2026-01-30T16:59:00+00:00,0,down,4977.3,4981.3,-4.0,0.8287013439070013,0.927683073802957,3,15888,2026-01-30T16:57:00+00:00,4980.05,4848.7,4919.3014,4917.5724,reverse_signal
15891,2026-01-30T17:00:00+00:00,2026-01-30T17:01:00+00:00,2026-01-30T17:12:00+00:00,0,down,4978.55,4915.8434,62.706600000000435,0.9326997024860434,0.9449474409521175,3,15895,2026-01-30T17:04:00+00:00,4979.85,4882.86,4915.8434,4918.807400000001,target_hit
15906,2026-01-30T17:15:00+00:00,2026-01-30T17:16:00+00:00,2026-01-30T17:17:00+00:00,2,up,4928.73,4913.73,-15.0,0.5613495655766292,0.5675547520913446,0,15906,2026-01-30T17:15:00+00:00,4924.55,4797.96,4987.87476,4987.87476,stop_loss
15910,2026-01-30T17:19:00+00:00,2026-01-30T17:20:00+00:00,2026-01-30T17:33:00+00:00,2,up,4906.21,4891.21,-15.0,0.5759353759104411,0.5530373221774109,1,15911,2026-01-30T17:20:00+00:00,4904.05,4729.15,4966.835279999999,4965.08452,stop_loss
15924,2026-01-30T17:33:00+00:00,2026-01-30T17:34:00+00:00,2026-01-30T17:39:00+00:00,2,up,4905.45,4890.45,-15.0,0.6646959632039394,0.6646959632039394,0,15924,2026-01-30T17:33:00+00:00,4903.15,4764.95,4964.3153999999995,4964.3153999999995,stop_loss
16019,2026-01-30T19:08:00+00:00,2026-01-30T19:09:00+00:00,2026-01-30T19:09:00+00:00,0,down,4894.15,4909.15,-15.0,0.9326796356919649,0.9326796356919649,0,16019,2026-01-30T19:08:00+00:00,4896.7,4891.25,4835.4202,4835.4202,stop_loss
16022,2026-01-30T19:11:00+00:00,2026-01-30T19:12:00+00:00,2026-01-30T19:29:00+00:00,0,down,4885.4,4900.4,-15.0,0.9458705264565365,0.9763850121654783,2,16024,2026-01-30T19:13:00+00:00,4888.17,4897.05,4818.821800000001,4826.7752,stop_loss
16118,2026-01-30T20:47:00+00:00,2026-01-30T20:48:00+00:00,2026-01-30T21:06:00+00:00,0,down,4866.51,4844.59,21.920000000000073,0.9667488204759118,0.6433351374225313,2,16120,2026-01-30T20:49:00+00:00,4869.91,4865.27,4807.96368,4808.11188,reverse_signal
16140,2026-01-30T21:09:00+00:00,2026-01-30T21:10:00+00:00,2026-02-01T23:02:00+00:00,2,up,4844.83,4829.83,-15.0,0.9126435851912317,0.9126435851912317,0,16140,2026-01-30T21:09:00+00:00,4842.95,4714.73,4902.96796,4902.96796,stop_loss
