side,entry_time,entry_price,stop,target,timeout,target_updates,exit_time,exit_price,exit_reason,pnl
down,2025-11-25 17:54:00+00:00,4145.75,4160.75,4115.75,2025-11-25 18:54:00+00:00,0,2025-11-25 17:55:00+00:00,4147.51,Reverse,-1.7600000000002183
up,2025-11-25 17:56:00+00:00,4147.91,4132.91,4177.91,2025-11-25 18:56:00+00:00,0,2025-11-25 17:59:00+00:00,4146.37,Reverse,-1.5399999999999636
down,2025-11-25 18:00:00+00:00,4145.99,4160.99,4115.99,2025-11-25 19:00:00+00:00,0,2025-11-25 18:00:00+00:00,4147.83,Reverse,-1.8400000000001455
up,2025-11-25 18:01:00+00:00,4148.22,4133.22,4178.22,2025-11-25 19:01:00+00:00,0,2025-11-25 18:38:00+00:00,4135.96,Reverse,-12.260000000000218
down,2025-11-25 18:39:00+00:00,4135.76,4150.76,4100.14,2025-11-25 20:24:00+00:00,3,2025-11-25 20:24:00+00:00,4134.27,Timeout,1.4899999999997817
down,2025-11-25 23:04:00+00:00,4134.02,4149.02,4102.94,2025-11-26 01:01:00+00:00,1,2025-11-26 01:01:00+00:00,4140.14,Timeout,-6.119999999999891
down,2025-11-26 06:19:00+00:00,4156.31,4171.31,4118.26,2025-11-26 07:42:00+00:00,6,2025-11-26 07:42:00+00:00,4154.65,Timeout,1.660000000000764
down,2025-11-26 11:36:00+00:00,4171.68,4186.68,4122.95,2025-11-26 14:11:00+00:00,6,2025-11-26 13:12:00+00:00,4159.71,Reverse,11.970000000000255
up,2025-11-26 13:13:00+00:00,4159.99,4144.99,4190.13,2025-11-26 14:13:00+00:00,1,2025-11-26 13:17:00+00:00,4159.61,Reverse,-0.38000000000010914
down,2025-11-26 13:18:00+00:00,4159.32,4174.32,4129.32,2025-11-26 14:29:00+00:00,0,2025-11-26 13:30:00+00:00,4160.7,Reverse,-1.3800000000001091
up,2025-11-26 13:31:00+00:00,4161.02,4146.02,4191.16,2025-11-26 14:32:00+00:00,2,2025-11-26 13:33:00+00:00,4160.65,Reverse,-0.37000000000080036
down,2025-11-26 13:34:00+00:00,4160.5,4175.5,4129.87,2025-11-26 14:34:00+00:00,1,2025-11-26 13:35:00+00:00,4158.38,Reverse,2.119999999999891
up,2025-11-26 13:36:00+00:00,4158.49,4143.49,4188.49,2025-11-26 14:37:00+00:00,0,2025-11-26 13:39:00+00:00,4159.16,Reverse,0.6700000000000728
down,2025-11-26 13:40:00+00:00,4158.85,4173.85,4128.85,2025-11-26 14:40:00+00:00,0,2025-11-26 13:41:00+00:00,4154.86,Reverse,3.990000000000691
up,2025-11-26 13:42:00+00:00,4155.09,4140.09,4186.69,2025-11-26 15:05:00+00:00,3,2025-11-26 14:06:00+00:00,4149.37,Reverse,-5.720000000000255
down,2025-11-26 14:07:00+00:00,4149.28,4164.28,4114.04,2025-11-26 15:15:00+00:00,2,2025-11-26 14:16:00+00:00,4147.96,Reverse,1.319999999999709
up,2025-11-26 14:17:00+00:00,4148.31,4133.31,4178.48,2025-11-26 15:17:00+00:00,1,2025-11-26 14:18:00+00:00,4146.57,Reverse,-1.7400000000006912
down,2025-11-26 14:19:00+00:00,4146.45,4161.45,4116.45,2025-11-26 15:19:00+00:00,0,2025-11-26 14:20:00+00:00,4147.41,Reverse,-0.9600000000000364
up,2025-11-26 14:21:00+00:00,4147.76,4132.76,4177.76,2025-11-26 15:22:00+00:00,0,2025-11-26 14:23:00+00:00,4146.53,Reverse,-1.230000000000473
down,2025-11-26 14:24:00+00:00,4146.15,4161.15,4114.39,2025-11-26 15:28:00+00:00,2,2025-11-26 14:29:00+00:00,4142.09,Reverse,4.059999999999491
up,2025-11-26 14:30:00+00:00,4142.38,4127.38,4172.38,2025-11-26 15:30:00+00:00,0,2025-11-26 14:30:00+00:00,4144.91,Reverse,2.5299999999997453
down,2025-11-26 14:31:00+00:00,4144.79,4159.79,4114.79,2025-11-26 15:31:00+00:00,0,2025-11-26 14:31:00+00:00,4146.86,Reverse,-2.069999999999709
