horizon,tp,sl,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
15,40,20,10856,67,15,93.3,686.85,45.79
15,40,15,10856,66,16,87.5,644.28,40.27
15,40,25,10856,71,19,89.5,627.18,33.01
15,40,30,10856,76,17,82.4,553.13,32.54
15,40,10,10856,60,15,73.3,488.87,32.59
15,45,25,10856,54,10,90.0,471.6,47.16
15,45,15,10856,53,8,100.0,447.72,55.96
15,45,30,10856,55,10,90.0,447.24,44.72
15,45,20,10856,55,9,88.9,444.82,49.42
60,45,25,10856,70,17,64.7,403.9,23.76
30,45,30,10856,121,16,68.8,389.28,24.33
45,45,30,10856,75,18,72.2,377.93,21.0
15,45,10,10856,49,13,61.5,374.77,28.83
60,30,15,10856,199,70,50.0,373.59,5.34
30,45,15,10856,101,19,57.9,328.89,17.31
15,30,15,10856,137,37,59.5,318.12,8.6
60,45,20,10856,52,17,58.8,307.23,18.07
60,45,30,10856,93,19,57.9,304.06,16.0
60,45,15,10856,49,15,60.0,297.6,19.84
30,45,25,10856,113,15,60.0,293.36,19.56
30,40,25,10856,99,17,64.7,289.45,17.03
15,30,10,10856,102,27,59.3,274.37,10.16
15,30,20,10856,115,26,57.7,267.76,10.3
30,45,20,10856,120,20,50.0,244.95,12.25
30,40,15,10856,84,19,57.9,241.05,12.69
45,40,30,10856,106,21,61.9,236.06,11.24
60,30,25,10856,249,70,45.7,229.82,3.28
45,45,25,10856,67,18,50.0,218.37,12.13
30,40,30,10856,102,19,63.2,212.71,11.2
60,15,10,10856,1060,359,39.0,203.38,0.57
45,45,10,10856,38,19,47.4,199.64,10.51
15,20,10,10856,284,97,40.2,199.36,2.06
30,30,15,10856,155,50,46.0,179.65,3.59
45,30,15,10856,175,61,44.3,178.01,2.92
30,40,20,10856,97,18,50.0,173.38,9.63
60,45,10,10856,42,18,44.4,173.08,9.62
60,30,10,10856,155,65,40.0,166.92,2.57
45,45,15,10856,43,16,43.8,162.6,10.16
60,30,20,10856,244,75,48.0,159.2,2.12
45,40,25,10856,110,23,56.5,157.85,6.86
30,30,20,10856,213,57,47.4,143.43,2.52
45,40,20,10856,110,20,50.0,142.47,7.12
45,20,15,10856,681,228,43.9,139.02,0.61
45,30,10,10856,124,54,40.7,132.87,2.46
60,40,20,10856,99,23,52.2,123.01,5.35
45,45,20,10856,50,16,43.8,122.88,7.68
30,20,10,10856,376,148,37.2,118.52,0.8
45,40,10,10856,47,21,38.1,114.01,5.43
60,40,10,10856,59,22,45.5,112.67,5.12
30,30,10,10856,99,44,43.2,111.78,2.54
60,40,15,10856,77,24,45.8,107.29,4.47
15,30,25,10856,143,34,47.1,106.61,3.14
15,20,15,10856,340,103,39.8,100.74,0.98
60,20,10,10856,606,224,35.7,97.59,0.44
45,40,15,10856,86,25,40.0,97.13,3.89
30,30,25,10856,200,51,43.1,82.8,1.62
60,40,25,10856,129,25,40.0,82.22,3.29
30,45,10,10856,76,19,26.3,81.6,4.29
60,40,30,10856,160,29,44.8,75.17,2.59
30,20,15,10856,426,141,42.6,40.79,0.29
30,40,10,10856,44,17,35.3,34.46,2.03
45,30,25,10856,215,59,47.5,7.27,0.12
45,30,20,10856,230,66,43.9,-12.47,-0.19
45,20,10,10856,514,201,35.3,-19.36,-0.1
15,15,10,10856,599,214,37.9,-44.36,-0.21
60,20,15,10856,817,260,40.0,-77.47,-0.3
30,15,10,10856,805,307,36.5,-255.25,-0.83
45,15,10,10856,955,334,35.0,-258.82,-0.77
