wr90_min,ret_3m_min,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl,target_plus,target_pct
-30,4,10856,79,32,43.8,163.45,5.11,929,8.6
-30,6,5151,63,30,43.3,141.88,4.73,609,11.8
-20,12,938,26,14,50.0,135.02,9.64,161,17.2
-10,12,739,15,10,60.0,120.63,12.06,126,17.1
-20,10,1414,30,14,50.0,117.93,8.42,240,17.0
-30,10,1676,39,20,45.0,114.71,5.74,290,17.3
-30,12,1098,33,19,42.1,114.63,6.03,194,17.7
-10,10,1103,16,10,60.0,98.52,9.85,186,16.9
-40,4,12633,100,39,38.5,95.36,2.45,1070,8.5
-30,8,2843,54,26,38.5,93.14,3.58,416,14.6
-10,8,1839,21,12,50.0,81.67,6.81,264,14.4
-40,6,5958,81,37,37.8,73.79,1.99,702,11.8
-20,4,8869,53,21,38.1,73.51,3.5,767,8.6
-10,4,6568,24,13,46.2,68.24,5.25,547,8.3
-10,6,3229,23,13,46.2,66.67,5.13,378,11.7
-50,4,14542,114,43,34.9,61.57,1.43,1205,8.3
-20,15,547,17,11,45.5,60.63,5.51,94,17.2
-50,6,6848,93,40,35.0,58.27,1.46,800,11.7
-60,4,16596,130,47,34.0,55.49,1.18,1373,8.3
-20,8,2375,39,19,36.8,55.21,2.91,346,14.6
-60,6,7790,108,44,34.1,45.83,1.04,916,11.8
-10,15,434,9,6,50.0,45.63,7.6,77,17.7
-30,15,641,22,15,40.0,45.63,3.04,109,17.0
-20,6,4269,45,20,35.0,40.21,2.01,509,11.9
-40,15,735,26,18,38.9,37.54,2.09,132,18.0
-40,12,1274,42,26,34.6,31.43,1.21,230,18.1
-10,20,198,4,3,66.7,21.49,7.16,39,19.7
-40,10,1939,52,28,35.7,16.51,0.59,334,17.2
-60,15,950,32,23,34.8,7.54,0.33,183,19.3
-10,18,257,5,4,50.0,6.49,1.62,54,21.0
-70,4,18821,154,55,32.7,4.04,0.07,1555,8.3
-70,15,1105,38,28,35.7,3.53,0.13,214,19.4
-50,10,2248,58,29,34.5,1.51,0.05,381,16.9
-50,12,1458,47,28,32.1,1.43,0.05,261,17.9
-70,6,8842,127,51,33.3,-3.66,-0.07,1045,11.8
-40,8,3265,69,33,30.3,-6.8,-0.21,484,14.8
-20,20,249,9,5,40.0,-8.51,-1.7,50,20.1
-50,15,836,30,22,31.8,-22.46,-1.02,153,18.3
-20,18,335,10,6,33.3,-23.51,-3.92,67,20.0
-30,20,296,12,7,28.6,-38.51,-5.5,57,19.3
-40,20,338,13,8,25.0,-53.51,-6.69,68,20.1
-30,18,396,14,8,25.0,-53.51,-6.69,77,19.4
-60,8,4271,92,43,27.9,-63.77,-1.48,640,15.0
-50,8,3767,78,37,27.0,-66.8,-1.81,558,14.8
-60,20,436,14,9,22.2,-68.51,-7.61,94,21.6
-50,20,386,14,9,22.2,-68.51,-7.61,80,20.7
-40,18,451,15,9,22.2,-68.51,-7.61,93,20.6
-60,10,2564,68,35,31.4,-81.89,-2.34,439,17.1
-60,12,1677,55,32,28.1,-82.45,-2.58,304,18.1
-70,20,510,17,12,25.0,-87.52,-7.29,109,21.4
-70,8,4866,104,48,29.2,-98.25,-2.05,733,15.1
-60,18,585,17,11,18.2,-98.51,-8.96,128,21.9
-50,18,515,17,11,18.2,-98.51,-8.96,109,21.2
-70,18,693,21,14,21.4,-117.52,-8.39,149,21.5
-70,12,1939,63,38,26.3,-134.77,-3.55,350,18.1
-70,10,2937,78,41,29.3,-136.94,-3.34,504,17.2
