fall,bounce,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
25,5,54441,5503,281,41.6,520.97,1.85
25,8,48913,5302,277,41.2,418.81,1.51
25,12,40416,4949,260,42.7,409.44,1.57
25,10,44580,5146,276,42.4,404.07,1.46
15,5,97437,6889,327,41.0,374.68,1.15
40,30,11102,2832,142,42.3,369.37,2.6
20,5,72470,6197,300,39.3,341.58,1.14
30,5,41685,4863,265,41.1,339.28,1.28
50,12,15396,2938,166,43.4,328.79,1.98
50,5,17679,3145,176,40.9,323.48,1.84
35,30,12839,3097,159,41.5,318.17,2.0
35,12,26072,3934,217,41.0,299.39,1.38
50,10,16229,3025,170,41.8,298.18,1.75
40,12,21664,3562,196,40.8,287.09,1.46
35,5,32628,4358,241,39.0,276.25,1.15
35,10,28104,4098,225,40.0,276.18,1.23
50,15,14094,2833,157,42.7,273.36,1.74
40,5,26412,3923,221,38.9,268.72,1.22
45,12,18014,3194,181,41.4,263.03,1.45
30,10,34986,4539,250,40.8,261.53,1.05
45,5,21324,3444,199,40.2,255.56,1.28
35,25,15751,3297,172,41.9,251.82,1.46
50,8,16999,3076,174,40.8,248.95,1.43
35,8,30240,4215,230,39.1,245.99,1.07
30,12,32164,4358,236,41.1,244.92,1.04
15,8,86145,6666,326,40.8,242.18,0.74
30,8,37988,4673,256,40.2,241.72,0.94
30,30,14908,3417,172,42.4,240.28,1.4
25,30,17874,3813,184,41.8,231.17,1.26
40,25,13460,3011,159,42.1,229.87,1.45
20,8,64665,5975,298,38.9,228.82,0.77
20,10,58571,5789,296,39.9,227.9,0.77
40,15,19473,3414,184,40.2,225.44,1.23
30,25,18420,3632,186,43.0,222.93,1.2
40,10,23235,3699,210,39.0,218.83,1.04
35,15,23116,3754,202,40.1,214.37,1.06
40,8,24769,3796,212,38.7,214.07,1.01
50,25,10249,2501,144,43.8,211.11,1.47
45,30,9648,2561,137,41.6,206.88,1.51
15,10,77937,6470,321,41.7,205.61,0.64
45,10,19106,3289,188,39.4,202.87,1.08
15,12,69960,6230,309,42.1,200.68,0.65
50,30,8717,2353,130,43.1,198.96,1.53
45,25,11558,2714,152,42.1,197.8,1.3
20,12,52645,5565,286,40.2,190.11,0.66
35,20,19089,3520,187,39.6,188.94,1.01
45,15,16280,3075,173,40.5,176.6,1.02
30,20,22612,3891,205,41.5,171.02,0.83
45,8,20195,3347,191,38.7,164.82,0.86
40,20,16240,3222,173,39.9,149.61,0.86
45,20,13770,2898,165,40.6,146.75,0.89
25,25,22435,4077,204,41.7,146.03,0.72
50,20,12101,2664,153,41.8,143.54,0.94
30,15,28119,4153,218,40.4,130.37,0.6
25,15,34981,4712,240,39.6,127.39,0.53
20,30,22228,4271,204,39.7,75.35,0.37
20,15,44771,5306,268,39.2,29.1,0.11
25,20,27621,4395,220,39.5,17.7,0.08
20,25,27889,4591,223,40.4,12.12,0.05
15,15,59425,5946,289,40.5,-8.02,-0.03
15,30,28431,4838,239,40.2,-47.57,-0.2
15,25,36198,5178,253,40.7,-101.0,-0.4
20,20,34629,4945,246,38.2,-104.76,-0.43
15,20,45537,5565,272,39.7,-119.18,-0.44
