horizon,tp,sl,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
15,40,30,54441,1730,168,50.0,977.22,5.82
15,40,25,54441,1826,171,46.8,935.4,5.47
15,40,10,54441,1770,265,29.1,909.26,3.43
15,40,20,54441,1845,183,41.5,859.89,4.7
15,45,30,54441,1404,113,47.8,836.03,7.4
15,45,20,54441,1258,138,44.2,806.18,5.84
60,40,25,54441,4222,223,41.7,725.99,3.26
15,45,15,54441,1274,169,37.3,709.29,4.2
15,40,15,54441,1919,206,33.5,695.01,3.37
15,45,25,54441,1362,120,42.5,674.7,5.62
15,45,10,54441,1138,173,27.7,672.99,3.89
60,40,10,54441,4338,343,24.5,669.74,1.95
30,40,10,54441,2530,269,26.4,613.99,2.28
60,40,20,54441,4267,246,37.0,586.51,2.38
45,30,15,54441,5853,389,31.4,542.44,1.39
60,40,15,54441,4366,299,32.1,524.61,1.75
45,45,30,54441,2536,142,40.8,480.42,3.38
60,30,25,54441,6467,315,41.3,472.43,1.5
45,20,10,54441,7945,726,29.3,458.71,0.63
45,40,20,54441,3550,240,35.8,451.02,1.88
45,30,25,54441,5846,310,40.3,450.63,1.45
30,40,15,54441,2805,239,32.6,432.07,1.81
60,45,15,54441,3477,237,30.0,423.89,1.79
45,40,30,54441,3635,214,41.6,411.99,1.93
30,40,30,54441,2844,177,37.3,399.41,2.26
60,30,10,54441,6087,474,24.3,373.38,0.79
60,45,10,54441,3251,279,21.9,372.98,1.34
30,40,20,54441,2904,206,35.4,369.71,1.79
45,30,20,54441,6188,374,36.4,367.5,0.98
60,30,15,54441,6503,400,32.8,363.27,0.91
45,45,25,54441,2620,162,36.4,354.75,2.19
30,45,10,54441,2136,220,22.7,353.88,1.61
60,45,30,54441,3329,150,40.0,348.05,2.32
30,45,25,54441,2324,150,38.7,346.98,2.31
60,40,30,54441,4247,204,44.1,340.3,1.67
60,30,20,54441,6609,356,35.4,323.68,0.91
30,45,20,54441,2273,161,37.9,321.96,2.0
30,20,15,54441,7672,598,37.8,310.18,0.52
45,45,20,54441,2790,169,35.5,307.97,1.82
45,40,25,54441,3626,227,37.9,307.29,1.35
30,30,15,54441,5036,372,33.3,295.56,0.79
45,40,15,54441,3634,285,29.8,287.45,1.01
30,40,25,54441,2877,193,38.9,286.09,1.48
60,20,10,54441,7885,682,29.0,278.99,0.41
45,45,10,54441,2524,267,20.6,256.57,0.96
15,30,20,54441,2776,268,38.1,235.13,0.88
45,40,10,54441,3647,358,22.3,211.15,0.59
30,30,20,54441,5082,334,36.2,185.7,0.56
60,20,15,54441,9727,618,34.6,161.44,0.26
60,45,20,54441,3344,188,31.4,160.35,0.85
30,45,15,54441,2305,184,28.8,135.58,0.74
30,30,25,54441,4699,317,40.1,134.86,0.43
30,30,10,54441,4847,483,25.3,111.33,0.23
15,30,15,54441,2810,307,32.6,110.65,0.36
15,30,10,54441,2736,370,26.2,90.06,0.24
45,20,15,54441,8835,609,36.0,89.4,0.15
30,45,30,54441,2192,136,36.0,50.45,0.37
45,45,15,54441,2631,197,28.9,22.63,0.11
60,45,25,54441,3239,174,33.9,-17.69,-0.1
15,30,25,54441,2998,265,38.1,-89.26,-0.34
15,20,10,54441,5921,745,28.7,-89.64,-0.12
30,20,10,54441,7353,742,28.4,-95.94,-0.13
30,15,10,54441,9492,1095,33.3,-122.37,-0.11
45,15,10,54441,9700,1050,33.2,-172.64,-0.16
45,30,10,54441,5385,470,20.9,-200.58,-0.43
15,15,10,54441,8402,1034,32.7,-202.54,-0.2
15,20,15,54441,5971,622,34.9,-210.9,-0.34
60,15,10,54441,9980,960,33.0,-239.99,-0.25
