min_gap,time_max,baseline_trades,baseline_pnl,combined_trades,combined_pnl,delta_trades,delta_pnl,trial_trades,trial_pnl
10,30,450,2398.2,451,2522.8,1,124.6,4,361.2
10,45,450,2398.2,452,2518.7,2,120.5,4,317.1
10,60,450,2398.2,452,2518.7,2,120.5,4,317.1
0,60,450,2398.2,470,2448.9,20,50.7,34,349.1
10,20,450,2398.2,451,2412.8,1,14.6,3,266.2
0,45,450,2398.2,467,2412.5,17,14.3,29,389.5
1,30,450,2398.2,457,2404.3,7,6.1,19,372.9
0,30,450,2398.2,462,2402.8,12,4.6,24,351.6
10,15,450,2398.2,451,2381.7,1,-16.5,2,143.8
1,45,450,2398.2,460,2380.3,10,-17.9,22,432.2
3,45,450,2398.2,456,2371.1,6,-27.1,8,187.0
0,15,450,2398.2,458,2369.9,8,-28.3,15,218.9
3,60,450,2398.2,459,2354.8,9,-43.4,11,164.9
3,30,450,2398.2,450,2345.7,0,-52.5,5,194.4
1,60,450,2398.2,463,2341.4,13,-56.8,26,395.9
5,45,450,2398.2,456,2341.1,6,-57.1,8,324.1
5,30,450,2398.2,452,2339.0,2,-59.2,5,358.9
0,20,450,2398.2,459,2334.8,9,-63.4,16,194.5
5,60,450,2398.2,456,2325.0,6,-73.2,9,316.0
1,15,450,2398.2,455,2317.0,5,-81.2,14,242.1
3,15,450,2398.2,448,2291.7,-2,-106.5,3,140.4
3,20,450,2398.2,449,2289.7,-1,-108.5,4,138.4
1,20,450,2398.2,455,2255.8,5,-142.4,14,113.0
5,20,450,2398.2,452,2237.6,2,-160.6,4,262.8
5,15,450,2398.2,452,2206.5,2,-191.7,3,140.4
