wick_min_pct,time_max,baseline_trades,baseline_pnl,combined_trades,combined_pnl,delta_trades,delta_pnl,trial_trades,trial_pnl
0.5,45,450,2398.2,653,2371.3,203,-26.9,216,158.9
0.5,30,450,2398.2,604,2320.3,154,-77.9,165,125.9
0.5,60,450,2398.2,686,2311.0,236,-87.2,253,194.0
0.5,20,450,2398.2,560,2176.0,110,-222.2,120,-10.2
0.4,45,450,2398.2,869,2158.7,419,-239.5,448,274.6
0.45,45,450,2398.2,766,2153.8,316,-244.4,335,138.6
0.45,30,450,2398.2,703,2123.0,253,-275.2,270,22.9
0.4,30,450,2398.2,790,2119.6,340,-278.6,364,116.8
0.5,15,450,2398.2,532,2103.3,82,-294.9,95,7.4
0.45,15,450,2398.2,581,2095.5,131,-302.7,144,-1.6
0.45,60,450,2398.2,820,2095.0,370,-303.2,394,238.7
0.35,45,450,2398.2,998,2071.5,548,-326.7,576,0.8
0.4,15,450,2398.2,657,2065.9,207,-332.3,223,70.6
0.4,20,450,2398.2,706,2060.6,256,-337.6,273,-138.2
0.45,20,450,2398.2,630,1985.2,180,-413.0,193,-191.7
0.35,60,450,2398.2,1043,1919.4,593,-478.8,625,27.1
0.4,60,450,2398.2,920,1883.9,470,-514.3,504,145.7
0.35,15,450,2398.2,732,1770.9,282,-627.3,299,-245.8
0.35,30,450,2398.2,902,1770.8,452,-627.4,476,-172.6
0.35,20,450,2398.2,807,1592.6,357,-805.6,377,-549.9
