horizon,tp,sl,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
30,40,10,244475,2198,325,28.0,547.87,1.69
45,45,30,244475,2416,174,47.1,501.45,2.88
15,40,10,244475,1108,209,25.4,450.69,2.16
45,45,15,244475,2246,222,32.4,436.23,1.96
45,45,20,244475,2265,206,39.3,414.47,2.01
30,45,10,244475,1283,242,26.9,382.33,1.58
30,45,15,244475,1415,201,34.8,371.15,1.85
60,40,15,244475,5233,368,32.1,370.57,1.01
30,45,30,244475,1624,159,47.2,336.12,2.11
45,45,10,244475,2031,260,27.3,328.65,1.26
15,40,15,244475,1053,166,33.1,322.79,1.94
30,40,30,244475,2403,201,48.8,312.97,1.56
30,40,20,244475,2219,223,37.7,289.79,1.3
15,45,15,244475,782,147,37.4,271.04,1.84
30,20,10,244475,23224,1595,29.3,264.27,0.17
15,30,10,244475,3079,473,29.0,261.42,0.55
45,45,25,244475,2343,189,43.4,230.52,1.22
15,20,15,244475,11474,1015,39.9,219.57,0.22
30,45,25,244475,1592,173,43.4,218.84,1.26
15,40,30,244475,1072,125,45.6,215.7,1.73
15,45,10,244475,792,175,26.9,210.77,1.2
45,40,30,244475,3822,236,44.1,186.26,0.79
15,40,20,244475,1040,143,38.5,184.33,1.29
60,40,30,244475,5295,283,43.5,183.48,0.65
30,45,20,244475,1430,176,39.8,179.31,1.02
15,40,25,244475,1086,143,42.7,154.14,1.08
60,40,10,244475,4292,421,24.0,149.9,0.36
45,40,15,244475,3648,331,31.1,136.99,0.41
30,30,20,244475,7762,499,40.1,133.97,0.27
15,20,10,244475,11292,1280,32.7,106.64,0.08
30,40,25,244475,2301,201,41.3,82.29,0.41
15,45,25,244475,758,118,43.2,77.32,0.66
45,40,10,244475,3373,378,21.7,70.95,0.19
60,45,10,244475,2775,314,22.3,61.18,0.19
15,45,20,244475,763,123,42.3,59.24,0.48
45,40,25,244475,3920,267,41.9,50.11,0.19
45,40,20,244475,3725,292,34.6,46.57,0.16
45,20,10,244475,32218,1769,28.9,33.69,0.02
30,20,15,244475,23333,1289,37.9,29.35,0.02
30,40,15,244475,2255,270,31.1,22.18,0.08
60,45,15,244475,3173,283,29.3,-53.51,-0.19
60,30,10,244475,15760,1036,24.8,-54.66,-0.05
60,40,20,244475,5179,316,35.4,-73.58,-0.23
60,40,25,244475,5306,302,38.4,-77.99,-0.26
45,20,15,244475,32559,1439,37.6,-82.22,-0.06
60,20,15,244475,39323,1427,36.9,-83.05,-0.06
15,45,30,244475,744,104,44.2,-93.18,-0.9
30,30,10,244475,7774,703,25.0,-127.57,-0.18
30,30,25,244475,7758,472,43.2,-147.93,-0.31
60,30,25,244475,15681,618,43.0,-168.25,-0.27
45,30,25,244475,12002,543,41.4,-180.86,-0.33
60,45,30,244475,3263,225,41.3,-185.18,-0.82
30,15,10,244475,43692,2633,33.7,-212.51,-0.08
15,30,15,244475,2910,369,33.1,-226.18,-0.61
30,30,15,244475,8067,575,32.9,-232.94,-0.41
60,30,20,244475,15990,691,37.6,-257.69,-0.37
45,30,20,244475,11978,627,37.5,-276.11,-0.44
60,45,25,244475,3235,237,36.3,-300.66,-1.27
45,30,10,244475,11992,913,24.0,-323.86,-0.35
60,30,15,244475,15943,820,32.3,-333.73,-0.41
15,30,20,244475,2873,330,38.2,-385.14,-1.17
60,20,10,244475,39049,1838,28.4,-385.44,-0.21
60,45,20,244475,3076,258,31.8,-439.9,-1.71
60,15,10,244475,60326,2315,31.5,-494.52,-0.21
15,30,25,244475,2907,319,42.3,-635.35,-1.99
45,30,15,244475,12111,727,30.9,-657.63,-0.9
45,15,10,244475,55663,2613,32.6,-680.35,-0.26
15,15,10,244475,24648,2349,35.8,-706.66,-0.3
