horizon,tp,sl,dynamic_sl,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
15,30,25,False,37881,529,107,57.0,878.95,8.21
15,30,25,True,37881,529,107,57.0,878.95,8.21
15,30,15,False,37881,598,124,45.2,771.84,6.22
15,30,15,True,37881,598,124,45.2,771.84,6.22
15,20,15,False,37881,2370,382,42.7,686.88,1.8
15,20,15,True,37881,2370,382,42.7,686.88,1.8
15,30,10,False,37881,494,149,33.6,647.19,4.34
15,30,10,True,37881,494,149,33.6,647.19,4.34
15,40,10,False,37881,130,63,44.4,515.58,8.18
15,40,10,True,37881,130,63,44.4,515.58,8.18
15,30,20,False,37881,567,103,45.6,479.19,4.65
15,30,20,True,37881,567,103,45.6,479.19,4.65
15,40,15,False,37881,148,53,45.3,426.54,8.05
15,40,15,True,37881,148,53,45.3,426.54,8.05
15,20,10,False,37881,2004,461,32.8,307.49,0.67
15,20,10,True,37881,2004,461,32.8,307.49,0.67
15,15,10,False,37881,4811,919,34.1,-208.83,-0.23
15,15,10,True,37881,4811,919,34.1,-208.83,-0.23
