horizon,tp,sl,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
15,20,15,37881,2362,381,45.7,1206.75,3.17
30,40,20,37881,554,74,54.1,865.23,11.69
30,40,30,37881,665,74,62.2,848.09,11.46
45,40,30,37881,1305,98,50.0,824.1,8.41
45,45,30,37881,698,61,62.3,813.47,13.34
45,40,15,37881,1128,104,38.5,807.21,7.76
30,45,20,37881,326,58,53.4,781.15,13.47
30,40,15,37881,516,89,40.4,771.66,8.67
30,40,10,37881,493,106,34.9,742.69,7.01
15,20,10,37881,2408,495,34.7,736.09,1.49
30,40,25,37881,544,74,52.7,715.57,9.67
60,40,15,37881,1340,138,33.3,705.6,5.11
15,30,10,37881,544,166,31.9,695.75,4.19
15,30,20,37881,592,123,50.4,692.27,5.63
15,30,15,37881,620,146,41.8,688.63,4.72
15,30,25,37881,515,100,53.0,676.15,6.76
30,45,30,37881,349,57,59.6,669.87,11.75
30,45,25,37881,334,51,54.9,644.57,12.64
60,45,30,37881,953,79,48.1,625.96,7.92
15,40,10,37881,120,46,45.7,622.46,13.53
15,40,15,37881,143,48,54.2,618.02,12.88
60,40,25,37881,1337,102,44.1,609.41,5.97
60,40,30,37881,1343,97,47.4,609.26,6.28
15,40,20,37881,165,39,56.4,562.97,14.44
15,40,30,37881,145,40,62.5,556.29,13.91
45,45,25,37881,621,58,48.3,554.73,9.56
45,40,25,37881,1195,93,46.2,551.21,5.93
30,45,15,37881,290,53,41.5,531.15,10.02
60,40,10,37881,1098,156,22.4,525.6,3.37
60,45,25,37881,891,72,44.4,517.75,7.19
60,45,15,37881,858,92,30.4,507.38,5.51
15,45,30,37881,54,21,71.4,499.33,23.78
60,45,10,37881,706,148,20.9,499.03,3.37
45,45,20,37881,623,62,41.9,486.24,7.84
45,30,25,37881,1598,177,48.0,484.84,2.74
30,30,25,37881,1242,138,44.9,454.02,3.29
15,40,25,37881,141,42,59.5,449.53,10.7
30,45,10,37881,245,60,26.7,440.15,7.34
60,40,20,37881,1375,108,35.2,438.35,4.06
30,30,15,37881,1324,188,34.6,431.2,2.29
60,45,20,37881,831,82,35.4,414.5,5.05
45,40,20,37881,1148,92,37.0,410.63,4.46
15,45,25,37881,55,17,70.6,406.15,23.89
15,45,15,37881,64,21,61.9,397.03,18.91
15,45,10,37881,70,35,42.9,346.71,9.91
45,30,20,37881,1662,190,40.5,340.53,1.79
15,45,20,37881,66,23,60.9,330.75,14.38
30,30,20,37881,1227,147,42.2,328.56,2.24
45,30,15,37881,1559,230,36.5,306.07,1.33
60,30,10,37881,1660,305,25.2,300.75,0.99
45,40,10,37881,1036,162,21.0,265.36,1.64
45,45,10,37881,620,86,19.8,187.83,2.18
60,30,20,37881,2244,266,37.2,185.95,0.7
45,45,15,37881,587,76,28.9,160.54,2.11
60,30,25,37881,2361,232,42.7,150.02,0.65
30,30,10,37881,953,209,26.8,140.71,0.67
60,30,15,37881,2045,278,31.7,109.36,0.39
45,30,10,37881,1342,255,23.9,88.75,0.35
30,20,15,37881,4329,520,37.1,-97.39,-0.19
45,20,10,37881,4325,567,28.0,-214.52,-0.38
60,20,10,37881,4642,542,27.3,-246.0,-0.45
45,20,15,37881,5218,531,36.5,-338.04,-0.64
45,15,10,37881,5642,719,31.8,-527.8,-0.73
15,15,10,37881,4896,852,32.3,-534.89,-0.63
30,15,10,37881,4769,641,32.0,-553.9,-0.86
60,20,15,37881,5475,515,36.1,-556.75,-1.08
60,15,10,37881,6170,758,31.9,-587.48,-0.78
30,20,10,37881,3643,626,26.5,-678.82,-1.08
