h,tpx,slx,rr,pt,hr_mask,nt,pnl,wr,dd,n_cycles
240,0.35,0.25,1.4,0.45,18.6,180,1011.5,47.2,-241.8,23
480,0.45,0.25,1.8,0.5,21.7,186,975.4,44.1,-516.0,23
240,0.35,0.3,1.17,0.45,18.6,173,963.3,49.7,-265.8,23
480,0.5,0.15,3.33,0.35,17.5,193,947.1,31.1,-338.9,23
480,0.5,0.1,5.0,0.45,17.5,212,946.0,24.1,-279.4,23
240,0.35,0.25,1.4,0.5,18.6,168,930.3,47.0,-221.9,23
480,0.5,0.12,4.17,0.35,17.5,220,928.2,26.8,-279.0,23
240,0.35,0.3,1.17,0.5,18.6,162,908.0,50.0,-267.3,23
480,0.5,0.12,4.17,0.45,17.5,190,906.4,26.3,-349.9,23
480,0.4,0.1,4.0,0.5,28.4,328,903.0,22.9,-677.8,23
480,0.45,0.35,1.29,0.5,21.7,164,889.3,50.6,-819.4,23
480,0.5,0.15,3.33,0.45,17.5,165,883.4,30.9,-343.4,23
480,0.45,0.1,4.5,0.5,21.7,291,875.9,24.1,-295.8,23
480,0.5,0.15,3.33,0.5,17.5,153,861.3,30.7,-367.1,23
240,0.35,0.2,1.75,0.45,18.6,195,854.4,42.1,-265.4,23
240,0.35,0.2,1.75,0.5,18.6,178,839.9,42.1,-265.4,23
480,0.45,0.15,3.0,0.5,21.7,228,839.6,32.5,-297.9,23
480,0.45,0.3,1.5,0.5,21.7,175,828.6,48.6,-660.3,23
480,0.5,0.1,5.0,0.4,17.5,224,819.7,23.2,-343.8,23
480,0.5,0.12,4.17,0.4,17.5,203,814.6,25.6,-330.9,23
480,0.5,0.2,2.5,0.5,17.5,138,802.7,37.0,-334.0,23
480,0.45,0.2,2.25,0.5,21.7,202,795.8,38.6,-400.9,23
480,0.45,0.12,3.75,0.5,21.7,264,791.1,26.9,-318.7,23
480,0.5,0.2,2.5,0.35,17.5,169,788.5,36.7,-318.3,23
480,0.5,0.1,5.0,0.35,17.5,244,774.5,23.4,-385.0,23
480,0.5,0.15,3.33,0.4,17.5,178,759.0,29.2,-398.0,23
480,0.5,0.1,5.0,0.5,17.5,194,755.9,23.7,-329.1,23
480,0.5,0.2,2.5,0.45,17.5,148,750.1,36.5,-349.9,23
240,0.45,0.35,1.29,0.4,9.4,96,744.3,52.1,-286.5,23
480,0.45,0.1,4.5,0.45,21.7,314,736.8,23.6,-615.1,23
480,0.5,0.12,4.17,0.3,17.5,244,735.9,26.2,-363.3,23
480,0.5,0.1,5.0,0.3,17.5,270,720.6,23.0,-395.4,23
480,0.4,0.1,4.0,0.45,28.4,355,718.5,21.4,-661.0,23
240,0.35,0.15,2.33,0.45,18.6,215,713.3,36.3,-234.7,23
240,0.35,0.12,2.92,0.5,18.6,216,709.4,31.5,-245.9,23
