side,entry_time,entry_price,stop,target,timeout,exit_time,exit_price,exit_reason,pnl
down,2025-05-20 12:11:00+02:00,3232.83,3257.83,3182.83,2025-05-20 16:11:00+02:00,2025-05-20 15:58:00+02:00,3257.83,Stop,-25.0
up,2025-05-22 10:41:00+02:00,3316.43,3291.43,3366.43,2025-05-22 14:41:00+02:00,2025-05-22 12:31:00+02:00,3291.43,Stop,-25.0
down,2025-05-28 10:46:00+02:00,3315.63,3340.63,3265.63,2025-05-28 14:46:00+02:00,2025-05-28 14:46:00+02:00,3312.03,Timeout,3.599999999999909
down,2025-05-28 15:02:00+02:00,3314.13,3339.13,3264.13,2025-05-28 19:02:00+02:00,2025-05-28 19:02:00+02:00,3293.68,Timeout,20.450000000000273
up,2025-06-03 07:31:00+02:00,3359.9,3334.9,3409.9,2025-06-03 11:31:00+02:00,2025-06-03 11:31:00+02:00,3355.43,Timeout,-4.470000000000255
up,2025-06-03 11:40:00+02:00,3359.58,3334.58,3409.58,2025-06-03 15:40:00+02:00,2025-06-03 15:40:00+02:00,3352.13,Timeout,-7.449999999999818
up,2025-06-04 13:29:00+02:00,3346.78,3321.78,3396.78,2025-06-04 17:29:00+02:00,2025-06-04 17:29:00+02:00,3374.33,Timeout,27.549999999999727
up,2025-06-05 07:34:00+02:00,3364.1,3339.1,3414.1,2025-06-05 11:34:00+02:00,2025-06-05 11:34:00+02:00,3384.03,Timeout,19.93000000000029
up,2025-06-05 17:19:00+02:00,3364.95,3339.95,3414.95,2025-06-05 21:19:00+02:00,2025-06-05 17:54:00+02:00,3339.95,Stop,-25.0
up,2025-06-12 10:17:00+02:00,3357.23,3332.23,3407.23,2025-06-12 14:17:00+02:00,2025-06-12 14:17:00+02:00,3381.33,Timeout,24.09999999999991
up,2025-06-16 07:06:00+02:00,3427.18,3402.18,3477.18,2025-06-16 11:06:00+02:00,2025-06-16 11:06:00+02:00,3415.9,Timeout,-11.279999999999745
down,2025-06-20 15:59:00+02:00,3370.38,3395.38,3320.38,2025-06-20 19:59:00+02:00,2025-06-20 19:59:00+02:00,3367.48,Timeout,2.900000000000091
down,2025-06-25 09:44:00+02:00,3335.28,3360.28,3285.28,2025-06-25 13:44:00+02:00,2025-06-25 13:44:00+02:00,3325.18,Timeout,10.100000000000364
down,2025-06-30 14:24:00+02:00,3285.12,3310.12,3235.12,2025-06-30 18:24:00+02:00,2025-06-30 18:24:00+02:00,3292.83,Timeout,-7.710000000000036
up,2025-07-02 09:10:00+02:00,3331.14,3306.14,3381.14,2025-07-02 13:10:00+02:00,2025-07-02 13:10:00+02:00,3345.05,Timeout,13.91000000000031
down,2025-07-09 16:19:00+02:00,3306.73,3331.73,3256.73,2025-07-09 20:19:00+02:00,2025-07-09 20:19:00+02:00,3311.92,Timeout,-5.190000000000055
up,2025-07-14 15:15:00+02:00,3353.89,3328.89,3403.89,2025-07-14 19:15:00+02:00,2025-07-14 19:15:00+02:00,3348.33,Timeout,-5.559999999999945
down,2025-07-16 07:03:00+02:00,3338.95,3363.95,3288.95,2025-07-16 11:03:00+02:00,2025-07-16 11:03:00+02:00,3341.54,Timeout,-2.5900000000001455
down,2025-07-16 12:05:00+02:00,3338.81,3363.81,3288.81,2025-07-16 16:05:00+02:00,2025-07-16 16:05:00+02:00,3327.78,Timeout,11.029999999999745
down,2025-07-16 16:59:00+02:00,3338.27,3363.27,3288.27,2025-07-16 20:59:00+02:00,2025-07-16 17:16:00+02:00,3363.27,Stop,-25.0
up,2025-07-22 08:02:00+02:00,3385.35,3360.35,3435.35,2025-07-22 12:02:00+02:00,2025-07-22 12:02:00+02:00,3386.5,Timeout,1.150000000000091
up,2025-07-23 16:09:00+02:00,3419.47,3394.47,3469.47,2025-07-23 20:09:00+02:00,2025-07-23 18:01:00+02:00,3394.47,Stop,-25.0
down,2025-07-28 08:02:00+02:00,3343.94,3368.94,3293.94,2025-07-28 12:02:00+02:00,2025-07-28 12:02:00+02:00,3337.7,Timeout,6.2400000000002365
down,2025-07-29 08:33:00+02:00,3320.3,3345.3,3270.3,2025-07-29 12:33:00+02:00,2025-07-29 12:33:00+02:00,3325.72,Timeout,-5.419999999999618
down,2025-07-29 13:02:00+02:00,3320.92,3345.92,3270.92,2025-07-29 17:02:00+02:00,2025-07-29 17:02:00+02:00,3327.81,Timeout,-6.889999999999873
down,2025-07-31 07:06:00+02:00,3298.73,3323.73,3248.73,2025-07-31 11:06:00+02:00,2025-07-31 11:06:00+02:00,3312.07,Timeout,-13.340000000000146
down,2025-07-31 12:53:00+02:00,3298.53,3323.53,3248.53,2025-07-31 16:53:00+02:00,2025-07-31 16:53:00+02:00,3295.52,Timeout,3.0100000000002183
down,2025-08-01 07:55:00+02:00,3296.66,3321.66,3246.66,2025-08-01 11:55:00+02:00,2025-08-01 11:55:00+02:00,3293.15,Timeout,3.5099999999997635
down,2025-08-01 12:36:00+02:00,3296.38,3321.38,3246.38,2025-08-01 16:36:00+02:00,2025-08-01 14:32:00+02:00,3321.38,Stop,-25.0
up,2025-08-05 07:30:00+02:00,3370.98,3345.98,3420.98,2025-08-05 11:30:00+02:00,2025-08-05 11:30:00+02:00,3364.15,Timeout,-6.829999999999927
up,2025-08-05 15:26:00+02:00,3370.94,3345.94,3420.94,2025-08-05 19:26:00+02:00,2025-08-05 19:26:00+02:00,3380.74,Timeout,9.799999999999727
up,2025-08-06 07:12:00+02:00,3372.17,3347.17,3422.17,2025-08-06 11:12:00+02:00,2025-08-06 11:12:00+02:00,3365.18,Timeout,-6.9900000000002365
up,2025-08-06 15:52:00+02:00,3372.63,3347.63,3422.63,2025-08-06 19:52:00+02:00,2025-08-06 19:52:00+02:00,3375.22,Timeout,2.5899999999996908
up,2025-08-08 13:24:00+02:00,3382.5,3357.5,3432.5,2025-08-08 17:24:00+02:00,2025-08-08 17:24:00+02:00,3393.62,Timeout,11.11999999999989
down,2025-08-12 09:39:00+02:00,3356.28,3381.28,3306.28,2025-08-12 13:39:00+02:00,2025-08-12 13:39:00+02:00,3343.07,Timeout,13.210000000000036
down,2025-08-12 14:50:00+02:00,3353.82,3378.82,3303.82,2025-08-12 18:50:00+02:00,2025-08-12 18:50:00+02:00,3348.91,Timeout,4.910000000000309
down,2025-08-13 08:32:00+02:00,3354.28,3379.28,3304.28,2025-08-13 12:32:00+02:00,2025-08-13 12:32:00+02:00,3365.12,Timeout,-10.83999999999969
down,2025-08-15 07:08:00+02:00,3346.64,3371.64,3296.64,2025-08-15 11:08:00+02:00,2025-08-15 11:08:00+02:00,3340.06,Timeout,6.579999999999927
down,2025-08-20 07:36:00+02:00,3320.9,3345.9,3270.9,2025-08-20 11:36:00+02:00,2025-08-20 11:36:00+02:00,3325.83,Timeout,-4.929999999999836
up,2025-08-21 07:03:00+02:00,3338.2,3313.2,3388.2,2025-08-21 11:03:00+02:00,2025-08-21 11:03:00+02:00,3338.72,Timeout,0.5199999999999818
up,2025-08-21 14:05:00+02:00,3338.79,3313.79,3388.79,2025-08-21 18:05:00+02:00,2025-08-21 18:05:00+02:00,3342.69,Timeout,3.900000000000091
up,2025-08-29 07:24:00+02:00,3407.84,3382.84,3457.84,2025-08-29 11:24:00+02:00,2025-08-29 11:24:00+02:00,3410.06,Timeout,2.2199999999998
up,2025-08-29 11:38:00+02:00,3407.87,3382.87,3457.87,2025-08-29 15:38:00+02:00,2025-08-29 15:38:00+02:00,3422.87,Timeout,15.0
up,2025-09-02 09:54:00+02:00,3474.89,3449.89,3524.89,2025-09-02 13:54:00+02:00,2025-09-02 13:54:00+02:00,3487.09,Timeout,12.200000000000273
up,2025-09-11 08:06:00+02:00,3630.76,3605.76,3680.76,2025-09-11 12:06:00+02:00,2025-09-11 12:06:00+02:00,3620.35,Timeout,-10.41000000000031
up,2025-09-11 14:30:00+02:00,3631.44,3606.44,3681.44,2025-09-11 18:30:00+02:00,2025-09-11 18:30:00+02:00,3638.49,Timeout,7.049999999999727
up,2025-09-17 08:38:00+02:00,3674.32,3649.32,3724.32,2025-09-17 12:38:00+02:00,2025-09-17 12:38:00+02:00,3665.76,Timeout,-8.559999999999945
up,2025-09-17 14:41:00+02:00,3674.56,3649.56,3724.56,2025-09-17 18:41:00+02:00,2025-09-17 18:41:00+02:00,3686.75,Timeout,12.190000000000055
up,2025-09-17 20:01:00+02:00,3680.8,3655.8,3730.8,2025-09-18 00:01:00+02:00,2025-09-17 20:46:00+02:00,3655.8,Stop,-25.0
down,2025-09-19 07:10:00+02:00,3659.03,3684.03,3609.03,2025-09-19 11:10:00+02:00,2025-09-19 11:10:00+02:00,3657.35,Timeout,1.680000000000291
down,2025-09-19 16:05:00+02:00,3659.51,3684.51,3609.51,2025-09-19 20:05:00+02:00,2025-09-19 20:05:00+02:00,3678.83,Timeout,-19.31999999999971
up,2025-09-24 16:53:00+02:00,3751.59,3726.59,3801.59,2025-09-24 20:53:00+02:00,2025-09-24 20:49:00+02:00,3726.59,Stop,-25.0
up,2025-09-30 10:23:00+02:00,3826.94,3801.94,3876.94,2025-09-30 14:23:00+02:00,2025-09-30 11:12:00+02:00,3801.94,Stop,-25.0
up,2025-09-30 15:46:00+02:00,3825.93,3800.93,3875.93,2025-09-30 19:46:00+02:00,2025-09-30 19:46:00+02:00,3843.76,Timeout,17.830000000000382
up,2025-10-01 08:22:00+02:00,3855.41,3830.41,3905.41,2025-10-01 12:22:00+02:00,2025-10-01 12:22:00+02:00,3888.06,Timeout,32.65000000000009
up,2025-10-07 11:11:00+02:00,3957.16,3932.16,4007.16,2025-10-07 15:11:00+02:00,2025-10-07 15:11:00+02:00,3983.08,Timeout,25.920000000000073
up,2025-10-14 08:14:00+02:00,4111.34,4086.34,4161.34,2025-10-14 12:14:00+02:00,2025-10-14 12:14:00+02:00,4129.42,Timeout,18.079999999999927
up,2025-10-14 14:51:00+02:00,4107.1,4082.1000000000004,4157.1,2025-10-14 18:51:00+02:00,2025-10-14 18:51:00+02:00,4153.03,Timeout,45.92999999999938
up,2025-10-17 15:39:00+02:00,4281.4,4256.4,4331.4,2025-10-17 19:39:00+02:00,2025-10-17 16:02:00+02:00,4256.4,Stop,-25.0
up,2025-10-21 07:12:00+02:00,4334.9,4309.9,4384.9,2025-10-21 11:12:00+02:00,2025-10-21 09:33:00+02:00,4309.9,Stop,-25.0
down,2025-10-22 07:22:00+02:00,4143.33,4168.33,4093.33,2025-10-22 11:22:00+02:00,2025-10-22 10:12:00+02:00,4093.33,Target,50.0
down,2025-10-23 08:39:00+02:00,4113.49,4138.49,4063.49,2025-10-23 12:39:00+02:00,2025-10-23 12:39:00+02:00,4116.19,Timeout,-2.699999999999818
down,2025-10-23 12:39:00+02:00,4116.19,4141.19,4066.1899999999996,2025-10-23 16:39:00+02:00,2025-10-23 15:18:00+02:00,4141.19,Stop,-25.0
down,2025-10-29 08:46:00+02:00,3981.97,4006.97,3931.97,2025-10-29 12:46:00+02:00,2025-10-29 10:03:00+02:00,4006.97,Stop,-25.0
down,2025-10-30 12:34:00+02:00,3979.63,4004.63,3929.63,2025-10-30 16:34:00+02:00,2025-10-30 16:07:00+02:00,4004.63,Stop,-25.0
down,2025-11-05 07:18:00+02:00,3973.63,3998.63,3923.63,2025-11-05 11:18:00+02:00,2025-11-05 11:18:00+02:00,3972.21,Timeout,1.4200000000000728
down,2025-11-05 15:10:00+02:00,3972.7,3997.7,3922.7,2025-11-05 19:10:00+02:00,2025-11-05 19:10:00+02:00,3984.84,Timeout,-12.140000000000327
up,2025-11-12 07:30:00+02:00,4103.93,4078.9300000000003,4153.93,2025-11-12 11:30:00+02:00,2025-11-12 11:30:00+02:00,4129.37,Timeout,25.4399999999996
up,2025-11-14 08:49:00+02:00,4173.33,4148.33,4223.33,2025-11-14 12:49:00+02:00,2025-11-14 12:49:00+02:00,4169.37,Timeout,-3.9600000000000364
up,2025-11-25 10:38:00+02:00,4124.64,4099.64,4174.64,2025-11-25 14:38:00+02:00,2025-11-25 14:38:00+02:00,4135.59,Timeout,10.949999999999818
up,2025-11-25 14:47:00+02:00,4122.88,4097.88,4172.88,2025-11-25 18:47:00+02:00,2025-11-25 18:47:00+02:00,4137.25,Timeout,14.36999999999989
up,2025-11-28 07:24:00+02:00,4184.1,4159.1,4234.1,2025-11-28 11:24:00+02:00,2025-11-28 10:10:00+02:00,4159.1,Stop,-25.0
up,2025-11-28 10:10:00+02:00,4160.45,4135.45,4210.45,2025-11-28 14:10:00+02:00,2025-11-28 14:10:00+02:00,4171.77,Timeout,11.320000000000618
down,2025-12-09 15:30:00+02:00,4197.64,4222.64,4147.64,2025-12-09 19:30:00+02:00,2025-12-09 19:30:00+02:00,4207.83,Timeout,-10.1899999999996
up,2025-12-10 07:15:00+02:00,4204.27,4179.27,4254.27,2025-12-10 11:15:00+02:00,2025-12-10 11:15:00+02:00,4198.45,Timeout,-5.8200000000006185
up,2025-12-10 15:51:00+02:00,4203.59,4178.59,4253.59,2025-12-10 19:51:00+02:00,2025-12-10 19:51:00+02:00,4199.46,Timeout,-4.130000000000109
up,2025-12-11 07:39:00+02:00,4208.69,4183.69,4258.69,2025-12-11 11:39:00+02:00,2025-12-11 11:39:00+02:00,4215.23,Timeout,6.539999999999964
up,2025-12-11 15:21:00+02:00,4211.03,4186.03,4261.03,2025-12-11 19:21:00+02:00,2025-12-11 17:51:00+02:00,4261.03,Target,50.0
up,2025-12-18 10:55:00+02:00,4324.6,4299.6,4374.6,2025-12-18 14:55:00+02:00,2025-12-18 14:55:00+02:00,4322.03,Timeout,-2.5700000000006185
up,2025-12-18 15:30:00+02:00,4331.11,4306.11,4381.11,2025-12-18 19:30:00+02:00,2025-12-18 19:30:00+02:00,4326.46,Timeout,-4.649999999999636
up,2025-12-23 17:00:00+02:00,4450.33,4425.33,4500.33,2025-12-23 21:00:00+02:00,2025-12-23 21:00:00+02:00,4485.71,Timeout,35.38000000000011
up,2025-12-24 16:39:00+02:00,4472.76,4447.76,4522.76,2025-12-24 20:39:00+02:00,2025-12-24 20:39:00+02:00,4480.14,Timeout,7.380000000000109
down,2025-12-30 08:18:00+02:00,4369.38,4394.38,4319.38,2025-12-30 12:18:00+02:00,2025-12-30 12:18:00+02:00,4377.64,Timeout,-8.260000000000218
down,2025-12-30 16:41:00+02:00,4367.2,4392.2,4317.2,2025-12-30 20:41:00+02:00,2025-12-30 20:41:00+02:00,4365.13,Timeout,2.069999999999709
up,2026-01-07 08:17:00+02:00,4459.85,4434.85,4509.85,2026-01-07 12:17:00+02:00,2026-01-07 12:17:00+02:00,4465.51,Timeout,5.6599999999998545
up,2026-01-07 12:29:00+02:00,4459.91,4434.91,4509.91,2026-01-07 16:29:00+02:00,2026-01-07 15:08:00+02:00,4434.91,Stop,-25.0
up,2026-01-13 08:44:00+02:00,4576.19,4551.19,4626.19,2026-01-13 12:44:00+02:00,2026-01-13 12:44:00+02:00,4587.32,Timeout,11.13000000000011
up,2026-01-23 10:20:00+02:00,4930.93,4905.93,4980.93,2026-01-23 14:20:00+02:00,2026-01-23 10:28:00+02:00,4905.93,Stop,-25.0
up,2026-01-23 12:26:00+02:00,4930.97,4905.97,4980.97,2026-01-23 16:26:00+02:00,2026-01-23 16:26:00+02:00,4941.68,Timeout,10.710000000000036
up,2026-01-29 17:12:00+02:00,5428.08,5403.08,5478.08,2026-01-29 21:12:00+02:00,2026-01-29 17:14:00+02:00,5403.08,Stop,-25.0
