signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
46,2025-11-28T08:21:00+00:00,2025-11-28 08:22:00+00:00,2025-11-28T09:33:00+00:00,2,up,4168.47,4164.58,-3.8900000000003274,0.896610353598187,0.896610353598187,0,46,2025-11-28T09:33:00+00:00,4164.58,timeout
113,2025-11-28T14:43:00+00:00,2025-11-28 14:44:00+00:00,2025-11-28T15:08:00+00:00,2,up,4198.81,4193.31,-5.5,0.9436496016412088,0.9436496016412088,0,113,2025-11-28T15:08:00+00:00,4193.31,timeout
282,2025-12-02T01:09:00+00:00,2025-12-02 01:10:00+00:00,2025-12-02T01:12:00+00:00,0,down,4206.06,4204.32,1.7400000000006912,0.6515231572234792,0.5326872661589039,0,282,2025-12-02T01:34:00+00:00,4214.98,reverse_signal
285,2025-12-02T01:12:00+00:00,2025-12-02 01:13:00+00:00,2025-12-02T01:43:00+00:00,0,down,4205.14,4210.91,-5.769999999999527,0.5537667333835091,0.986793119428862,4,291,2025-12-02T01:43:00+00:00,4210.91,timeout
635,2025-12-10T20:04:00+00:00,2025-12-10 20:05:00+00:00,2025-12-10T20:29:00+00:00,2,up,4224.32,4232.7,8.38000000000011,0.9983346584654144,0.9991743212768532,0,635,2025-12-10T20:29:00+00:00,4232.7,timeout
919,2025-12-12T15:24:00+00:00,2025-12-12 15:25:00+00:00,2025-12-12T15:59:00+00:00,0,down,4309.44,4286.18,23.25999999999931,0.9982907515316092,0.985651394620448,8,951,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
1097,2025-12-12T18:22:00+00:00,2025-12-12 18:23:00+00:00,2025-12-12T18:47:00+00:00,2,up,4298.01,4292.45,-5.5600000000004,0.9974674153721672,0.9974674153721672,0,1097,2025-12-12T18:47:00+00:00,4292.45,timeout
1466,2025-12-18T16:15:00+00:00,2025-12-18 16:16:00+00:00,2025-12-18T16:40:00+00:00,2,up,4366.21,4367.69,1.4799999999995634,0.9993923291315178,0.9993923291315178,0,1466,2025-12-18T16:40:00+00:00,4367.69,timeout
1523,2025-12-18T17:12:00+00:00,2025-12-18 17:13:00+00:00,2025-12-18T17:38:00+00:00,2,up,4326.45,4337.45,11.0,0.9999907752939108,0.9999342813813542,1,1524,2025-12-18T17:38:00+00:00,4337.45,timeout
1743,2025-12-23T15:02:00+00:00,2025-12-23 15:03:00+00:00,2025-12-23T15:30:00+00:00,2,up,4433.6,4445.55,11.949999999999818,0.8135567965547922,0.9801433235151654,2,1746,2025-12-23T15:30:00+00:00,4445.55,timeout
1927,2025-12-24T02:59:00+00:00,2025-12-24 03:00:00+00:00,2025-12-24T03:26:00+00:00,2,up,4478.91,4491.14,12.230000000000471,0.9959306957589728,0.899081664315867,1,1929,2025-12-24T03:26:00+00:00,4491.14,timeout
2216,2025-12-29T00:21:00+00:00,2025-12-29 00:22:00+00:00,2025-12-29T00:25:00+00:00,2,up,4506.07,4494.32,-11.75,0.9749130325455329,0.7578664788851712,2,2218,2025-12-29T00:48:00+00:00,4504.69,reverse_signal
2221,2025-12-29T00:26:00+00:00,2025-12-29 00:27:00+00:00,2025-12-29T00:32:00+00:00,0,down,4488.85,4484.06,4.789999999999964,0.9972533342518216,0.7331945487537614,0,2221,2025-12-29T00:51:00+00:00,4499.36,reverse_signal
2227,2025-12-29T00:32:00+00:00,2025-12-29 00:33:00+00:00,2025-12-29T00:52:00+00:00,0,down,4487.99,4499.38,-11.390000000000327,0.9844394488855788,0.9825300797944898,2,2230,2025-12-29T01:00:00+00:00,4494.58,reverse_signal
2256,2025-12-29T01:01:00+00:00,2025-12-29 01:02:00+00:00,2025-12-29T01:28:00+00:00,0,down,4499.05,4497.38,1.6700000000000728,0.9944430929223792,0.9807186960496578,2,2258,2025-12-29T01:28:00+00:00,4497.38,timeout
2386,2025-12-29T07:02:00+00:00,2025-12-29 07:03:00+00:00,2025-12-29T07:36:00+00:00,2,up,4456.39,4479.21,22.81999999999971,0.6382880621323421,0.884424367019093,3,2395,2025-12-29T07:36:00+00:00,4479.21,timeout
2466,2025-12-29T08:22:00+00:00,2025-12-29 08:23:00+00:00,2025-12-29T08:38:00+00:00,2,up,4484.96,4472.96,-12.0,0.5991622978985768,0.5991622978985768,0,2466,2025-12-29T08:47:00+00:00,4468.27,stop_loss
2542,2025-12-29T11:43:00+00:00,2025-12-29 11:44:00+00:00,2025-12-29T11:47:00+00:00,2,up,4447.91,4452.07,4.1599999999998545,0.9996806278636904,0.9958554456955496,1,2543,2025-12-29T12:09:00+00:00,4455.29,reverse_signal
