signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
57,2026-04-01T01:02:00+00:00,2026-04-01T01:03:00+00:00,2026-04-01T01:06:00+00:00,2,up,4708.38,4696.38,-12.0,0.9176342930250889,0.6534312821851506,1,60,2026-04-01T01:30:00+00:00,4705.79,stop_loss
61,2026-04-01T01:06:00+00:00,2026-04-01T01:07:00+00:00,2026-04-01T01:14:00+00:00,0,down,4691.42,4706.58,-15.159999999999854,0.647721308569127,0.6076713797624019,2,64,2026-04-01T01:34:00+00:00,4693.32,reverse_signal
69,2026-04-01T01:14:00+00:00,2026-04-01T01:15:00+00:00,2026-04-01T01:21:00+00:00,2,up,4707.93,4695.93,-12.0,0.980430296073858,0.9587532163740377,1,74,2026-04-01T01:44:00+00:00,4687.92,stop_loss
76,2026-04-01T01:21:00+00:00,2026-04-01T01:22:00+00:00,2026-04-01T01:40:00+00:00,2,up,4695.12,4683.12,-12.0,0.9613171252463436,0.9858602616850779,2,80,2026-04-01T01:50:00+00:00,4693.55,stop_loss
302,2026-04-01T08:01:00+00:00,2026-04-01T08:02:00+00:00,2026-04-01T08:26:00+00:00,2,up,4715.39,4732.64,17.25,0.9999566043377422,0.9988343412942252,0,302,2026-04-01T08:26:00+00:00,4732.64,timeout
442,2026-04-01T12:46:00+00:00,2026-04-01T12:47:00+00:00,2026-04-01T12:51:00+00:00,2,up,4741.52,4729.52,-12.0,0.9998665818379898,0.9998774036587533,1,443,2026-04-01T13:12:00+00:00,4732.94,stop_loss
448,2026-04-01T12:52:00+00:00,2026-04-01T12:53:00+00:00,2026-04-01T13:17:00+00:00,2,up,4731.92,4733.54,1.6199999999998909,0.999203070646221,0.999203070646221,0,448,2026-04-01T13:17:00+00:00,4733.54,timeout
498,2026-04-01T13:44:00+00:00,2026-04-01T13:45:00+00:00,2026-04-01T14:00:00+00:00,2,up,4743.41,4731.41,-12.0,0.9401059877471981,0.9163685728612874,1,504,2026-04-01T14:15:00+00:00,4745.13,stop_loss
515,2026-04-01T14:01:00+00:00,2026-04-01T14:02:00+00:00,2026-04-01T14:26:00+00:00,0,down,4737.5,4733.79,3.7100000000000364,0.8889039762837598,0.910257709728807,0,515,2026-04-01T14:26:00+00:00,4733.79,timeout
543,2026-04-01T14:42:00+00:00,2026-04-01T14:43:00+00:00,2026-04-01T15:07:00+00:00,2,up,4754.86,4772.6,17.74000000000069,0.8199597272489336,0.8199597272489336,0,543,2026-04-01T15:07:00+00:00,4772.6,timeout
712,2026-04-01T18:38:00+00:00,2026-04-01T18:39:00+00:00,2026-04-01T18:41:00+00:00,0,down,4742.56,4760.56,-18.0,0.9684974654233119,0.7247491290570964,0,712,2026-04-01T19:03:00+00:00,4754.46,stop_loss
794,2026-04-01T20:00:00+00:00,2026-04-01T20:01:00+00:00,2026-04-01T23:10:00+00:00,0,down,4767.44,4785.44,-18.0,0.8104538083876426,0.8104538083876426,0,794,2026-04-01T20:25:00+00:00,4764.5,stop_loss
910,2026-04-02T01:03:00+00:00,2026-04-02T01:04:00+00:00,2026-04-02T01:25:00+00:00,0,down,4750.48,4714.02,36.45999999999913,0.9030115720470582,0.6364235816668848,4,914,2026-04-02T01:32:00+00:00,4663.35,reverse_signal
932,2026-04-02T01:25:00+00:00,2026-04-02T01:26:00+00:00,2026-04-02T01:26:00+00:00,2,up,4701.52,4689.52,-12.0,0.8090765834036358,0.8090765834036358,0,932,2026-04-02T01:50:00+00:00,4705.98,stop_loss
933,2026-04-02T01:26:00+00:00,2026-04-02T01:27:00+00:00,2026-04-02T01:31:00+00:00,2,up,4689.32,4677.32,-12.0,0.6464110635676311,0.9720873764067883,0,933,2026-04-02T01:51:00+00:00,4710.45,stop_loss
938,2026-04-02T01:31:00+00:00,2026-04-02T01:32:00+00:00,2026-04-02T02:07:00+00:00,2,up,4672.9,4701.5,28.600000000000364,0.9704930294067101,0.9995530993286738,1,949,2026-04-02T02:07:00+00:00,4701.5,target_hit
974,2026-04-02T02:07:00+00:00,2026-04-02T02:08:00+00:00,2026-04-02T02:11:00+00:00,2,up,4701.04,4689.04,-12.0,0.999097735043542,0.9997387423081405,1,975,2026-04-02T02:33:00+00:00,4672.85,stop_loss
978,2026-04-02T02:11:00+00:00,2026-04-02T02:12:00+00:00,2026-04-02T02:36:00+00:00,2,up,4679.76,4667.76,-12.0,0.9992367634370021,0.8434889897534626,1,1001,2026-04-02T02:59:00+00:00,4687.17,stop_loss
1003,2026-04-02T02:36:00+00:00,2026-04-02T02:37:00+00:00,2026-04-02T03:01:00+00:00,2,up,4664.41,4682.5,18.090000000000146,0.9855536399959873,0.9463883012970044,0,1003,2026-04-02T03:01:00+00:00,4682.5,timeout
1180,2026-04-02T05:33:00+00:00,2026-04-02T05:34:00+00:00,2026-04-02T05:40:00+00:00,2,up,4645.0,4646.42,1.4200000000000728,0.9926696460678788,0.7372616602152394,0,1180,2026-04-02T05:58:00+00:00,4595.75,reverse_signal
1187,2026-04-02T05:40:00+00:00,2026-04-02T05:41:00+00:00,2026-04-02T05:59:00+00:00,0,down,4640.1,4595.68,44.42000000000007,0.9965035851372673,0.7127275857631498,3,1192,2026-04-02T06:10:00+00:00,4557.79,reverse_signal
1206,2026-04-02T05:59:00+00:00,2026-04-02T06:00:00+00:00,2026-04-02T06:04:00+00:00,2,up,4594.71,4586.77,-7.9399999999996,0.853372346509059,0.656005176154099,1,1209,2026-04-02T06:27:00+00:00,4588.2,reverse_signal
1211,2026-04-02T06:04:00+00:00,2026-04-02T06:05:00+00:00,2026-04-02T06:11:00+00:00,0,down,4585.22,4557.81,27.409999999999854,0.9393142929420629,0.8766411507364176,1,1212,2026-04-02T06:30:00+00:00,4589.5,reverse_signal
1218,2026-04-02T06:11:00+00:00,2026-04-02T06:12:00+00:00,2026-04-02T06:13:00+00:00,2,up,4560.32,4566.83,6.510000000000218,0.6953213187482964,0.6953213187482964,0,1218,2026-04-02T06:36:00+00:00,4585.45,reverse_signal
1220,2026-04-02T06:13:00+00:00,2026-04-02T06:14:00+00:00,2026-04-02T06:20:00+00:00,0,down,4576.77,4594.77,-18.0,0.9711244343754274,0.7060328068778483,4,1225,2026-04-02T06:43:00+00:00,4583.66,stop_loss
1227,2026-04-02T06:20:00+00:00,2026-04-02T06:21:00+00:00,2026-04-02T07:11:00+00:00,2,up,4594.79,4616.71,21.920000000000073,0.590224678077547,0.9989709961085033,10,1257,2026-04-02T07:15:00+00:00,4620.62,timeout
1331,2026-04-02T08:04:00+00:00,2026-04-02T08:05:00+00:00,2026-04-02T08:14:00+00:00,2,up,4641.77,4640.0,-1.7700000000004366,0.904796118080318,0.9071274849349057,2,1334,2026-04-02T08:32:00+00:00,4636.32,reverse_signal
1343,2026-04-02T08:16:00+00:00,2026-04-02T08:17:00+00:00,2026-04-02T08:22:00+00:00,2,up,4643.45,4632.75,-10.699999999999818,0.8606413979985428,0.8606413979985428,0,1343,2026-04-02T08:41:00+00:00,4639.75,reverse_signal
1349,2026-04-02T08:22:00+00:00,2026-04-02T08:23:00+00:00,2026-04-02T08:32:00+00:00,0,down,4635.4,4636.18,-0.7800000000006548,0.9216889243239546,0.9216889243239546,0,1349,2026-04-02T08:47:00+00:00,4628.8,reverse_signal
1429,2026-04-02T10:23:00+00:00,2026-04-02T10:24:00+00:00,2026-04-02T10:48:00+00:00,0,down,4613.63,4628.04,-14.409999999999854,0.69661804777428,0.8574070248042045,0,1429,2026-04-02T10:48:00+00:00,4628.04,timeout
1474,2026-04-02T11:43:00+00:00,2026-04-02T11:44:00+00:00,2026-04-02T12:08:00+00:00,0,down,4599.0,4603.06,-4.0600000000004,0.9808226082741968,0.9673570302056776,0,1474,2026-04-02T12:08:00+00:00,4603.06,timeout
1532,2026-04-02T13:00:00+00:00,2026-04-02T13:01:00+00:00,2026-04-02T13:05:00+00:00,0,down,4585.05,4603.05,-18.0,0.9715361282371052,0.9927489905828947,0,1532,2026-04-02T13:25:00+00:00,4587.16,stop_loss
1537,2026-04-02T13:05:00+00:00,2026-04-02T13:06:00+00:00,2026-04-02T13:40:00+00:00,0,down,4605.52,4589.92,15.600000000000364,0.9982208134624942,0.9952383853167565,5,1547,2026-04-02T13:40:00+00:00,4589.92,timeout
