side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,matched_pattern,exit_time,exit_price,exit_reason,pnl,source,pattern
1,2025-10-24 13:01:00+00:00,4081.67,4066.67,4104.4400000000005,2025-10-24 13:16:00+00:00,1,0,0.9919541478157043,0.9919541478157043,20.0,15.0,15,uptrend_retrace,2025-10-24 13:07:00+00:00,4104.4400000000005,target_hit,22.770000000000437,pattern,uptrend_retrace
1,2025-10-24 13:59:00+00:00,4107.59,4092.59,4128.06,2025-10-24 14:20:00+00:00,7,0,0.9864525198936462,0.9864525198936462,20.0,15.0,15,uptrend_retrace,2025-10-24 14:12:00+00:00,4128.06,target_hit,20.470000000000255,pattern,uptrend_retrace
-1,2025-10-29 18:28:00+00:00,3982.43,4012.43,3942.43,2025-10-29 18:49:00+00:00,4,0,0.9911598563194275,0.00884014368057251,40.0,30.0,15,downtrend_retrace,2025-10-29 18:42:00+00:00,3942.43,target_hit,40.0,pattern,downtrend_retrace
1,2025-10-30 04:20:00+00:00,3949.26,3934.26,3976.29,2025-10-30 04:42:00+00:00,8,0,0.9919567108154297,0.9919567108154297,20.0,15.0,15,uptrend_retrace,2025-10-30 04:36:00+00:00,3976.29,target_hit,27.029999999999745,pattern,uptrend_retrace
1,2025-10-30 13:56:00+00:00,3990.61,3975.61,4010.61,2025-10-30 14:11:00+00:00,0,0,0.9404134154319763,0.9404134154319763,20.0,15.0,15,uptrend_retrace,2025-10-30 14:09:00+00:00,4010.61,target_hit,20.0,pattern,uptrend_retrace
-1,2025-11-13 18:26:00+00:00,4193.77,4223.77,4150.42,2025-11-13 18:44:00+00:00,4,0,0.9940127730369568,0.005987226963043213,40.0,30.0,15,downtrend_retrace,2025-11-13 18:38:00+00:00,4150.42,target_hit,43.350000000000364,pattern,downtrend_retrace
1,2025-11-14 14:50:00+00:00,4063.96,4048.96,4083.96,2025-11-14 15:05:00+00:00,0,0,0.9738170504570007,0.9738170504570007,20.0,15.0,15,uptrend_retrace,2025-11-14 14:59:00+00:00,4083.96,target_hit,20.0,pattern,uptrend_retrace
1,2025-11-14 15:42:00+00:00,4075.95,4060.95,4096.54,2025-11-14 16:00:00+00:00,4,0,0.9908599257469177,0.9908599257469177,20.0,15.0,15,uptrend_retrace,2025-11-14 15:51:00+00:00,4096.54,target_hit,20.590000000000146,pattern,uptrend_retrace
-1,2025-11-17 19:30:00+00:00,4056.1,4086.1,4016.1,2025-11-17 19:45:00+00:00,1,0,0.9948550462722778,0.005144953727722168,40.0,30.0,15,reversal_fvg_short,2025-11-17 19:43:00+00:00,4016.1,target_hit,40.0,pattern,reversal_fvg_short
1,2025-11-20 14:37:00+00:00,4084.22,4069.22,4104.219999999999,2025-11-20 14:54:00+00:00,3,0,0.9802986979484558,0.9802986979484558,20.0,15.0,15,uptrend_retrace,2025-11-20 14:49:00+00:00,4104.219999999999,target_hit,19.999999999999545,pattern,uptrend_retrace
1,2025-11-27 14:35:00+00:00,4158.87,4143.87,4178.87,2025-11-27 14:50:00+00:00,1,0,0.8405057787895203,0.8405057787895203,20.0,15.0,15,reversal_fvg_long,2025-11-27 14:50:00+00:00,4155.73,timeout,-3.1400000000003274,pattern,reversal_fvg_long
1,2025-12-10 14:07:00+00:00,4203.92,4188.92,4223.92,2025-12-10 14:34:00+00:00,2,0,0.961181640625,0.961181640625,20.0,15.0,15,reversal_fvg_long,2025-12-10 14:34:00+00:00,4195.61,timeout,-8.3100000000004,pattern,reversal_fvg_long
1,2025-12-11 14:01:00+00:00,4221.42,4206.42,4249.18,2025-12-11 14:43:00+00:00,8,0,0.5796974301338196,0.5796974301338196,20.0,15.0,15,reversal_fvg_long,2025-12-11 14:43:00+00:00,4240.92,timeout,19.5,pattern,reversal_fvg_long
1,2025-12-18 14:04:00+00:00,4339.27,4324.27,4359.27,2025-12-18 14:25:00+00:00,4,0,0.5609205961227417,0.5609205961227417,20.0,15.0,15,reversal_fvg_long,2025-12-18 14:25:00+00:00,4335.35,timeout,-3.9200000000000728,pattern,reversal_fvg_long
1,2025-12-29 01:04:00+00:00,4504.46,4489.46,4524.95,2025-12-29 01:19:00+00:00,1,0,0.8900395035743713,0.8900395035743713,20.0,15.0,15,uptrend_retrace,2025-12-29 01:19:00+00:00,4509.97,timeout,5.510000000000218,pattern,uptrend_retrace
-1,2026-01-02 15:06:00+00:00,4344.09,4374.09,4304.09,2026-01-02 15:21:00+00:00,1,0,0.6653234362602234,0.3346765637397766,40.0,30.0,15,reversal_fvg_short,2026-01-02 15:21:00+00:00,4337.73,timeout,6.360000000000582,pattern,reversal_fvg_short
-1,2026-01-21 14:18:00+00:00,4849.93,4879.93,4809.93,2026-01-21 14:33:00+00:00,1,0,0.6739904880523682,0.32600951194763184,40.0,30.0,15,downtrend_retrace,2026-01-21 14:33:00+00:00,4854.36,timeout,-4.4299999999993815,pattern,downtrend_retrace
-1,2026-01-26 19:03:00+00:00,5048.36,5078.36,5008.36,2026-01-26 19:18:00+00:00,0,0,0.5951167941093445,0.4048832058906555,40.0,30.0,15,reversal_fvg_short,2026-01-26 19:18:00+00:00,5044.15,timeout,4.210000000000036,pattern,reversal_fvg_short
1,2026-01-27 19:58:00+00:00,5099.34,5079.34,5139.34,2026-01-27 20:13:00+00:00,0,0,0.9866998195648193,0.9866998195648193,40.0,20.0,15,breakthrough_long,2026-01-27 20:11:00+00:00,5139.34,target_hit,40.0,pattern,breakthrough_long
