
======================================================================
  GOLD v16 COMBINED (merged portfolio)
  Period: 2025-06-01 → 2026-06-25
======================================================================
  Total Trades: 912
  Net PnL     : +6906.64 pts
  Win Rate    : 53.0%
  Avg/trade   : +7.57
  Max DD      : -262.18

  By source:
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    pattern             :  332 trades  PnL=+3345.5  WR=55%  avg=+10.08
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By leg:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By matched_pattern:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23

  LONG total :  402  PnL=+3042.7  WR=54%
  SHORT total:  510  PnL=+3863.9  WR=52%

────────────────────────────────────────────────────────────
  ALL TRADES (HKT)
────────────────────────────────────────────────────────────
  entry_hkt exit_hkt  dir entry_price exit_price     pnl exit_reason            pattern
06-21 04:49    06:02   up        None       None  13.950              reversal_fvg_long
09-01 21:07    21:54 down        None       None  -2.850                  v16_dip_short
09-03 22:24    23:09 down        None       None   0.670                  v16_dip_short
09-04 18:09    18:54 down        None       None   4.030                  v16_dip_short
09-04 21:23    22:24 down        None       None  13.310                  v16_dip_short
09-06 00:08    00:54 down        None       None   2.330                  v16_dip_short
09-09 20:09    20:54 down        None       None   6.250                  v16_dip_short
09-15 23:51    00:38 down        None       None  -5.140                  v16_dip_short
09-23 17:10    18:09 down        None       None  -3.550                  v16_dip_short
09-24 00:53    01:39 down        None       None   0.420                  v16_dip_short
09-25 22:23    23:09 down        None       None   2.660                  v16_dip_short
09-26 22:03    22:52 down        None       None  -5.930                  v16_dip_short
09-29 21:39    22:24 down        None       None   1.860                  v16_dip_short
09-30 18:38    19:23 down        None       None   0.680                  v16_dip_short
09-30 22:06    22:51 down        None       None -16.010                  v16_dip_short
09-30 23:25    00:10 down        None       None  -4.120                  v16_dip_short
10-01 15:52    16:38 down        None       None -15.450                  v16_dip_short
10-03 21:24    22:09 down        None       None   8.730                  v16_dip_short
10-03 22:50    23:35 down        None       None  -7.270                  v16_dip_short
10-06 22:35    23:24 down        None       None   4.550                  v16_dip_short
10-07 00:21    01:09 down        None       None  -3.900                  v16_dip_short
10-08 00:24    01:09 down        None       None -10.900                  v16_dip_short
10-08 23:25    00:10 down        None       None  -4.280                  v16_dip_short
10-09 03:52    04:39 down        None       None   5.930                  v16_dip_short
10-09 22:39    23:24 down        None       None  -7.910                  v16_dip_short
10-10 15:54    16:54 down        None       None -19.310                  v16_dip_short
10-10 20:19    21:04 down        None       None  12.360                  v16_dip_short
10-10 21:25    22:21 down        None       None   6.170                  v16_dip_short
10-11 01:38    02:23 down        None       None -19.710                  v16_dip_short
10-11 02:24    03:37 down        None       None  -0.400                  v16_dip_short
10-13 21:55    22:40 down        None       None  -2.320                  v16_dip_short
10-14 16:03    16:53 down        None       None -11.370                  v16_dip_short
10-14 18:47    21:15 down        None       None  16.970                   v16_momentum
10-14 21:37    22:23 down        None       None -18.490                  v16_dip_short
10-15 00:50    01:54 down        None       None   2.640                  v16_dip_short
10-15 16:47    16:59   up        None       None  -4.940                   v16_momentum
10-16 00:47    01:12   up        None       None  -6.270                   v16_momentum
10-16 01:41    13:41   up        None       None  17.030                   v16_momentum
10-16 22:53    23:39 down        None       None  -9.420                  v16_dip_short
10-17 01:37    02:22 down        None       None   8.360                  v16_dip_short
10-17 06:06    06:09   up        None       None  20.000                uptrend_retrace
10-17 06:15    06:18   up        None       None  20.000                uptrend_retrace
10-17 07:02    07:08   up        None       None  20.000                uptrend_retrace
10-17 07:37    07:50   up        None       None  24.230                uptrend_retrace
10-17 09:18    10:09 down        None       None  -3.370             reversal_fvg_short
