entry,exit,pnl,type,_leg,side
2025-06-20 20:49:00+00:00,2025-06-22 22:02:00+00:00,13.950000000000273,reversal_fvg_long,reversal_fvg_long,1
2025-10-16 22:06:00+00:00,2025-10-16 22:09:00+00:00,20.0,uptrend_retrace,uptrend_retrace,1
2025-10-16 22:15:00+00:00,2025-10-16 22:18:00+00:00,20.0,uptrend_retrace,uptrend_retrace,1
2025-10-16 23:02:00+00:00,2025-10-16 23:08:00+00:00,20.0,uptrend_retrace,uptrend_retrace,1
2025-10-16 23:37:00+00:00,2025-10-16 23:50:00+00:00,24.229999999999563,uptrend_retrace,uptrend_retrace,1
2025-10-17 01:18:00+00:00,2025-10-17 02:09:00+00:00,-3.369999999999891,reversal_fvg_short,reversal_fvg_short,-1
2025-10-17 02:24:00+00:00,2025-10-17 02:31:00+00:00,20.0,uptrend_retrace,uptrend_retrace,1
2025-10-17 03:02:00+00:00,2025-10-17 03:15:00+00:00,20.0,uptrend_retrace,uptrend_retrace,1
2025-10-17 06:35:00+00:00,2025-10-17 06:50:00+00:00,-11.429999999999382,downtrend_retrace,downtrend_retrace,-1
2025-10-17 07:06:00+00:00,2025-10-17 07:20:00+00:00,40.07999999999993,downtrend_retrace,downtrend_retrace,-1
2025-10-17 13:21:00+00:00,2025-10-17 14:14:00+00:00,90.90999999999985,reversal_fvg_short,reversal_fvg_short,-1
2025-10-17 17:56:00+00:00,2025-10-17 18:11:00+00:00,20.86999999999989,uptrend_retrace,uptrend_retrace,1
2025-10-21 07:58:00+00:00,2025-10-21 08:14:00+00:00,52.850000000000364,reversal_fvg_short,reversal_fvg_short,-1
2025-10-21 12:02:00+00:00,2025-10-21 12:18:00+00:00,27.0,downtrend_retrace,downtrend_retrace,-1
2025-10-21 14:04:00+00:00,2025-10-21 14:45:00+00:00,79.6299999999992,reversal_fvg_short,reversal_fvg_short,-1
2025-10-21 14:50:00+00:00,2025-10-21 15:11:00+00:00,35.909999999999854,uptrend_retrace,uptrend_retrace,1
2025-10-21 15:32:00+00:00,2025-10-21 15:55:00+00:00,17.359999999999673,uptrend_retrace,uptrend_retrace,1
2025-10-21 23:51:00+00:00,2025-10-22 00:10:00+00:00,90.24000000000024,breakthrough_short,breakthrough_short,-1
2025-10-22 00:15:00+00:00,2025-10-22 00:48:00+00:00,52.559999999999945,uptrend_retrace,uptrend_retrace,1
2025-10-22 00:56:00+00:00,2025-10-22 01:06:00+00:00,27.889999999999873,uptrend_retrace,uptrend_retrace,1
2025-10-22 01:55:00+00:00,2025-10-22 02:13:00+00:00,26.299999999999727,uptrend_retrace,uptrend_retrace,1
2025-10-22 03:23:00+00:00,2025-10-22 03:37:00+00:00,21.390000000000327,uptrend_retrace,uptrend_retrace,1
2025-10-22 07:58:00+00:00,2025-10-22 08:15:00+00:00,58.5,downtrend_retrace,downtrend_retrace,-1
2025-10-22 10:31:00+00:00,2025-10-22 10:43:00+00:00,40.0,downtrend_retrace,downtrend_retrace,-1
2025-10-22 10:49:00+00:00,2025-10-22 11:07:00+00:00,19.789999999999964,downtrend_retrace,downtrend_retrace,-1
2025-10-22 13:02:00+00:00,2025-10-22 13:17:00+00:00,17.289999999999964,uptrend_retrace,uptrend_retrace,1
2025-10-22 13:24:00+00:00,2025-10-22 13:39:00+00:00,21.960000000000036,uptrend_retrace,uptrend_retrace,1
2025-10-22 16:27:00+00:00,2025-10-22 16:33:00+00:00,21.68000000000029,uptrend_retrace,uptrend_retrace,1
