entry,exit,pnl,type,_leg,side
2025-10-14 10:47:00+00:00,2025-10-14 13:15:00+00:00,16.969999999999345,v16_momentum,v16_momentum,-1
2025-10-15 08:47:00+00:00,2025-10-15 08:59:00+00:00,-4.9399999999996,v16_momentum,v16_momentum,1
2025-10-15 16:47:00+00:00,2025-10-15 17:12:00+00:00,-6.269999999999527,v16_momentum,v16_momentum,1
2025-10-15 17:41:00+00:00,2025-10-16 05:41:00+00:00,17.029999999999745,v16_momentum,v16_momentum,1
2025-10-22 15:49:00+00:00,2025-10-22 16:02:00+00:00,-9.019999999999982,v16_momentum,v16_momentum,1
2025-10-22 16:18:00+00:00,2025-10-22 22:15:00+00:00,65.02999999999975,v16_momentum,v16_momentum,1
2025-10-23 09:02:00+00:00,2025-10-23 09:05:00+00:00,-3.3799999999991996,v16_momentum,v16_momentum,1
2025-10-23 10:02:00+00:00,2025-10-23 10:28:00+00:00,-10.080000000000837,v16_momentum,v16_momentum,1
2025-10-23 16:32:00+00:00,2025-10-23 16:42:00+00:00,-7.650000000000546,v16_momentum,v16_momentum,1
2025-10-24 17:32:00+00:00,2025-10-26 22:05:00+00:00,40.57999999999993,v16_momentum,v16_momentum,-1
2025-11-14 11:17:00+00:00,2025-11-14 11:40:00+00:00,-9.710000000000036,v16_momentum,v16_momentum,-1
2025-11-14 12:04:00+00:00,2025-11-16 23:01:00+00:00,49.499999999999545,v16_momentum,v16_momentum,-1
2025-11-20 18:02:00+00:00,2025-11-20 23:45:00+00:00,19.110000000000127,v16_momentum,v16_momentum,1
2025-11-21 09:47:00+00:00,2025-11-21 12:00:00+00:00,16.879999999999654,v16_momentum,v16_momentum,-1
2025-11-24 18:48:00+00:00,2025-11-25 07:00:00+00:00,31.55999999999949,v16_momentum,v16_momentum,1
2025-11-25 10:17:00+00:00,2025-11-25 10:25:00+00:00,-8.829999999999927,v16_momentum,v16_momentum,1
2025-11-25 11:17:00+00:00,2025-11-25 12:44:00+00:00,-8.479999999999563,v16_momentum,v16_momentum,1
2025-11-25 13:02:00+00:00,2025-11-25 13:45:00+00:00,15.239999999999782,v16_momentum,v16_momentum,1
2025-12-02 09:17:00+00:00,2025-12-02 13:00:00+00:00,-6.800000000000182,v16_momentum,v16_momentum,-1
2025-12-12 10:47:00+00:00,2025-12-12 15:21:00+00:00,-9.699999999999818,v16_momentum,v16_momentum,1
2025-12-15 14:02:00+00:00,2025-12-15 16:45:00+00:00,40.5,v16_momentum,v16_momentum,-1
2025-12-16 17:02:00+00:00,2025-12-16 18:22:00+00:00,-7.210000000000036,v16_momentum,v16_momentum,1
2025-12-17 13:17:00+00:00,2025-12-18 04:45:00+00:00,1.5799999999999272,v16_momentum,v16_momentum,1
2025-12-22 15:47:00+00:00,2025-12-23 03:47:00+00:00,56.30000000000018,v16_momentum,v16_momentum,1
2025-12-26 18:47:00+00:00,2025-12-28 23:02:00+00:00,17.980000000000473,v16_momentum,v16_momentum,1
2025-12-29 08:32:00+00:00,2025-12-29 23:01:00+00:00,139.51000000000022,v16_momentum,v16_momentum,-1
2026-01-05 13:47:00+00:00,2026-01-06 03:00:00+00:00,41.899999999999636,v16_momentum,v16_momentum,1
2026-01-07 13:02:00+00:00,2026-01-07 13:56:00+00:00,-5.170000000000073,v16_momentum,v16_momentum,-1
2026-01-07 15:22:00+00:00,2026-01-07 15:31:00+00:00,-15.530000000000655,v16_momentum,v16_momentum,-1
2026-01-08 08:02:00+00:00,2026-01-08 08:09:00+00:00,-2.380000000000109,v16_momentum,v16_momentum,-1
2026-01-20 13:47:00+00:00,2026-01-21 03:45:00+00:00,110.27000000000044,v16_momentum,v16_momentum,1
2026-01-21 09:34:00+00:00,2026-01-21 09:59:00+00:00,-10.339999999999236,v16_momentum,v16_momentum,1
2026-01-21 19:33:00+00:00,2026-01-22 01:15:00+00:00,19.049999999999272,v16_momentum,v16_momentum,-1
2026-01-23 09:47:00+00:00,2026-01-25 23:01:00+00:00,102.80999999999949,v16_momentum,v16_momentum,1
2026-01-26 16:02:00+00:00,2026-01-26 16:28:00+00:00,-13.050000000000182,v16_momentum,v16_momentum,1
2026-01-27 10:47:00+00:00,2026-01-27 11:09:00+00:00,-5.489999999999782,v16_momentum,v16_momentum,-1
2026-01-27 13:32:00+00:00,2026-01-27 14:30:00+00:00,13.890000000000327,v16_momentum,v16_momentum,-1
2026-01-28 15:32:00+00:00,2026-01-29 08:45:00+00:00,207.75,v16_momentum,v16_momentum,1
2026-01-29 09:03:00+00:00,2026-01-29 11:03:00+00:00,-23.329999999999927,v16_momentum,v16_momentum,1
2026-01-30 13:04:00+00:00,2026-02-01 23:02:00+00:00,230.72000000000025,v16_momentum,v16_momentum,-1
2026-02-02 10:49:00+00:00,2026-02-02 10:51:00+00:00,-13.960000000000036,v16_momentum,v16_momentum,-1
2026-02-02 13:21:00+00:00,2026-02-02 16:15:00+00:00,54.55000000000018,v16_momentum,v16_momentum,-1
2026-02-03 17:32:00+00:00,2026-02-03 17:40:00+00:00,-14.840000000000146,v16_momentum,v16_momentum,1
2026-02-03 18:19:00+00:00,2026-02-03 18:24:00+00:00,-13.13000000000011,v16_momentum,v16_momentum,1
2026-02-03 19:32:00+00:00,2026-02-03 20:01:00+00:00,-10.150000000000546,v16_momentum,v16_momentum,1
2026-02-03 20:47:00+00:00,2026-02-03 20:49:00+00:00,-14.359999999999673,v16_momentum,v16_momentum,1
2026-02-04 10:47:00+00:00,2026-02-04 11:12:00+00:00,-17.090000000000146,v16_momentum,v16_momentum,1
2026-02-04 12:06:00+00:00,2026-02-04 13:00:00+00:00,-17.170000000000073,v16_momentum,v16_momentum,1
2026-02-04 13:32:00+00:00,2026-02-04 14:30:00+00:00,-28.110000000000582,v16_momentum,v16_momentum,1
2026-02-05 08:36:00+00:00,2026-02-05 16:00:00+00:00,109.22000000000025,v16_momentum,v16_momentum,-1
2026-02-09 14:47:00+00:00,2026-02-09 23:10:00+00:00,-14.079999999999927,v16_momentum,v16_momentum,1
2026-02-10 13:47:00+00:00,2026-02-10 14:47:00+00:00,-17.970000000000255,v16_momentum,v16_momentum,1
2026-02-11 15:02:00+00:00,2026-02-11 15:37:00+00:00,-20.06999999999971,v16_momentum,v16_momentum,1
2026-02-11 16:47:00+00:00,2026-02-11 17:45:00+00:00,16.360000000000582,v16_momentum,v16_momentum,1
2026-02-12 17:47:00+00:00,2026-02-12 23:15:00+00:00,35.80000000000018,v16_momentum,v16_momentum,-1
2026-02-13 15:02:00+00:00,2026-02-13 15:53:00+00:00,-12.960000000000036,v16_momentum,v16_momentum,1
2026-02-13 16:39:00+00:00,2026-02-15 23:06:00+00:00,-2.860000000000582,v16_momentum,v16_momentum,1
2026-02-17 12:47:00+00:00,2026-02-18 00:00:00+00:00,72.36999999999989,v16_momentum,v16_momentum,-1
2026-02-18 13:17:00+00:00,2026-02-19 01:17:00+00:00,6.6299999999992,v16_momentum,v16_momentum,1
2026-02-20 14:53:00+00:00,2026-02-20 15:03:00+00:00,-21.75,v16_momentum,v16_momentum,1
2026-02-20 15:38:00+00:00,2026-02-22 23:01:00+00:00,77.60000000000036,v16_momentum,v16_momentum,1
2026-02-23 08:47:00+00:00,2026-02-23 21:00:00+00:00,99.47000000000025,v16_momentum,v16_momentum,1
2026-02-26 08:32:00+00:00,2026-02-26 10:05:00+00:00,-14.36999999999989,v16_momentum,v16_momentum,-1
2026-02-26 12:02:00+00:00,2026-02-26 12:15:00+00:00,-9.639999999999418,v16_momentum,v16_momentum,-1
2026-03-02 13:38:00+00:00,2026-03-02 14:01:00+00:00,-20.829999999999927,v16_momentum,v16_momentum,1
2026-03-03 08:32:00+00:00,2026-03-03 23:01:00+00:00,213.94999999999982,v16_momentum,v16_momentum,-1
2026-03-04 13:21:00+00:00,2026-03-04 13:59:00+00:00,-16.56999999999971,v16_momentum,v16_momentum,1
2026-03-05 13:34:00+00:00,2026-03-06 01:34:00+00:00,26.289999999999964,v16_momentum,v16_momentum,-1
2026-03-06 08:17:00+00:00,2026-03-06 13:30:00+00:00,-5.710000000000036,v16_momentum,v16_momentum,-1
2026-03-11 14:47:00+00:00,2026-03-11 14:50:00+00:00,-12.489999999999782,v16_momentum,v16_momentum,-1
2026-03-11 15:17:00+00:00,2026-03-11 17:45:00+00:00,10.259999999999309,v16_momentum,v16_momentum,-1
2026-03-13 08:17:00+00:00,2026-03-13 08:30:00+00:00,0.819999999999709,v16_momentum,v16_momentum,-1
2026-03-17 12:32:00+00:00,2026-03-17 13:45:00+00:00,2.519999999999527,v16_momentum,v16_momentum,1
2026-03-18 18:33:00+00:00,2026-03-19 06:45:00+00:00,100.22000000000025,v16_momentum,v16_momentum,-1
2026-03-19 08:49:00+00:00,2026-03-19 09:23:00+00:00,-6.680000000000291,v16_momentum,v16_momentum,-1
2026-03-19 12:02:00+00:00,2026-03-19 22:04:00+00:00,-22.299999999999272,v16_momentum,v16_momentum,-1
2026-03-20 12:32:00+00:00,2026-03-22 22:01:00+00:00,198.09999999999945,v16_momentum,v16_momentum,-1
2026-03-23 11:33:00+00:00,2026-03-23 12:49:00+00:00,-58.149999999999636,v16_momentum,v16_momentum,-1
2026-03-25 08:02:00+00:00,2026-03-25 08:03:00+00:00,-11.260000000000218,v16_momentum,v16_momentum,-1
2026-03-25 09:34:00+00:00,2026-03-25 10:00:00+00:00,0.02999999999974534,v16_momentum,v16_momentum,-1
2026-03-25 17:17:00+00:00,2026-03-25 17:27:00+00:00,-11.850000000000364,v16_momentum,v16_momentum,-1
2026-03-25 19:02:00+00:00,2026-03-26 07:02:00+00:00,78.51000000000022,v16_momentum,v16_momentum,-1
2026-03-26 08:17:00+00:00,2026-03-26 11:20:00+00:00,-21.900000000000546,v16_momentum,v16_momentum,-1
2026-03-26 15:17:00+00:00,2026-03-27 05:35:00+00:00,-14.11999999999989,v16_momentum,v16_momentum,-1
2026-03-27 08:32:00+00:00,2026-03-27 11:15:00+00:00,17.73999999999978,v16_momentum,v16_momentum,-1
2026-03-27 18:32:00+00:00,2026-03-27 20:49:00+00:00,-13.599999999999454,v16_momentum,v16_momentum,1
2026-03-31 11:02:00+00:00,2026-03-31 11:10:00+00:00,-7.529999999999745,v16_momentum,v16_momentum,1
2026-03-31 11:34:00+00:00,2026-04-01 01:45:00+00:00,111.53999999999996,v16_momentum,v16_momentum,1
2026-04-01 10:47:00+00:00,2026-04-01 12:26:00+00:00,-9.789999999999964,v16_momentum,v16_momentum,1
2026-04-01 15:47:00+00:00,2026-04-01 18:02:00+00:00,-15.289999999999964,v16_momentum,v16_momentum,1
2026-04-02 10:32:00+00:00,2026-04-02 10:42:00+00:00,-6.280000000000655,v16_momentum,v16_momentum,-1
2026-04-02 11:47:00+00:00,2026-04-02 12:20:00+00:00,-16.979999999999563,v16_momentum,v16_momentum,-1
2026-04-02 12:47:00+00:00,2026-04-02 13:30:00+00:00,16.610000000000582,v16_momentum,v16_momentum,-1
2026-04-02 18:47:00+00:00,2026-04-05 22:01:00+00:00,-14.520000000000437,v16_momentum,v16_momentum,1
2026-04-09 18:17:00+00:00,2026-04-10 00:30:00+00:00,28.979999999999563,v16_momentum,v16_momentum,-1
2026-04-10 07:02:00+00:00,2026-04-10 07:23:00+00:00,-10.460000000000036,v16_momentum,v16_momentum,-1
2026-04-13 09:17:00+00:00,2026-04-13 11:05:00+00:00,-7.839999999999236,v16_momentum,v16_momentum,-1
2026-04-13 11:17:00+00:00,2026-04-13 12:15:00+00:00,4.880000000000109,v16_momentum,v16_momentum,-1
2026-04-14 13:17:00+00:00,2026-04-15 05:45:00+00:00,30.420000000000073,v16_momentum,v16_momentum,1
2026-04-15 14:47:00+00:00,2026-04-15 15:45:00+00:00,13.61999999999989,v16_momentum,v16_momentum,-1
2026-04-17 12:32:00+00:00,2026-04-19 22:01:00+00:00,-12.399999999999636,v16_momentum,v16_momentum,1
2026-04-21 12:33:00+00:00,2026-04-21 13:40:00+00:00,-7.9299999999993815,v16_momentum,v16_momentum,-1
2026-04-21 16:18:00+00:00,2026-04-22 00:00:00+00:00,-10.270000000000437,v16_momentum,v16_momentum,-1
2026-04-22 12:47:00+00:00,2026-04-22 13:43:00+00:00,-5.600000000000364,v16_momentum,v16_momentum,-1
2026-04-22 14:17:00+00:00,2026-04-22 16:30:00+00:00,20.61999999999989,v16_momentum,v16_momentum,-1
2026-04-23 08:32:00+00:00,2026-04-23 11:59:00+00:00,-7.029999999999745,v16_momentum,v16_momentum,-1
2026-04-28 08:17:00+00:00,2026-04-28 08:32:00+00:00,-11.9399999999996,v16_momentum,v16_momentum,-1
2026-04-29 16:32:00+00:00,2026-04-29 18:45:00+00:00,34.840000000000146,v16_momentum,v16_momentum,-1
2026-04-30 07:02:00+00:00,2026-04-30 23:45:00+00:00,41.8799999999992,v16_momentum,v16_momentum,1
2026-05-04 15:02:00+00:00,2026-05-05 04:00:00+00:00,27.409999999999854,v16_momentum,v16_momentum,-1
2026-05-06 09:02:00+00:00,2026-05-06 12:10:00+00:00,-22.73999999999978,v16_momentum,v16_momentum,1
2026-05-06 13:47:00+00:00,2026-05-06 14:15:00+00:00,23.770000000000437,v16_momentum,v16_momentum,1
2026-05-07 12:47:00+00:00,2026-05-07 13:05:00+00:00,-13.800000000000182,v16_momentum,v16_momentum,1
2026-05-08 07:02:00+00:00,2026-05-08 07:30:00+00:00,21.8100000000004,v16_momentum,v16_momentum,-1
2026-05-11 08:02:00+00:00,2026-05-11 08:11:00+00:00,-5.6599999999998545,v16_momentum,v16_momentum,-1
2026-05-11 08:47:00+00:00,2026-05-11 09:45:00+00:00,7.789999999999964,v16_momentum,v16_momentum,-1
2026-05-11 17:02:00+00:00,2026-05-12 04:55:00+00:00,-7.029999999999745,v16_momentum,v16_momentum,1
2026-05-13 16:47:00+00:00,2026-05-13 19:00:00+00:00,13.200000000000728,v16_momentum,v16_momentum,-1
2026-05-15 15:17:00+00:00,2026-05-15 17:26:00+00:00,-12.6899999999996,v16_momentum,v16_momentum,-1
2026-05-15 18:32:00+00:00,2026-05-15 18:46:00+00:00,-5.829999999999927,v16_momentum,v16_momentum,-1
2026-05-18 08:02:00+00:00,2026-05-18 08:33:00+00:00,-5.809999999999491,v16_momentum,v16_momentum,-1
2026-05-18 09:17:00+00:00,2026-05-18 11:15:00+00:00,6.980000000000473,v16_momentum,v16_momentum,-1
2026-05-18 16:47:00+00:00,2026-05-18 18:58:00+00:00,-8.239999999999782,v16_momentum,v16_momentum,1
2026-05-19 08:17:00+00:00,2026-05-19 22:30:00+00:00,67.32000000000062,v16_momentum,v16_momentum,-1
2026-05-22 13:47:00+00:00,2026-05-22 17:30:00+00:00,-9.849999999999454,v16_momentum,v16_momentum,-1
2026-05-26 11:47:00+00:00,2026-05-26 13:02:00+00:00,-11.720000000000255,v16_momentum,v16_momentum,-1
2026-05-26 13:51:00+00:00,2026-05-26 22:45:00+00:00,18.420000000000073,v16_momentum,v16_momentum,-1
2026-05-27 13:03:00+00:00,2026-05-27 14:07:00+00:00,-6.649999999999636,v16_momentum,v16_momentum,-1
2026-05-28 10:47:00+00:00,2026-05-28 11:00:00+00:00,3.75,v16_momentum,v16_momentum,-1
2026-05-29 14:47:00+00:00,2026-05-31 22:01:00+00:00,-12.909999999999854,v16_momentum,v16_momentum,1
2026-06-01 11:33:00+00:00,2026-06-02 00:15:00+00:00,23.020000000000437,v16_momentum,v16_momentum,-1
2026-06-04 11:32:00+00:00,2026-06-04 14:35:00+00:00,-10.180000000000291,v16_momentum,v16_momentum,1
2026-06-05 12:47:00+00:00,2026-06-07 22:04:00+00:00,126.6899999999996,v16_momentum,v16_momentum,-1
2026-06-08 09:03:00+00:00,2026-06-08 09:37:00+00:00,-2.6899999999996,v16_momentum,v16_momentum,-1
2026-06-09 11:02:00+00:00,2026-06-09 13:28:00+00:00,-8.359999999999673,v16_momentum,v16_momentum,1
2026-06-10 08:02:00+00:00,2026-06-11 03:00:00+00:00,106.17999999999938,v16_momentum,v16_momentum,-1
2026-06-12 07:47:00+00:00,2026-06-12 10:00:00+00:00,37.43000000000029,v16_momentum,v16_momentum,1
2026-06-15 07:17:00+00:00,2026-06-15 20:45:00+00:00,-5.380000000000109,v16_momentum,v16_momentum,1
2026-06-16 13:17:00+00:00,2026-06-16 14:45:00+00:00,17.88000000000011,v16_momentum,v16_momentum,-1
2026-06-17 15:17:00+00:00,2026-06-17 18:00:00+00:00,-8.599999999999454,v16_momentum,v16_momentum,1
2026-06-18 07:47:00+00:00,2026-06-19 03:30:00+00:00,129.60000000000036,v16_momentum,v16_momentum,-1
2026-06-19 08:47:00+00:00,2026-06-19 11:45:00+00:00,16.019999999999527,v16_momentum,v16_momentum,-1
2026-06-23 14:47:00+00:00,2026-06-23 15:01:00+00:00,-6.6599999999998545,v16_momentum,v16_momentum,-1
2026-06-23 15:24:00+00:00,2026-06-23 15:30:00+00:00,-6.3100000000004,v16_momentum,v16_momentum,-1
2026-06-23 17:02:00+00:00,2026-06-23 17:13:00+00:00,-5.3200000000006185,v16_momentum,v16_momentum,-1
