entry,exit,pnl,type,_leg,side
2026-06-23 05:42:00+00:00,2026-06-23 05:57:00+00:00,1.1199999999998909,downtrend_retrace,downtrend_retrace,-1
2026-06-23 14:17:00+00:00,2026-06-23 14:38:00+00:00,-15.0,reversal_fvg_long,reversal_fvg_long,1
2026-06-23 14:47:00+00:00,2026-06-23 15:01:00+00:00,-6.6599999999998545,v16_momentum,v16_momentum,-1
2026-06-23 15:24:00+00:00,2026-06-23 15:30:00+00:00,-6.3100000000004,v16_momentum,v16_momentum,-1
2026-06-23 17:02:00+00:00,2026-06-23 17:13:00+00:00,-5.3200000000006185,v16_momentum,v16_momentum,-1
2026-06-24 01:04:00+00:00,2026-06-24 01:12:00+00:00,-18.139999999999873,energetic,energetic,-1
2026-06-24 01:13:00+00:00,2026-06-24 01:31:00+00:00,4.230000000000018,energetic,energetic,1
2026-06-24 01:31:00+00:00,2026-06-24 01:46:00+00:00,-12.699999999999818,uptrend_retrace,uptrend_retrace,1
2026-06-24 07:17:00+00:00,2026-06-25 02:15:00+00:00,112.98000000000002,v16_momentum,v16_momentum,-1
2026-06-26 07:32:00+00:00,2026-06-26 07:46:00+00:00,-8.829999999999927,v16_momentum,v16_momentum,1
2026-06-26 14:17:00+00:00,2026-06-26 14:35:00+00:00,-11.039999999999964,reversal_fvg_long,reversal_fvg_long,1
