entry,exit,pnl,reason,type,side,entry_price,exit_price
2024-08-05 12:30:00+00:00,2024-08-05 13:15:00+00:00,60.0,tp,wr90,1,7176.0,7236.0
2024-08-09 14:15:00+00:00,2024-08-09 16:30:00+00:00,60.0,tp,wr90,1,7547.8,7607.8
2024-08-13 16:45:00+00:00,2024-08-13 17:15:00+00:00,-20.0,sl,wr90,1,7736.7,7716.7
2024-08-16 12:15:00+00:00,2024-08-16 13:30:00+00:00,60.0,tp,wr90,1,7517.3,7577.3
2024-08-20 08:45:00+00:00,2024-08-20 10:15:00+00:00,60.0,tp,wr90,1,7300.1,7360.1
2024-08-21 08:30:00+00:00,2024-08-21 13:15:00+00:00,60.0,tp,wr90,1,7309.7,7369.7
2024-08-28 11:30:00+00:00,2024-08-28 13:00:00+00:00,60.0,tp,wr90,1,7398.6,7458.6
2024-08-29 09:15:00+00:00,2024-08-29 11:30:00+00:00,60.0,tp,wr90,1,7394.4,7454.4
2024-09-03 08:30:00+00:00,2024-09-03 08:45:00+00:00,-20.0,sl,wr90,1,7323.6,7303.6
2024-09-04 14:45:00+00:00,2024-09-04 15:00:00+00:00,-20.0,sl,wr90,1,7025.8,7005.8
2024-09-09 14:00:00+00:00,2024-09-09 14:45:00+00:00,60.0,tp,wr90,1,6731.3,6791.3
2024-09-11 13:30:00+00:00,2024-09-11 13:45:00+00:00,-20.0,sl,wr90,1,6666.3,6646.3
2024-09-12 13:15:00+00:00,2024-09-12 13:45:00+00:00,-20.0,sl,wr90,1,6782.4,6762.4
2024-09-17 10:30:00+00:00,2024-09-17 13:45:00+00:00,60.0,tp,wr90,1,6894.8,6954.8
2024-09-24 16:00:00+00:00,2024-09-24 16:30:00+00:00,-20.0,sl,wr90,1,7139.2,7119.2
2024-09-24 16:45:00+00:00,2024-09-24 18:30:00+00:00,11.899999999999636,ny_close,wr90,1,7131.3,7143.2
2024-09-26 14:00:00+00:00,2024-09-26 14:30:00+00:00,60.0,tp,wr90,1,6738.0,6798.0
2024-09-30 12:00:00+00:00,2024-09-30 13:30:00+00:00,60.0,tp,wr90,1,6776.7,6836.7
2024-10-01 07:45:00+00:00,2024-10-01 08:00:00+00:00,-20.0,sl,wr90,1,6759.9,6739.9
2024-10-08 08:45:00+00:00,2024-10-08 09:00:00+00:00,-20.0,sl,wr90,1,7527.4,7507.4
2024-10-14 10:45:00+00:00,2024-10-14 13:45:00+00:00,60.0,tp,wr90,1,7331.5,7391.5
2024-10-15 07:45:00+00:00,2024-10-15 08:00:00+00:00,-20.0,sl,wr90,1,7067.7,7047.7
2024-10-15 10:30:00+00:00,2024-10-15 10:45:00+00:00,-20.0,sl,wr90,1,6976.3,6956.3
2024-10-16 15:30:00+00:00,2024-10-16 15:45:00+00:00,-20.0,sl,wr90,1,6974.2,6954.2
2024-10-23 12:15:00+00:00,2024-10-23 13:30:00+00:00,60.0,tp,wr90,1,7046.8,7106.8
2024-10-25 08:45:00+00:00,2024-10-25 10:45:00+00:00,60.0,tp,wr90,1,7010.9,7070.9
2024-10-28 13:15:00+00:00,2024-10-28 14:00:00+00:00,60.0,tp,wr90,1,6721.1,6781.1
2024-10-29 16:30:00+00:00,2024-10-29 18:30:00+00:00,4.400000000000546,ny_close,wr90,1,6704.9,6709.3
2024-10-30 10:30:00+00:00,2024-10-30 12:30:00+00:00,60.0,tp,wr90,1,6775.1,6835.1
2024-11-04 16:15:00+00:00,2024-11-04 19:30:00+00:00,34.29999999999927,ny_close,wr90,1,7091.1,7125.4
2024-11-06 14:15:00+00:00,2024-11-06 14:45:00+00:00,60.0,tp,wr90,1,7010.6,7070.6
2024-11-07 12:15:00+00:00,2024-11-07 13:00:00+00:00,-20.0,sl,wr90,1,7077.4,7057.4
