entry_time,exit_time,pnl,side,source,matched_pattern,pattern,exit_reason,entry_price,exit_price
2024-07-01 14:30:00+00:00,2024-07-01 14:45:00+00:00,30.0,1,long_retrace,,long_ret,tp,8165.0,8195.0
2024-07-02 15:00:00+00:00,2024-07-02 15:30:00+00:00,30.0,1,long_retrace,,long_ret,tp,8297.1,8327.1
2024-07-03 14:40:00+00:00,2024-07-03 16:10:00+00:00,10.699999999998909,-1,short_impulse,,si,timeout,,
2024-07-05 14:15:00+00:00,2024-07-05 14:30:00+00:00,-15.0,1,long_retrace,,long_ret,sl,8349.9,8334.9
2024-07-08 14:15:00+00:00,2024-07-08 15:30:00+00:00,-15.0,1,long_retrace,,long_ret,sl,8225.3,8210.3
2024-07-09 15:30:00+00:00,2024-07-09 15:45:00+00:00,30.0,-1,ret_short,,ret_short,tp,8142.6,8112.6
2024-07-10 13:45:00+00:00,2024-07-10 14:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,8074.8,8089.8
2024-07-11 13:45:00+00:00,2024-07-11 14:00:00+00:00,-15.0,1,long_retrace,,long_ret,sl,8126.6,8111.6
2024-07-11 14:15:00+00:00,2024-07-11 14:30:00+00:00,30.0,1,ret,,ret,tp,8118.9,8148.9
2024-07-11 14:30:00+00:00,2024-07-11 15:15:00+00:00,-15.0,1,long_retrace,,long_ret,sl,8178.8,8163.8
2024-07-11 15:15:00+00:00,2024-07-11 16:15:00+00:00,-15.0,1,ret,,ret,sl,8174.0,8159.0
2024-07-12 14:00:00+00:00,2024-07-12 14:30:00+00:00,-15.0,1,long_retrace,,long_ret,sl,8228.2,8213.2
2024-07-15 15:30:00+00:00,2024-07-15 15:45:00+00:00,-15.0,1,long_retrace,,long_ret,sl,8124.2,8109.2
2024-07-17 15:45:00+00:00,2024-07-17 18:30:00+00:00,-7.100000000000364,-1,ret_short,,ret_short,ny_close,8157.2,8164.3
2024-07-18 15:00:00+00:00,2024-07-18 15:15:00+00:00,30.0,1,long_retrace,,long_ret,tp,8120.7,8150.7
2024-07-18 15:15:00+00:00,2024-07-18 16:00:00+00:00,30.0,1,long_retrace,,long_ret,tp,8155.2,8185.2
