leg,model,ml_th,trades,pnl,wr
wr90,xgb,0.5,102,2763.9000000000015,67.64705882352942
wr90,xgb,0.55,96,2833.9000000000015,70.83333333333334
wr90,xgb,0.6,91,2764.9000000000015,71.42857142857143
wr90,et,0.5,91,2730.000000000002,71.42857142857143
wr90,et,0.55,75,2297.6000000000013,74.66666666666667
wr90,et,0.6,54,1701.1999999999998,75.92592592592592
wr90,hgb,0.5,102,2551.1000000000004,64.70588235294117
wr90,hgb,0.55,96,2452.1000000000004,65.625
wr90,hgb,0.6,89,2332.1000000000004,67.41573033707866
wr90,lgb,0.5,104,2712.000000000001,66.34615384615384
wr90,lgb,0.55,91,2843.2000000000007,72.52747252747253
wr90,lgb,0.6,85,2729.500000000001,72.94117647058823
ret,xgb,0.55,270,1507.8000000000002,45.55555555555556
ret,xgb,0.6,235,1460.0,46.808510638297875
ret,xgb,0.65,193,1100.0,45.59585492227979
ret,et,0.55,126,657.1000000000004,45.23809523809524
ret,et,0.6,32,105.0,40.625
ret,et,0.65,0,0.0,0.0
ret,hgb,0.55,286,1267.8000000000002,43.00699300699301
ret,hgb,0.6,248,1252.8000000000002,44.354838709677416
ret,hgb,0.65,225,1282.8000000000002,45.77777777777778
ret,lgb,0.55,278,1387.8000000000002,44.24460431654676
ret,lgb,0.6,242,1162.8000000000002,43.80165289256198
ret,lgb,0.65,207,1102.8000000000002,44.927536231884055
si,xgb,0.5,158,2914.5000000000036,66.45569620253164
si,xgb,0.55,124,2997.400000000006,67.74193548387096
si,xgb,0.6,103,2873.6000000000076,69.90291262135922
si,et,0.5,169,3228.600000000005,65.68047337278107
si,et,0.55,77,1998.100000000003,68.83116883116884
si,et,0.6,23,526.3000000000002,60.86956521739131
si,hgb,0.5,159,2635.0000000000045,62.893081761006286
si,hgb,0.55,148,2516.3000000000047,62.83783783783784
si,hgb,0.6,136,2495.7000000000053,63.23529411764706
si,lgb,0.5,154,2572.2000000000016,63.63636363636363
si,lgb,0.55,143,2504.4000000000024,64.33566433566433
si,lgb,0.6,122,2130.400000000004,62.295081967213115
