entry,exit,pnl,reason,type,side,_leg,_prob,entry_price,exit_price
2024-07-01 14:30:00+00:00,2024-07-01 14:45:00+00:00,30.0,tp,long_retrace,1,long_ret,0.5851911902427673,,
2024-07-02 15:00:00+00:00,2024-07-02 15:30:00+00:00,30.0,tp,long_retrace,1,long_ret,0.796536386013031,,
2024-07-03 14:40:00+00:00,2024-07-03 16:10:00+00:00,10.699999999998909,timeout,short_impulse,-1,si,0.5078295914931812,,
2024-07-05 14:15:00+00:00,2024-07-05 14:30:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.618101954460144,,
2024-07-08 14:15:00+00:00,2024-07-08 15:30:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.7088524699211121,,
2024-07-09 15:30:00+00:00,2024-07-09 15:45:00+00:00,30.0,tp,ret_short,-1,ret_short,0.8737545609474182,,
2024-07-10 13:45:00+00:00,2024-07-10 14:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.5543552041053772,,
2024-07-11 13:45:00+00:00,2024-07-11 14:00:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.6913735270500183,,
2024-07-11 14:15:00+00:00,2024-07-11 14:30:00+00:00,30.0,tp,ret,1,ret,0.5933114886283875,,
2024-07-11 14:30:00+00:00,2024-07-11 15:15:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.5383002758026123,,
2024-07-11 15:15:00+00:00,2024-07-11 16:15:00+00:00,-15.0,sl,ret,1,ret,0.8682729601860046,,
2024-07-12 14:00:00+00:00,2024-07-12 14:30:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.5896713733673096,,
2024-07-15 15:30:00+00:00,2024-07-15 15:45:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.6750941276550293,,
2024-07-17 15:45:00+00:00,2024-07-17 18:30:00+00:00,-7.100000000000364,ny_close,ret_short,-1,ret_short,0.6822203397750854,,
2024-07-18 15:00:00+00:00,2024-07-18 15:15:00+00:00,30.0,tp,long_retrace,1,long_ret,0.7231292724609375,,
