date,bot_count,bt_count,matches,bot_pnl,bt_pnl,pnl_diff,bot_win_rate,bt_win_rate,recon_time
2026-05-04,12,7,1,152.7,109.67,43.03,75.0,100.0,2026-05-10T06:54:46.628602+00:00
2026-05-05,4,5,0,29.28,42.93,-13.65,75.0,60.0,2026-05-10T06:54:47.839122+00:00
2026-05-06,3,9,0,28.6,-42.44,71.04,100.0,22.2,2026-05-10T06:54:49.049681+00:00
2026-05-07,0,10,0,0.0,-66.93,66.93,0.0,20.0,2026-05-10T06:54:50.247181+00:00
2026-05-06,3,9,0,28.6,-42.44,71.04,100.0,22.2,2026-05-10T06:55:14.771845+00:00
2026-05-10,0,5,0,0.0,11.41,-11.41,0.0,80.0,2026-05-11T21:00:30.604705+00:00
2026-05-10,0,5,0,0.0,11.41,-11.41,0.0,80.0,2026-05-11T21:00:30.612690+00:00
2026-05-10,0,5,0,0.0,11.41,-11.41,0.0,80.0,2026-05-11T21:00:30.643013+00:00
2026-05-11,0,9,0,0.0,10.42,-10.42,0.0,66.7,2026-05-12T21:00:24.669089+00:00
2026-05-11,0,9,0,0.0,10.42,-10.42,0.0,66.7,2026-05-12T21:00:24.680994+00:00
2026-05-11,0,9,0,0.0,10.42,-10.42,0.0,66.7,2026-05-12T21:00:24.737911+00:00
2026-05-12,0,4,0,0.0,-7.92,7.92,0.0,50.0,2026-05-13T21:00:21.200981+00:00
2026-05-12,0,4,0,0.0,-7.92,7.92,0.0,50.0,2026-05-13T21:00:21.256197+00:00
