label,gate,max_close_dist,max_open_gap,horizon,fills,trades,wr,net,avg
open+trend H90,True,,,90,1822,831,34.3,782.6,0.94
breakout+next_open no filter,True,,,90,1296,740,35.7,737.4,1.0
,False,any,any,90,4095,1774,32.6,-206.5,-0.12
,False,0.5,any,90,1696,1370,27.4,-481.7,-0.35
,False,1.0,any,90,2253,1682,27.5,-663.2,-0.39
,False,1.5,any,90,2550,1840,28.5,-340.3,-0.18
,False,2.0,any,90,2787,1935,28.6,-322.5,-0.17
,False,3.0,any,90,3074,2001,29.4,-128.4,-0.06
,False,5.0,any,90,3461,1980,30.3,-440.3,-0.22
,False,8.0,any,90,3749,1923,31.4,-635.8,-0.33
,False,12.0,any,90,3909,1866,31.8,-599.9,-0.32
,False,any,any,120,4095,1774,32.6,-206.5,-0.12
,False,0.5,any,120,1696,1370,27.4,-481.7,-0.35
,False,1.0,any,120,2253,1682,27.5,-663.2,-0.39
,False,1.5,any,120,2550,1840,28.5,-340.3,-0.18
,False,2.0,any,120,2787,1935,28.6,-322.5,-0.17
,False,3.0,any,120,3074,2001,29.4,-128.4,-0.06
,False,5.0,any,120,3461,1980,30.3,-440.3,-0.22
,False,8.0,any,120,3749,1923,31.4,-635.8,-0.33
,False,12.0,any,120,3909,1866,31.8,-599.9,-0.32
,True,any,any,90,1296,740,35.7,737.4,1.0
,True,0.5,any,90,532,465,31.6,367.7,0.79
,True,1.0,any,90,704,586,30.4,199.6,0.34
,True,1.5,any,90,791,648,29.9,84.5,0.13
,True,2.0,any,90,875,696,30.0,118.0,0.17
,True,3.0,any,90,969,734,31.1,187.2,0.26
,True,5.0,any,90,1091,767,32.6,388.5,0.51
,True,8.0,any,90,1190,780,34.1,492.8,0.63
,True,12.0,any,90,1234,769,34.6,692.2,0.9
,True,any,any,120,1296,740,35.7,737.4,1.0
,True,0.5,any,120,532,465,31.6,367.7,0.79
,True,1.0,any,120,704,586,30.4,199.6,0.34
,True,1.5,any,120,791,648,29.9,84.5,0.13
,True,2.0,any,120,875,696,30.0,118.0,0.17
,True,3.0,any,120,969,734,31.1,187.2,0.26
,True,5.0,any,120,1091,767,32.6,388.5,0.51
,True,8.0,any,120,1190,780,34.1,492.8,0.63
,True,12.0,any,120,1234,769,34.6,692.2,0.9
close+open_gap,True,1.0,2.0,90,699,583,30.5,251.5,0.43
close+open_gap,True,1.0,3.0,90,704,586,30.4,200.2,0.34
close+open_gap,True,1.0,5.0,90,704,586,30.4,199.6,0.34
close+open_gap,True,1.5,2.0,90,785,646,30.2,152.8,0.24
close+open_gap,True,1.5,3.0,90,791,648,29.9,84.5,0.13
close+open_gap,True,1.5,5.0,90,791,648,29.9,84.5,0.13
close+open_gap,True,2.0,2.0,90,848,686,29.6,93.8,0.14
close+open_gap,True,2.0,3.0,90,873,695,29.9,115.6,0.17
close+open_gap,True,2.0,5.0,90,874,696,29.9,101.8,0.15
close+open_gap,True,3.0,2.0,90,856,689,30.2,217.8,0.32
close+open_gap,True,3.0,3.0,90,949,725,30.3,165.3,0.23
close+open_gap,True,3.0,5.0,90,968,734,30.9,172.4,0.23
