model,prob,signals,trades,wr,net,avg
logreg,0.5,1924,1477,49.5,8936.6,6.05
logreg,0.52,1729,1351,49.8,8474.4,6.27
logreg,0.55,1464,1169,50.7,7668.2,6.56
logreg,0.58,1219,990,52.7,7179.6,7.25
logreg,0.6,1084,887,53.2,6727.6,7.58
logreg,0.62,942,777,55.3,6282.9,8.09
logreg,0.65,788,653,56.0,5506.2,8.43
logreg,0.68,665,557,57.3,5003.5,8.98
logreg,0.7,577,483,58.4,4533.2,9.39
gbc,0.5,1491,1199,59.5,10444.2,8.71
gbc,0.52,1390,1139,59.5,9884.2,8.68
gbc,0.55,1245,1040,60.6,9397.0,9.04
gbc,0.58,1110,938,61.5,8764.6,9.34
gbc,0.6,1023,872,63.1,8554.6,9.81
gbc,0.62,956,820,63.7,8175.3,9.97
gbc,0.65,855,746,65.8,7862.0,10.54
gbc,0.68,754,663,66.5,7110.8,10.73
gbc,0.7,692,613,68.0,6872.9,11.21
lgb,0.5,1674,1334,57.8,10991.5,8.24
lgb,0.52,1578,1281,58.2,10690.5,8.35
lgb,0.55,1441,1198,59.3,10391.5,8.67
lgb,0.58,1298,1094,60.9,9964.7,9.11
lgb,0.6,1226,1040,62.0,9813.5,9.44
lgb,0.62,1139,973,62.6,9308.2,9.57
lgb,0.65,1021,882,63.8,8712.1,9.88
lgb,0.68,913,802,64.8,8178.2,10.2
lgb,0.7,854,756,65.5,7908.4,10.46
