model,prob,signals,trades,wr,net,avg
logreg,0.5,547,456,52.6,3408.8,7.48
logreg,0.52,514,434,53.5,3379.8,7.79
logreg,0.55,452,375,54.4,3032.6,8.09
logreg,0.58,409,339,54.9,2804.5,8.27
logreg,0.6,371,308,56.2,2737.1,8.89
logreg,0.62,350,292,56.8,2696.4,9.23
logreg,0.65,308,261,57.5,2455.7,9.41
logreg,0.68,272,233,58.4,2235.9,9.6
logreg,0.7,242,207,57.5,1971.6,9.52
gbc,0.5,479,408,55.1,3382.4,8.29
gbc,0.52,450,391,56.3,3396.0,8.69
gbc,0.55,410,363,57.0,3270.0,9.01
gbc,0.58,371,332,58.4,3108.9,9.36
gbc,0.6,352,317,59.0,3053.8,9.63
gbc,0.62,334,303,59.7,3014.1,9.95
gbc,0.65,296,272,59.9,2804.7,10.31
gbc,0.68,265,247,60.3,2535.7,10.27
gbc,0.7,243,227,62.1,2442.3,10.76
lgb,0.5,500,431,53.6,3462.8,8.03
lgb,0.52,475,413,54.0,3366.1,8.15
lgb,0.55,449,394,54.1,3189.2,8.09
lgb,0.58,413,366,56.0,3155.1,8.62
lgb,0.6,392,348,56.0,2978.7,8.56
lgb,0.62,379,337,56.4,2948.8,8.75
lgb,0.65,355,318,58.2,2962.7,9.32
lgb,0.68,324,294,59.2,2882.8,9.81
lgb,0.7,304,276,60.1,2802.9,10.16
hgb,0.5,467,407,55.5,3411.6,8.38
hgb,0.52,447,394,55.6,3350.0,8.5
hgb,0.55,424,373,55.5,3159.8,8.47
hgb,0.58,399,355,55.5,3048.5,8.59
hgb,0.6,381,341,56.0,2955.9,8.67
hgb,0.62,364,329,55.9,2860.2,8.69
hgb,0.65,337,305,56.4,2768.8,9.08
hgb,0.68,304,277,56.3,2541.1,9.17
hgb,0.7,277,253,57.7,2488.0,9.83
