model,prob,signals,trades,wr,net,avg
logreg,0.5,408,259,39.0,322.7,1.25
logreg,0.52,385,243,38.3,224.7,0.92
logreg,0.55,343,222,37.4,139.8,0.63
logreg,0.58,312,209,36.4,-22.4,-0.11
logreg,0.6,289,194,36.1,-53.8,-0.28
logreg,0.62,262,176,35.8,-69.6,-0.4
logreg,0.65,233,163,37.4,-27.6,-0.17
logreg,0.68,192,138,39.9,116.7,0.85
logreg,0.7,172,123,35.8,-24.5,-0.2
gbc,0.5,255,184,40.8,593.6,3.23
gbc,0.52,242,179,40.2,550.1,3.07
gbc,0.55,214,160,40.6,608.1,3.8
gbc,0.58,194,147,42.9,586.3,3.99
gbc,0.6,187,140,43.6,591.2,4.22
gbc,0.62,171,128,44.5,585.5,4.57
gbc,0.65,152,113,43.4,426.9,3.78
gbc,0.68,134,102,46.1,449.0,4.4
gbc,0.7,126,98,46.9,555.6,5.67
lgb,0.5,327,218,42.7,731.7,3.36
lgb,0.52,306,207,42.5,710.9,3.43
lgb,0.55,282,194,43.8,753.3,3.88
lgb,0.58,262,182,44.0,716.6,3.94
lgb,0.6,241,172,43.0,681.5,3.96
lgb,0.62,228,165,43.0,564.5,3.42
lgb,0.65,206,151,44.4,567.0,3.76
lgb,0.68,189,139,44.6,505.9,3.64
lgb,0.7,177,129,44.2,418.4,3.24
hgb,0.5,262,191,40.8,642.8,3.37
hgb,0.52,244,179,42.5,547.2,3.06
hgb,0.55,220,163,42.9,453.9,2.78
hgb,0.58,199,150,42.7,421.1,2.81
hgb,0.6,191,144,41.7,373.1,2.59
hgb,0.62,184,140,42.1,379.6,2.71
hgb,0.65,169,128,44.5,528.7,4.13
hgb,0.68,158,119,46.2,608.5,5.11
hgb,0.7,140,108,49.1,743.9,6.89
