scenario,gate,pre_close_max,horizon,fills,trades,wr,net,avg
open+trend H90,True,any,90,1822,831,34.3,782.6,0.94
breakout no pre-close filter,True,any,90,1296,740,35.7,737.4,1.0
,False,any,90,4095,1774,32.6,-206.5,-0.12
,False,1.0,90,2325,1647,29.2,-140.2,-0.09
,False,2.0,90,2850,1866,29.7,-152.0,-0.08
,False,3.0,90,3135,1954,29.9,-147.9,-0.08
,False,4.0,90,3370,1915,30.9,-204.1,-0.11
,False,5.0,90,3504,1933,31.2,-198.5,-0.1
,False,6.0,90,3620,1924,31.3,-292.0,-0.15
,False,8.0,90,3781,1890,31.8,-289.7,-0.15
,False,10.0,90,3865,1867,32.0,-449.0,-0.24
,False,15.0,90,3975,1841,31.7,-1212.2,-0.66
,False,any,120,4095,1774,32.6,-206.5,-0.12
,False,1.0,120,2325,1647,29.2,-140.2,-0.09
,False,2.0,120,2850,1866,29.7,-152.0,-0.08
,False,3.0,120,3135,1954,29.9,-147.9,-0.08
,False,4.0,120,3370,1915,30.9,-204.1,-0.11
,False,5.0,120,3504,1933,31.2,-198.5,-0.1
,False,6.0,120,3620,1924,31.3,-292.0,-0.15
,False,8.0,120,3781,1890,31.8,-289.7,-0.15
,False,10.0,120,3865,1867,32.0,-449.0,-0.24
,False,15.0,120,3975,1841,31.7,-1212.2,-0.66
,True,any,90,1296,740,35.7,737.4,1.0
,True,1.0,90,717,575,31.0,529.1,0.92
,True,2.0,90,889,679,30.9,370.6,0.55
,True,3.0,90,987,725,31.7,444.5,0.61
,True,4.0,90,1073,743,32.8,332.5,0.45
,True,5.0,90,1111,762,32.9,454.2,0.6
,True,6.0,90,1145,770,33.8,543.3,0.71
,True,8.0,90,1202,775,34.8,835.0,1.08
,True,10.0,90,1226,765,35.0,842.6,1.1
,True,15.0,90,1250,759,34.5,609.9,0.8
,True,any,120,1296,740,35.7,737.4,1.0
,True,1.0,120,717,575,31.0,529.1,0.92
,True,2.0,120,889,679,30.9,370.6,0.55
,True,3.0,120,987,725,31.7,444.5,0.61
,True,4.0,120,1073,743,32.8,332.5,0.45
,True,5.0,120,1111,762,32.9,454.2,0.6
,True,6.0,120,1145,770,33.8,543.3,0.71
,True,8.0,120,1202,775,34.8,835.0,1.08
,True,10.0,120,1226,765,35.0,842.6,1.1
,True,15.0,120,1250,759,34.5,609.9,0.8
