tp_r,horizon,fills,trades,wr,net,avg,max_dd,sl_med,tp_med,tp_hit,sl_hit,timeout
1.5,30,1226,973,43.7,558.3,0.57,-253.7,7.8,11.7,287,438,248
1.5,45,1226,920,42.1,335.3,0.36,-377.5,8.0,12.0,304,460,156
1.5,60,1226,890,42.4,417.1,0.47,-381.5,8.1,12.1,313,468,109
1.5,75,1226,885,42.0,432.5,0.49,-357.4,8.1,12.1,324,482,79
1.5,90,1226,882,41.6,427.8,0.49,-370.0,8.1,12.1,332,493,57
1.5,105,1226,878,41.0,389.5,0.44,-380.7,8.1,12.1,337,497,44
1.5,120,1226,878,41.2,406.1,0.46,-383.8,8.1,12.1,342,500,36
1.5,150,1226,877,41.0,384.9,0.44,-426.9,8.1,12.1,346,504,27
2.0,30,1226,929,40.9,452.9,0.49,-379.4,7.6,15.3,198,439,292
2.0,45,1226,869,37.7,204.7,0.24,-531.3,7.7,15.4,220,462,187
2.0,60,1226,830,38.1,445.2,0.54,-537.6,7.8,15.5,231,466,133
2.0,75,1226,811,37.5,482.2,0.59,-526.7,7.8,15.6,241,473,97
2.0,90,1226,800,37.6,584.6,0.73,-506.2,7.8,15.6,248,477,75
2.0,105,1226,791,36.5,549.3,0.69,-477.9,7.8,15.7,250,484,57
2.0,120,1226,790,36.5,535.4,0.68,-462.2,7.8,15.7,254,489,47
2.0,150,1226,788,36.0,540.8,0.69,-478.9,7.8,15.7,260,492,36
2.5,30,1226,906,40.0,772.5,0.85,-276.2,7.6,19.0,150,437,319
2.5,45,1226,835,36.5,484.4,0.58,-365.6,7.6,19.1,166,454,215
2.5,60,1226,793,36.2,713.3,0.9,-327.1,7.7,19.2,178,457,158
2.5,75,1226,768,34.9,782.6,1.02,-334.1,7.8,19.4,189,466,113
2.5,90,1226,754,35.0,893.2,1.18,-297.3,7.7,19.3,195,466,93
2.5,105,1226,743,33.9,874.6,1.18,-266.7,7.7,19.3,196,471,76
2.5,120,1226,743,33.6,893.7,1.2,-238.3,7.7,19.3,202,476,65
2.5,150,1226,740,33.1,789.1,1.07,-288.0,7.7,19.3,204,483,53
3.0,30,1226,889,38.8,878.4,0.99,-238.2,7.6,22.8,119,438,332
3.0,45,1226,810,35.3,556.5,0.69,-344.0,7.6,22.9,134,452,224
3.0,60,1226,765,35.0,842.6,1.1,-345.5,7.7,23.0,143,456,166
3.0,75,1226,738,33.2,954.7,1.29,-359.1,7.8,23.3,152,461,125
3.0,90,1226,723,33.2,1080.3,1.49,-312.3,7.7,23.1,156,462,105
3.0,105,1226,704,31.8,1054.9,1.5,-287.8,7.7,23.2,158,459,87
3.0,120,1226,699,31.5,1121.8,1.6,-260.6,7.8,23.2,161,460,78
3.0,150,1226,692,30.9,1016.2,1.47,-311.8,7.7,23.2,165,466,61
3.5,30,1226,876,38.0,768.7,0.88,-242.5,7.6,26.6,94,438,344
3.5,45,1226,786,34.4,573.1,0.73,-342.3,7.6,26.7,108,446,232
3.5,60,1226,747,33.3,599.2,0.8,-363.8,7.6,26.7,113,457,177
3.5,75,1226,716,31.3,622.6,0.87,-369.9,7.7,26.8,118,464,134
3.5,90,1226,704,31.0,749.8,1.07,-339.5,7.6,26.7,122,468,114
3.5,105,1226,684,29.5,725.6,1.06,-317.6,7.7,26.8,126,464,94
3.5,120,1226,678,29.2,732.4,1.08,-300.9,7.7,26.9,126,463,89
3.5,150,1226,671,28.5,667.2,0.99,-343.1,7.7,26.9,131,466,74
4.0,30,1226,870,37.4,672.6,0.77,-261.4,7.5,30.2,70,439,361
4.0,45,1226,772,32.8,396.3,0.51,-375.0,7.6,30.4,80,448,244
4.0,60,1226,729,31.3,463.3,0.64,-370.0,7.6,30.4,86,459,184
4.0,75,1226,694,29.4,528.7,0.76,-361.9,7.6,30.6,90,462,142
4.0,90,1226,681,28.3,631.9,0.93,-333.3,7.6,30.6,92,468,121
4.0,105,1226,665,26.9,536.3,0.81,-325.6,7.6,30.6,98,468,99
4.0,120,1226,658,26.7,551.6,0.84,-323.9,7.6,30.6,98,467,93
4.0,150,1226,650,25.5,458.1,0.7,-360.2,7.6,30.6,104,471,75
4.5,30,1226,858,37.5,657.7,0.77,-311.9,7.4,33.5,56,434,368
