side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,target_updates,exit_time,exit_price,exit_reason,pnl,win
1,2025-06-02 07:30:00+00:00,2025-06-02 07:31:00+00:00,3354.8,breakout,3351.18,3365.660000000001,3.6200000000003456,10.860000000001037,120,2025-06-02 09:31:00+00:00,3351.18,3354.8,0,2025-06-02 07:55:00+00:00,3351.18,stop_loss,-3.6200000000003456,False
1,2025-06-02 11:45:00+00:00,2025-06-02 11:46:00+00:00,3358.08,breakout,3354.15,3369.8699999999994,3.9299999999998363,11.789999999999509,120,2025-06-02 13:46:00+00:00,3354.15,3358.08,0,2025-06-02 11:50:00+00:00,3354.15,stop_loss,-3.9299999999998363,False
1,2025-06-02 14:00:00+00:00,2025-06-02 14:01:00+00:00,3374.88,breakout,3369.83,3390.0300000000007,5.050000000000182,15.150000000000546,120,2025-06-02 16:01:00+00:00,3369.83,3374.88,0,2025-06-02 14:08:00+00:00,3369.83,stop_loss,-5.050000000000182,False
-1,2025-06-02 15:30:00+00:00,2025-06-02 15:31:00+00:00,3371.85,breakout,3375.3,3361.499999999999,3.450000000000273,10.350000000000819,120,2025-06-02 17:31:00+00:00,3371.85,3375.3,0,2025-06-02 15:42:00+00:00,3375.3,stop_loss,-3.450000000000273,False
-1,2025-06-03 13:45:00+00:00,2025-06-03 13:46:00+00:00,3353.32,breakout,3359.86,3333.7000000000003,6.539999999999964,19.61999999999989,120,2025-06-03 16:00:00+00:00,3353.32,3359.86,1,2025-06-03 14:05:00+00:00,3333.7000000000003,target_hit,19.61999999999989,True
-1,2025-06-03 14:15:00+00:00,2025-06-03 14:16:00+00:00,3337.65,breakout,3346.96,3309.7200000000003,9.309999999999945,27.929999999999836,120,2025-06-03 16:16:00+00:00,3337.65,3346.96,0,2025-06-03 14:30:00+00:00,3346.96,stop_loss,-9.309999999999945,False
-1,2025-06-04 11:00:00+00:00,2025-06-04 11:03:00+00:00,3349.93,breakout,3354.23,3337.0299999999993,4.300000000000182,12.900000000000546,120,2025-06-04 13:30:00+00:00,3349.93,3354.23,1,2025-06-04 12:15:00+00:00,3354.23,stop_loss,-4.300000000000182,False
1,2025-06-04 12:45:00+00:00,2025-06-04 12:46:00+00:00,3354.98,breakout,3349.75,3370.67,5.230000000000018,15.690000000000055,120,2025-06-04 16:15:00+00:00,3349.75,3354.98,1,2025-06-04 14:30:00+00:00,3370.67,target_hit,15.690000000000055,True
-1,2025-06-05 13:00:00+00:00,2025-06-05 13:01:00+00:00,3380.57,breakout,3391.08,3349.040000000001,10.509999999999764,31.52999999999929,120,2025-06-05 17:30:00+00:00,3380.57,3391.08,6,2025-06-05 15:42:00+00:00,3349.040000000001,target_hit,31.52999999999929,True
-1,2025-06-05 15:45:00+00:00,2025-06-05 15:46:00+00:00,3358.38,breakout,3361.98,3347.5800000000004,3.599999999999909,10.799999999999727,120,2025-06-05 17:46:00+00:00,3358.38,3361.98,0,2025-06-05 15:47:00+00:00,3347.5800000000004,target_hit,10.799999999999727,True
