side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,target_updates,exit_time,exit_price,exit_reason,pnl,win
1,2025-07-02 12:30:00+00:00,2025-07-02 12:31:00+00:00,3345.83,breakout,3336.76,3373.039999999999,9.069999999999709,27.209999999999127,120,2025-07-02 14:31:00+00:00,3336.76,3345.83,0,2025-07-02 13:49:00+00:00,3336.76,stop_loss,-9.069999999999709,False
1,2025-07-03 13:00:00+00:00,2025-07-03 13:01:00+00:00,3319.23,breakout,3315.04,3331.8,4.190000000000055,12.570000000000164,120,2025-07-03 15:15:00+00:00,3315.04,3319.23,1,2025-07-03 13:16:00+00:00,3331.8,target_hit,12.570000000000164,True
1,2025-07-03 13:15:00+00:00,2025-07-03 13:16:00+00:00,3329.05,breakout,3325.04,3341.080000000001,4.010000000000218,12.030000000000655,120,2025-07-03 15:16:00+00:00,3325.04,3329.05,0,2025-07-03 14:22:00+00:00,3325.04,stop_loss,-4.010000000000218,False
-1,2025-07-15 13:15:00+00:00,2025-07-15 13:16:00+00:00,3347.03,breakout,3350.79,3335.750000000001,3.7599999999997635,11.27999999999929,120,2025-07-15 15:16:00+00:00,3347.03,3350.79,0,2025-07-15 13:35:00+00:00,3335.750000000001,target_hit,11.27999999999929,True
1,2025-07-16 15:00:00+00:00,2025-07-16 15:01:00+00:00,3336.12,breakout,3327.11,3363.149999999999,9.009999999999764,27.02999999999929,120,2025-07-16 17:15:00+00:00,3327.11,3336.12,1,2025-07-16 15:16:00+00:00,3363.149999999999,target_hit,27.02999999999929,True
1,2025-07-16 15:15:00+00:00,2025-07-16 15:16:00+00:00,3345.3,breakout,3339.65,3362.2500000000005,5.650000000000091,16.950000000000273,120,2025-07-16 17:16:00+00:00,3339.65,3345.3,0,2025-07-16 15:17:00+00:00,3362.2500000000005,target_hit,16.950000000000273,True
1,2025-07-16 15:30:00+00:00,2025-07-16 15:31:00+00:00,3369.95,breakout,3349.92,3430.039999999999,20.029999999999745,60.089999999999236,120,2025-07-16 17:31:00+00:00,3349.92,3369.95,0,2025-07-16 15:55:00+00:00,3349.92,stop_loss,-20.029999999999745,False
-1,2025-07-16 16:00:00+00:00,2025-07-16 16:01:00+00:00,3355.88,breakout,3361.33,3339.5300000000007,5.449999999999818,16.349999999999454,120,2025-07-16 18:01:00+00:00,3355.88,3361.33,0,2025-07-16 16:03:00+00:00,3339.5300000000007,target_hit,16.349999999999454,True
-1,2025-07-17 12:45:00+00:00,2025-07-17 12:46:00+00:00,3315.0,breakout,3328.1,3275.7000000000003,13.099999999999909,39.29999999999973,120,2025-07-17 14:46:00+00:00,3315.0,3328.1,0,2025-07-17 14:18:00+00:00,3328.1,stop_loss,-13.099999999999909,False
-1,2025-07-23 13:30:00+00:00,2025-07-23 13:31:00+00:00,3413.34,breakout,3417.7,3400.260000000001,4.359999999999673,13.079999999999018,120,2025-07-23 15:31:00+00:00,3413.34,3417.7,0,2025-07-23 14:05:00+00:00,3417.7,stop_loss,-4.359999999999673,False
-1,2025-07-28 14:00:00+00:00,2025-07-28 14:01:00+00:00,3313.85,breakout,3317.93,3301.61,4.079999999999927,12.239999999999782,120,2025-07-28 16:01:00+00:00,3313.85,3317.93,0,2025-07-28 16:01:00+00:00,3313.93,timeout,-0.07999999999992724,False
-1,2025-07-30 15:30:00+00:00,2025-07-30 15:31:00+00:00,3293.49,breakout,3298.63,3278.069999999999,5.140000000000327,15.420000000000982,120,2025-07-30 17:31:00+00:00,3293.49,3298.63,0,2025-07-30 16:54:00+00:00,3298.63,stop_loss,-5.140000000000327,False
1,2025-08-01 12:45:00+00:00,2025-08-01 12:46:00+00:00,3314.36,breakout,3300.87,3354.830000000001,13.490000000000236,40.47000000000071,120,2025-08-01 16:15:00+00:00,3300.87,3314.36,2,2025-08-01 14:24:00+00:00,3354.830000000001,target_hit,40.47000000000071,True
-1,2025-08-05 14:00:00+00:00,2025-08-05 14:03:00+00:00,3373.14,breakout,3376.87,3361.95,3.730000000000018,11.190000000000055,120,2025-08-05 16:03:00+00:00,3373.14,3376.87,0,2025-08-05 14:05:00+00:00,3376.87,stop_loss,-3.730000000000018,False
1,2025-08-05 14:30:00+00:00,2025-08-05 14:34:00+00:00,3382.39,breakout,3379.08,3392.3199999999997,3.3099999999999454,9.929999999999836,120,2025-08-05 16:34:00+00:00,3379.08,3382.39,0,2025-08-05 16:30:00+00:00,3379.08,stop_loss,-3.3099999999999454,False
-1,2025-08-07 08:15:00+00:00,2025-08-07 08:16:00+00:00,3387.01,breakout,3392.54,3370.420000000001,5.529999999999745,16.589999999999236,120,2025-08-07 10:30:00+00:00,3387.01,3392.54,1,2025-08-07 10:30:00+00:00,3376.55,timeout,10.460000000000036,True
1,2025-08-08 18:15:00+00:00,2025-08-08 18:16:00+00:00,3394.85,breakout,3381.43,3435.11,13.420000000000073,40.26000000000022,120,2025-08-08 20:45:00+00:00,3381.43,3394.85,1,2025-08-08 20:45:00+00:00,3395.78,timeout,0.930000000000291,True
1,2025-08-12 12:45:00+00:00,2025-08-12 12:47:00+00:00,3355.15,breakout,3341.15,3397.15,14.0,42.0,120,2025-08-12 14:47:00+00:00,3341.15,3355.15,0,2025-08-12 13:39:00+00:00,3341.15,stop_loss,-14.0,False
-1,2025-08-12 14:00:00+00:00,2025-08-12 14:01:00+00:00,3346.08,breakout,3351.66,3329.34,5.579999999999927,16.73999999999978,120,2025-08-12 16:01:00+00:00,3346.08,3351.66,0,2025-08-12 15:28:00+00:00,3351.66,stop_loss,-5.579999999999927,False
1,2025-08-22 14:15:00+00:00,2025-08-22 14:16:00+00:00,3346.68,breakout,3333.67,3385.709999999999,13.009999999999764,39.02999999999929,120,2025-08-22 16:16:00+00:00,3333.67,3346.68,0,2025-08-22 16:16:00+00:00,3372.78,timeout,26.100000000000364,True
-1,2025-08-28 12:45:00+00:00,2025-08-28 12:46:00+00:00,3402.39,breakout,3408.52,3383.9999999999995,6.130000000000109,18.390000000000327,120,2025-08-28 14:46:00+00:00,3402.39,3408.52,0,2025-08-28 13:50:00+00:00,3408.52,stop_loss,-6.130000000000109,False
1,2025-09-02 14:15:00+00:00,2025-09-02 14:16:00+00:00,3496.21,breakout,3491.55,3510.1899999999996,4.6599999999998545,13.979999999999563,120,2025-09-02 16:16:00+00:00,3491.55,3496.21,0,2025-09-02 14:44:00+00:00,3510.1899999999996,target_hit,13.979999999999563,True
-1,2025-09-04 12:45:00+00:00,2025-09-04 12:46:00+00:00,3543.29,breakout,3553.47,3512.7500000000005,10.179999999999836,30.53999999999951,120,2025-09-04 14:46:00+00:00,3543.29,3553.47,0,2025-09-04 13:25:00+00:00,3553.47,stop_loss,-10.179999999999836,False
-1,2025-09-04 14:00:00+00:00,2025-09-04 14:01:00+00:00,3545.51,breakout,3551.57,3527.3300000000004,6.059999999999945,18.179999999999836,120,2025-09-04 16:01:00+00:00,3545.51,3551.57,0,2025-09-04 15:46:00+00:00,3551.57,stop_loss,-6.059999999999945,False
1,2025-09-05 12:30:00+00:00,2025-09-05 12:31:00+00:00,3557.91,breakout,3552.22,3574.98,5.690000000000055,17.070000000000164,120,2025-09-05 14:31:00+00:00,3552.22,3557.91,0,2025-09-05 12:32:00+00:00,3574.98,target_hit,17.070000000000164,True
1,2025-09-05 12:45:00+00:00,2025-09-05 12:46:00+00:00,3576.1,breakout,3552.63,3646.5099999999993,23.4699999999998,70.4099999999994,120,2025-09-05 14:46:00+00:00,3552.63,3576.1,0,2025-09-05 14:46:00+00:00,3584.54,timeout,8.440000000000055,True
1,2025-09-08 10:15:00+00:00,2025-09-08 10:16:00+00:00,3621.38,breakout,3617.18,3633.980000000001,4.200000000000273,12.600000000000819,120,2025-09-08 12:16:00+00:00,3617.18,3621.38,0,2025-09-08 10:18:00+00:00,3617.18,stop_loss,-4.200000000000273,False
1,2025-09-08 13:15:00+00:00,2025-09-08 13:16:00+00:00,3629.35,breakout,3625.94,3639.5799999999995,3.4099999999998545,10.229999999999563,120,2025-09-08 15:16:00+00:00,3625.94,3629.35,0,2025-09-08 13:17:00+00:00,3625.94,stop_loss,-3.4099999999998545,False
-1,2025-09-10 14:45:00+00:00,2025-09-10 14:46:00+00:00,3650.3,breakout,3653.71,3640.0700000000006,3.4099999999998545,10.229999999999563,120,2025-09-10 16:46:00+00:00,3650.3,3653.71,0,2025-09-10 15:24:00+00:00,3640.0700000000006,target_hit,10.229999999999563,True
-1,2025-09-11 13:00:00+00:00,2025-09-11 13:01:00+00:00,3632.66,breakout,3637.4,3618.439999999999,4.7400000000002365,14.22000000000071,120,2025-09-11 15:01:00+00:00,3632.66,3637.4,0,2025-09-11 13:11:00+00:00,3637.4,stop_loss,-4.7400000000002365,False
-1,2025-09-11 13:30:00+00:00,2025-09-11 13:31:00+00:00,3629.64,breakout,3633.29,3618.6899999999996,3.650000000000091,10.950000000000273,120,2025-09-11 15:31:00+00:00,3629.64,3633.29,0,2025-09-11 13:37:00+00:00,3618.6899999999996,target_hit,10.950000000000273,True
1,2025-09-11 13:45:00+00:00,2025-09-11 13:46:00+00:00,3623.13,breakout,3619.54,3633.9000000000005,3.5900000000001455,10.770000000000437,120,2025-09-11 15:46:00+00:00,3619.54,3623.13,0,2025-09-11 14:09:00+00:00,3633.9000000000005,target_hit,10.770000000000437,True
-1,2025-09-12 08:15:00+00:00,2025-09-12 08:16:00+00:00,3643.64,breakout,3647.37,3632.45,3.730000000000018,11.190000000000055,120,2025-09-12 10:16:00+00:00,3643.64,3647.37,0,2025-09-12 09:58:00+00:00,3647.37,stop_loss,-3.730000000000018,False
1,2025-09-15 16:00:00+00:00,2025-09-15 16:01:00+00:00,3674.06,breakout,3670.69,3684.1699999999996,3.369999999999891,10.109999999999673,120,2025-09-15 18:01:00+00:00,3670.69,3674.06,0,2025-09-15 16:28:00+00:00,3684.1699999999996,target_hit,10.109999999999673,True
-1,2025-09-17 18:30:00+00:00,2025-09-17 18:31:00+00:00,3684.84,breakout,3691.6,3664.560000000001,6.7599999999997635,20.27999999999929,120,2025-09-17 20:31:00+00:00,3684.84,3691.6,0,2025-09-17 18:40:00+00:00,3664.560000000001,target_hit,20.27999999999929,True
-1,2025-09-17 18:45:00+00:00,2025-09-17 18:46:00+00:00,3673.43,breakout,3684.71,3639.5899999999992,11.2800000000002,33.8400000000006,120,2025-09-17 20:46:00+00:00,3673.43,3684.71,0,2025-09-17 20:46:00+00:00,3658.86,timeout,14.569999999999709,True
1,2025-09-18 07:45:00+00:00,2025-09-18 07:46:00+00:00,3659.2,breakout,3654.5,3673.2999999999993,4.699999999999818,14.099999999999454,120,2025-09-18 09:46:00+00:00,3654.5,3659.2,0,2025-09-18 08:08:00+00:00,3654.5,stop_loss,-4.699999999999818,False
-1,2025-09-22 13:45:00+00:00,2025-09-22 13:46:00+00:00,3718.77,breakout,3724.33,3702.09,5.559999999999945,16.679999999999836,120,2025-09-22 15:46:00+00:00,3718.77,3724.33,0,2025-09-22 14:53:00+00:00,3724.33,stop_loss,-5.559999999999945,False
