side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,target_updates,exit_time,exit_price,exit_reason,pnl,win
-1,2025-06-03 14:15:00+00:00,2025-06-03 14:17:00+00:00,3340.43,breakout_next_open,3346.96,3320.8399999999992,6.5300000000002,19.5900000000006,120,2025-06-03 16:17:00+00:00,3337.65,3346.96,0,2025-06-03 14:30:00+00:00,3346.96,stop_loss,-6.5300000000002,False
-1,2025-06-04 11:30:00+00:00,2025-06-04 11:32:00+00:00,3347.47,breakout_next_open,3348.9,3343.179999999999,1.430000000000291,4.290000000000873,120,2025-06-04 13:32:00+00:00,3344.94,3348.9,0,2025-06-04 11:40:00+00:00,3348.9,stop_loss,-1.430000000000291,False
-1,2025-06-04 13:45:00+00:00,2025-06-04 13:47:00+00:00,3353.4,breakout_next_open,3358.25,3338.8500000000004,4.849999999999909,14.549999999999727,120,2025-06-04 15:47:00+00:00,3354.23,3358.25,0,2025-06-04 14:00:00+00:00,3358.25,stop_loss,-4.849999999999909,False
-1,2025-06-06 09:15:00+00:00,2025-06-06 09:17:00+00:00,3359.8,breakout_next_open,3365.4,3343.0000000000005,5.599999999999909,16.799999999999727,120,2025-06-06 11:17:00+00:00,3361.1,3365.4,0,2025-06-06 11:17:00+00:00,3361.93,timeout,-2.1299999999996544,False
-1,2025-06-06 13:30:00+00:00,2025-06-06 13:32:00+00:00,3348.23,breakout_next_open,3358.8,3316.5199999999995,10.570000000000164,31.71000000000049,120,2025-06-06 16:15:00+00:00,3354.46,3358.8,2,2025-06-06 14:24:00+00:00,3316.5199999999995,target_hit,31.71000000000049,True
-1,2025-06-06 14:30:00+00:00,2025-06-06 14:32:00+00:00,3328.3,breakout_next_open,3335.98,3305.2600000000007,7.679999999999836,23.03999999999951,120,2025-06-06 17:15:00+00:00,3327.03,3335.98,2,2025-06-06 15:38:00+00:00,3335.98,stop_loss,-7.679999999999836,False
1,2025-06-09 14:00:00+00:00,2025-06-09 14:02:00+00:00,3320.29,breakout_next_open,3314.03,3339.0699999999993,6.2599999999997635,18.77999999999929,120,2025-06-09 16:02:00+00:00,3314.03,3317.59,0,2025-06-09 16:02:00+00:00,3327.73,timeout,7.440000000000055,True
1,2025-06-10 13:30:00+00:00,2025-06-10 13:32:00+00:00,3345.7,breakout_next_open,3342.72,3354.64,2.980000000000018,8.940000000000055,120,2025-06-10 15:32:00+00:00,3342.72,3346.42,0,2025-06-10 13:37:00+00:00,3342.72,stop_loss,-2.980000000000018,False
1,2025-06-11 12:45:00+00:00,2025-06-11 12:47:00+00:00,3351.48,breakout_next_open,3337.77,3392.61,13.710000000000036,41.13000000000011,120,2025-06-11 14:47:00+00:00,3337.77,3353.28,0,2025-06-11 12:56:00+00:00,3337.77,stop_loss,-13.710000000000036,False
1,2025-06-11 13:15:00+00:00,2025-06-11 13:17:00+00:00,3343.58,breakout_next_open,3337.45,3361.9700000000003,6.130000000000109,18.390000000000327,120,2025-06-11 15:17:00+00:00,3337.45,3341.41,0,2025-06-11 13:29:00+00:00,3337.45,stop_loss,-6.130000000000109,False
1,2025-06-12 08:00:00+00:00,2025-06-12 08:02:00+00:00,3349.53,breakout_next_open,3340.58,3376.380000000001,8.950000000000273,26.85000000000082,120,2025-06-12 10:02:00+00:00,3340.58,3345.23,0,2025-06-12 10:02:00+00:00,3363.78,timeout,14.25,True
1,2025-06-12 10:30:00+00:00,2025-06-12 10:32:00+00:00,3382.08,breakout_next_open,3368.58,3422.58,13.5,40.5,120,2025-06-12 12:32:00+00:00,3368.58,3373.28,0,2025-06-12 12:32:00+00:00,3384.7,timeout,2.619999999999891,True
1,2025-06-12 13:45:00+00:00,2025-06-12 13:47:00+00:00,3395.53,breakout_next_open,3382.18,3435.5800000000013,13.350000000000364,40.05000000000109,120,2025-06-12 15:47:00+00:00,3382.18,3386.03,0,2025-06-12 15:09:00+00:00,3382.18,stop_loss,-13.350000000000364,False
1,2025-06-12 15:30:00+00:00,2025-06-12 15:32:00+00:00,3387.63,breakout_next_open,3378.68,3414.480000000001,8.950000000000273,26.85000000000082,120,2025-06-12 17:32:00+00:00,3378.68,3384.23,0,2025-06-12 17:20:00+00:00,3378.68,stop_loss,-8.950000000000273,False
1,2025-06-13 07:15:00+00:00,2025-06-13 07:17:00+00:00,3415.69,breakout_next_open,3408.33,3437.7700000000004,7.360000000000127,22.080000000000382,120,2025-06-13 09:17:00+00:00,3408.33,3411.83,0,2025-06-13 09:17:00+00:00,3424.93,timeout,9.239999999999782,True
1,2025-06-13 12:45:00+00:00,2025-06-13 12:49:00+00:00,3433.13,breakout_next_open,3428.53,3446.93,4.599999999999909,13.799999999999727,120,2025-06-13 14:49:00+00:00,3428.53,3432.09,0,2025-06-13 13:37:00+00:00,3446.93,target_hit,13.799999999999727,True
1,2025-06-16 13:45:00+00:00,2025-06-16 13:49:00+00:00,3409.4,breakout_next_open,3404.61,3423.77,4.789999999999964,14.36999999999989,120,2025-06-16 15:49:00+00:00,3404.61,3409.55,0,2025-06-16 13:53:00+00:00,3404.61,stop_loss,-4.789999999999964,False
-1,2025-06-18 18:45:00+00:00,2025-06-18 18:47:00+00:00,3386.6,breakout_next_open,3390.33,3375.41,3.730000000000018,11.190000000000055,120,2025-06-18 20:47:00+00:00,3385.6,3390.33,0,2025-06-18 19:01:00+00:00,3375.41,target_hit,11.190000000000055,True
-1,2025-06-18 19:15:00+00:00,2025-06-18 19:17:00+00:00,3376.48,breakout_next_open,3379.48,3367.48,3.0,9.0,120,2025-06-18 21:17:00+00:00,3375.93,3379.48,0,2025-06-18 19:28:00+00:00,3367.48,target_hit,9.0,True
-1,2025-06-18 19:30:00+00:00,2025-06-18 19:32:00+00:00,3365.8,breakout_next_open,3369.65,3354.2500000000005,3.849999999999909,11.549999999999727,120,2025-06-18 21:32:00+00:00,3365.33,3369.65,0,2025-06-18 19:33:00+00:00,3369.65,stop_loss,-3.849999999999909,False
-1,2025-06-23 12:30:00+00:00,2025-06-23 12:32:00+00:00,3359.18,breakout_next_open,3368.58,3330.9799999999996,9.400000000000091,28.200000000000273,120,2025-06-23 14:32:00+00:00,3363.69,3368.58,0,2025-06-23 13:16:00+00:00,3368.58,stop_loss,-9.400000000000091,False
-1,2025-06-24 12:15:00+00:00,2025-06-24 12:18:00+00:00,3313.05,breakout_next_open,3316.9,3301.5000000000005,3.849999999999909,11.549999999999727,120,2025-06-24 14:18:00+00:00,3312.73,3316.9,0,2025-06-24 12:20:00+00:00,3316.9,stop_loss,-3.849999999999909,False
-1,2025-06-24 12:45:00+00:00,2025-06-24 12:47:00+00:00,3309.74,breakout_next_open,3313.65,3298.009999999999,3.9100000000003092,11.730000000000928,120,2025-06-24 14:47:00+00:00,3310.28,3313.65,0,2025-06-24 12:49:00+00:00,3313.65,stop_loss,-3.9100000000003092,False
-1,2025-06-24 13:45:00+00:00,2025-06-24 13:49:00+00:00,3297.0,breakout_next_open,3300.75,3285.75,3.75,11.25,120,2025-06-24 15:49:00+00:00,3297.05,3300.75,0,2025-06-24 13:53:00+00:00,3300.75,stop_loss,-3.75,False
-1,2025-06-27 09:15:00+00:00,2025-06-27 09:17:00+00:00,3285.65,breakout_next_open,3289.63,3273.71,3.980000000000018,11.940000000000055,120,2025-06-27 11:17:00+00:00,3285.33,3289.63,0,2025-06-27 10:09:00+00:00,3289.63,stop_loss,-3.980000000000018,False
-1,2025-06-27 12:00:00+00:00,2025-06-27 12:09:00+00:00,3277.03,breakout_next_open,3279.73,3268.9300000000007,2.699999999999818,8.099999999999454,120,2025-06-27 14:09:00+00:00,3276.43,3279.73,0,2025-06-27 12:22:00+00:00,3279.73,stop_loss,-2.699999999999818,False
-1,2025-06-27 12:45:00+00:00,2025-06-27 12:47:00+00:00,3271.63,breakout_next_open,3277.03,3255.43,5.400000000000091,16.200000000000273,120,2025-06-27 15:00:00+00:00,3271.93,3277.03,1,2025-06-27 14:05:00+00:00,3277.03,stop_loss,-5.400000000000091,False
1,2025-07-01 12:45:00+00:00,2025-07-01 12:47:00+00:00,3353.3,breakout_next_open,3351.38,3359.0600000000004,1.9200000000000728,5.760000000000218,120,2025-07-01 14:47:00+00:00,3351.38,3354.74,0,2025-07-01 13:06:00+00:00,3351.38,stop_loss,-1.9200000000000728,False
-1,2025-07-03 12:45:00+00:00,2025-07-03 12:47:00+00:00,3315.77,breakout_next_open,3351.42,3208.8199999999997,35.65000000000009,106.95000000000027,120,2025-07-03 14:47:00+00:00,3328.72,3351.42,0,2025-07-03 14:47:00+00:00,3328.17,timeout,-12.400000000000091,False
-1,2025-07-07 10:45:00+00:00,2025-07-07 10:47:00+00:00,3300.93,breakout_next_open,3305.67,3286.709999999999,4.7400000000002365,14.22000000000071,120,2025-07-07 12:47:00+00:00,3301.83,3305.67,0,2025-07-07 11:09:00+00:00,3305.67,stop_loss,-4.7400000000002365,False
1,2025-07-11 11:30:00+00:00,2025-07-11 11:32:00+00:00,3347.03,breakout_next_open,3342.28,3361.28,4.75,14.25,120,2025-07-11 15:15:00+00:00,3342.28,3345.73,2,2025-07-11 14:52:00+00:00,3361.28,target_hit,14.25,True
1,2025-07-16 16:15:00+00:00,2025-07-16 16:17:00+00:00,3348.53,breakout_next_open,3342.56,3366.440000000001,5.970000000000255,17.910000000000764,120,2025-07-16 18:17:00+00:00,3342.56,3348.02,0,2025-07-16 18:17:00+00:00,3356.49,timeout,7.959999999999582,True
