side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,target_updates,exit_time,exit_price,exit_reason,pnl,win
-1,2025-11-14 15:15:00+00:00,2025-11-14 15:17:00+00:00,4077.17,breakout_next_open,4083.04,4059.5600000000004,5.869999999999891,17.609999999999673,120,2025-11-14 17:30:00+00:00,4077.58,4083.04,1,2025-11-14 15:40:00+00:00,4083.04,stop_loss,-5.869999999999891,False
-1,2025-11-14 17:00:00+00:00,2025-11-14 17:02:00+00:00,4104.2,breakout_next_open,4109.2,4089.2,5.0,15.0,120,2025-11-14 19:02:00+00:00,4104.53,4109.2,0,2025-11-14 17:04:00+00:00,4109.2,stop_loss,-5.0,False
-1,2025-11-14 18:00:00+00:00,2025-11-14 18:02:00+00:00,4093.7,breakout_next_open,4103.87,4063.1899999999996,10.170000000000073,30.51000000000022,120,2025-11-14 20:15:00+00:00,4100.37,4103.87,1,2025-11-14 18:38:00+00:00,4103.87,stop_loss,-10.170000000000073,False
1,2025-11-20 17:30:00+00:00,2025-11-20 17:32:00+00:00,4055.72,breakout_next_open,4050.48,4071.439999999999,5.239999999999782,15.719999999999345,120,2025-11-20 19:32:00+00:00,4050.48,4056.48,0,2025-11-20 17:35:00+00:00,4050.48,stop_loss,-5.239999999999782,False
1,2025-11-20 17:45:00+00:00,2025-11-20 17:49:00+00:00,4059.98,breakout_next_open,4055.88,4072.2799999999997,4.099999999999909,12.299999999999727,120,2025-11-20 20:00:00+00:00,4055.88,4060.29,1,2025-11-20 18:06:00+00:00,4072.2799999999997,target_hit,12.299999999999727,True
-1,2025-11-21 09:45:00+00:00,2025-11-21 09:47:00+00:00,4052.74,breakout_next_open,4057.07,4039.7499999999986,4.330000000000382,12.990000000001146,120,2025-11-21 11:47:00+00:00,4052.56,4057.07,0,2025-11-21 10:13:00+00:00,4039.7499999999986,target_hit,12.990000000001146,True
1,2025-11-24 15:00:00+00:00,2025-11-24 15:02:00+00:00,4083.96,breakout_next_open,4074.87,4111.2300000000005,9.090000000000146,27.270000000000437,120,2025-11-24 18:45:00+00:00,4074.87,4078.48,1,2025-11-24 18:39:00+00:00,4111.2300000000005,target_hit,27.270000000000437,True
1,2025-11-24 18:45:00+00:00,2025-11-24 18:47:00+00:00,4112.9,breakout_next_open,4098.86,4155.0199999999995,14.039999999999964,42.11999999999989,120,2025-11-24 22:15:00+00:00,4098.86,4103.97,1,2025-11-24 23:01:00+00:00,4133.46,timeout,20.5600000000004,True
1,2025-11-25 10:15:00+00:00,2025-11-25 10:17:00+00:00,4138.12,breakout_next_open,4129.29,4164.61,8.829999999999927,26.48999999999978,120,2025-11-25 12:17:00+00:00,4129.29,4133.82,0,2025-11-25 10:25:00+00:00,4129.29,stop_loss,-8.829999999999927,False
1,2025-11-25 11:15:00+00:00,2025-11-25 11:17:00+00:00,4136.29,breakout_next_open,4127.81,4161.729999999999,8.479999999999563,25.43999999999869,120,2025-11-25 14:00:00+00:00,4127.81,4132.11,1,2025-11-25 12:44:00+00:00,4127.81,stop_loss,-8.479999999999563,False
1,2025-11-25 13:00:00+00:00,2025-11-25 13:02:00+00:00,4130.52,breakout_next_open,4120.61,4160.250000000003,9.910000000000764,29.730000000002292,120,2025-11-25 15:30:00+00:00,4120.61,4126.57,1,2025-11-25 14:39:00+00:00,4120.61,stop_loss,-9.910000000000764,False
1,2025-12-12 10:30:00+00:00,2025-12-12 10:35:00+00:00,4323.45,breakout_next_open,4318.32,4338.84,5.130000000000109,15.390000000000327,120,2025-12-12 12:45:00+00:00,4318.32,4322.09,1,2025-12-12 11:11:00+00:00,4338.84,target_hit,15.390000000000327,True
-1,2025-12-15 14:00:00+00:00,2025-12-15 14:02:00+00:00,4335.52,breakout_next_open,4339.68,4323.040000000001,4.1599999999998545,12.479999999999563,120,2025-12-15 16:02:00+00:00,4336.01,4339.68,0,2025-12-15 14:25:00+00:00,4323.040000000001,target_hit,12.479999999999563,True
-1,2025-12-15 15:15:00+00:00,2025-12-15 15:20:00+00:00,4314.6,breakout_next_open,4325.53,4281.810000000002,10.929999999999382,32.789999999998145,120,2025-12-15 17:20:00+00:00,4318.67,4325.53,0,2025-12-15 15:22:00+00:00,4325.53,stop_loss,-10.929999999999382,False
-1,2025-12-15 16:00:00+00:00,2025-12-15 16:02:00+00:00,4312.98,breakout_next_open,4323.84,4280.399999999998,10.860000000000582,32.580000000001746,120,2025-12-15 18:15:00+00:00,4319.54,4323.84,1,2025-12-15 18:15:00+00:00,4302.64,timeout,10.339999999999236,True
1,2025-12-16 17:00:00+00:00,2025-12-16 17:02:00+00:00,4305.32,breakout_next_open,4298.11,4326.95,7.210000000000036,21.63000000000011,120,2025-12-16 19:02:00+00:00,4298.11,4301.54,0,2025-12-16 18:22:00+00:00,4298.11,stop_loss,-7.210000000000036,False
1,2025-12-26 18:45:00+00:00,2025-12-26 18:47:00+00:00,4528.15,breakout_next_open,4517.52,4560.039999999997,10.6299999999992,31.8899999999976,120,2025-12-26 20:47:00+00:00,4517.52,4521.41,0,2025-12-26 20:47:00+00:00,4530.71,timeout,2.5600000000004,True
-1,2025-12-29 08:45:00+00:00,2025-12-29 08:47:00+00:00,4468.9,breakout_next_open,4480.82,4433.139999999999,11.920000000000073,35.76000000000022,120,2025-12-29 10:47:00+00:00,4474.9,4480.82,0,2025-12-29 10:47:00+00:00,4462.78,timeout,6.119999999999891,True
-1,2025-12-29 13:15:00+00:00,2025-12-29 13:17:00+00:00,4457.07,breakout_next_open,4466.07,4430.07,9.0,27.0,120,2025-12-29 15:17:00+00:00,4459.46,4466.07,0,2025-12-29 13:42:00+00:00,4430.07,target_hit,27.0,True
-1,2025-12-29 14:15:00+00:00,2025-12-29 14:17:00+00:00,4401.32,breakout_next_open,4421.58,4340.539999999999,20.26000000000022,60.780000000000655,120,2025-12-29 16:17:00+00:00,4411.72,4421.58,0,2025-12-29 15:02:00+00:00,4340.539999999999,target_hit,60.780000000000655,True
-1,2025-12-31 10:00:00+00:00,2025-12-31 10:02:00+00:00,4328.78,breakout_next_open,4336.41,4305.889999999999,7.630000000000109,22.890000000000327,120,2025-12-31 12:02:00+00:00,4332.29,4336.41,0,2025-12-31 10:42:00+00:00,4305.889999999999,target_hit,22.890000000000327,True
1,2025-12-31 20:45:00+00:00,2025-12-31 20:47:00+00:00,4317.68,breakout_next_open,4314.43,4327.43,3.25,9.75,120,2025-12-31 22:47:00+00:00,4314.43,4318.6,0,2025-12-31 20:50:00+00:00,4314.43,stop_loss,-3.25,False
1,2026-01-05 13:45:00+00:00,2026-01-05 13:47:00+00:00,4414.29,breakout_next_open,4397.51,4464.629999999999,16.779999999999745,50.339999999999236,120,2026-01-05 18:45:00+00:00,4397.51,4404.79,2,2026-01-05 18:45:00+00:00,4443.41,timeout,29.11999999999989,True
1,2026-01-06 14:45:00+00:00,2026-01-06 14:47:00+00:00,4485.11,breakout_next_open,4465.05,4545.289999999998,20.05999999999949,60.17999999999847,120,2026-01-06 16:47:00+00:00,4465.05,4471.22,0,2026-01-06 15:37:00+00:00,4465.05,stop_loss,-20.05999999999949,False
-1,2026-01-07 15:15:00+00:00,2026-01-07 15:17:00+00:00,4426.06,breakout_next_open,4447.1,4362.9400000000005,21.039999999999964,63.11999999999989,120,2026-01-07 17:17:00+00:00,4439.57,4447.1,0,2026-01-07 15:31:00+00:00,4447.1,stop_loss,-21.039999999999964,False
-1,2026-01-07 17:45:00+00:00,2026-01-07 17:51:00+00:00,4455.25,breakout_next_open,4460.05,4440.849999999999,4.800000000000182,14.400000000000546,120,2026-01-07 21:00:00+00:00,4456.21,4460.05,2,2026-01-07 20:15:00+00:00,4460.05,stop_loss,-4.800000000000182,False
-1,2026-01-08 08:00:00+00:00,2026-01-08 08:02:00+00:00,4429.7,breakout_next_open,4432.08,4422.5599999999995,2.380000000000109,7.140000000000327,120,2026-01-08 10:02:00+00:00,4428.5,4432.08,0,2026-01-08 08:09:00+00:00,4432.08,stop_loss,-2.380000000000109,False
1,2026-01-09 13:45:00+00:00,2026-01-09 13:47:00+00:00,4487.76,breakout_next_open,4470.22,4540.38,17.539999999999964,52.61999999999989,120,2026-01-09 15:47:00+00:00,4470.22,4479.44,0,2026-01-09 15:47:00+00:00,4510.92,timeout,23.159999999999854,True
1,2026-01-09 16:30:00+00:00,2026-01-09 16:38:00+00:00,4507.19,breakout_next_open,4502.79,4520.3899999999985,4.399999999999636,13.199999999998909,120,2026-01-09 18:38:00+00:00,4502.79,4506.8,0,2026-01-09 16:41:00+00:00,4502.79,stop_loss,-4.399999999999636,False
1,2026-01-09 18:15:00+00:00,2026-01-09 18:17:00+00:00,4492.48,breakout_next_open,4483.02,4520.859999999997,9.459999999999127,28.37999999999738,120,2026-01-09 20:17:00+00:00,4483.02,4488.18,0,2026-01-09 20:17:00+00:00,4508.98,timeout,16.5,True
-1,2026-01-13 14:00:00+00:00,2026-01-13 14:02:00+00:00,4611.84,breakout_next_open,4620.93,4584.57,9.090000000000146,27.270000000000437,120,2026-01-13 16:02:00+00:00,4616.46,4620.93,0,2026-01-13 14:22:00+00:00,4620.93,stop_loss,-9.090000000000146,False
1,2026-01-20 13:45:00+00:00,2026-01-20 13:47:00+00:00,4730.25,breakout_next_open,4715.98,4773.060000000001,14.270000000000437,42.81000000000131,120,2026-01-20 19:45:00+00:00,4715.98,4728.49,3,2026-01-20 19:45:00+00:00,4763.14,timeout,32.89000000000033,True
1,2026-01-21 08:15:00+00:00,2026-01-21 08:19:00+00:00,4866.45,breakout_next_open,4859.6,4886.999999999998,6.849999999999454,20.549999999998363,120,2026-01-21 10:30:00+00:00,4859.6,4864.14,1,2026-01-21 08:42:00+00:00,4859.6,stop_loss,-6.849999999999454,False
1,2026-01-21 09:30:00+00:00,2026-01-21 09:32:00+00:00,4875.56,breakout_next_open,4859.27,4924.43,16.289999999999964,48.86999999999989,120,2026-01-21 11:32:00+00:00,4859.27,4862.84,0,2026-01-21 09:59:00+00:00,4859.27,stop_loss,-16.289999999999964,False
1,2026-01-21 10:15:00+00:00,2026-01-21 10:21:00+00:00,4864.29,breakout_next_open,4860.32,4876.200000000001,3.9700000000002547,11.910000000000764,120,2026-01-21 12:21:00+00:00,4860.32,4864.34,0,2026-01-21 10:29:00+00:00,4860.32,stop_loss,-3.9700000000002547,False
1,2026-01-21 13:45:00+00:00,2026-01-21 13:54:00+00:00,4877.44,breakout_next_open,4872.94,4890.94,4.5,13.5,120,2026-01-21 15:54:00+00:00,4872.94,4877.44,0,2026-01-21 14:02:00+00:00,4872.94,stop_loss,-4.5,False
-1,2026-01-21 19:30:00+00:00,2026-01-21 19:32:00+00:00,4804.8,breakout_next_open,4853.5,4658.700000000001,48.69999999999982,146.09999999999945,120,2026-01-21 21:45:00+00:00,4812.45,4853.5,1,2026-01-21 21:45:00+00:00,4837.19,timeout,-32.38999999999942,False
1,2026-01-23 11:45:00+00:00,2026-01-23 11:50:00+00:00,4926.3,breakout_next_open,4921.47,4940.79,4.829999999999927,14.489999999999782,120,2026-01-23 13:50:00+00:00,4921.47,4924.98,0,2026-01-23 11:58:00+00:00,4921.47,stop_loss,-4.829999999999927,False
1,2026-01-23 12:15:00+00:00,2026-01-23 12:17:00+00:00,4935.56,breakout_next_open,4923.37,4972.130000000002,12.19000000000051,36.57000000000153,120,2026-01-23 17:45:00+00:00,4923.37,4927.27,6,2026-01-23 16:09:00+00:00,4972.130000000002,target_hit,36.57000000000153,True
1,2026-01-23 16:30:00+00:00,2026-01-23 16:32:00+00:00,4986.68,breakout_next_open,4969.47,5038.31,17.210000000000036,51.63000000000011,120,2026-01-23 19:15:00+00:00,4969.47,4975.96,1,2026-01-23 17:55:00+00:00,4969.47,stop_loss,-17.210000000000036,False
1,2026-01-23 18:15:00+00:00,2026-01-23 18:17:00+00:00,4982.08,breakout_next_open,4965.45,5031.97,16.63000000000011,49.89000000000033,120,2026-01-23 20:17:00+00:00,4965.45,4972.54,0,2026-01-23 18:44:00+00:00,4965.45,stop_loss,-16.63000000000011,False
1,2026-01-26 16:00:00+00:00,2026-01-26 16:02:00+00:00,5092.17,breakout_next_open,5079.12,5131.320000000001,13.050000000000182,39.150000000000546,120,2026-01-26 18:02:00+00:00,5079.12,5084.97,0,2026-01-26 16:28:00+00:00,5079.12,stop_loss,-13.050000000000182,False
-1,2026-01-27 13:30:00+00:00,2026-01-27 13:32:00+00:00,5083.14,breakout_next_open,5092.86,5053.980000000002,9.719999999999345,29.159999999998035,120,2026-01-27 16:15:00+00:00,5085.85,5092.86,2,2026-01-27 14:16:00+00:00,5053.980000000002,target_hit,29.159999999998035,True
-1,2026-01-27 14:15:00+00:00,2026-01-27 14:17:00+00:00,5051.25,breakout_next_open,5077.62,4972.14,26.36999999999989,79.10999999999967,120,2026-01-27 16:17:00+00:00,5070.88,5077.62,0,2026-01-27 14:41:00+00:00,5077.62,stop_loss,-26.36999999999989,False
1,2026-01-28 10:00:00+00:00,2026-01-28 10:02:00+00:00,5277.86,breakout_next_open,5266.61,5311.61,11.25,33.75,120,2026-01-28 12:02:00+00:00,5266.61,5271.91,0,2026-01-28 11:00:00+00:00,5266.61,stop_loss,-11.25,False
