day_offset,horizon,tp_r,fills_in,filtered_out,trades,wr,net,avg,max_dd
any,60,2.5,1226,0,793,36.2,713.3,0.9,-327.1
any,60,3.0,1226,0,765,35.0,842.6,1.1,-345.5
any,60,3.5,1226,0,747,33.3,599.2,0.8,-363.8
any,90,2.5,1226,0,754,35.0,893.2,1.18,-297.3
any,90,3.0,1226,0,723,33.2,1080.3,1.49,-312.3
any,90,3.5,1226,0,704,31.0,749.8,1.07,-339.5
any,120,2.5,1226,0,743,33.6,893.7,1.2,-238.3
any,120,3.0,1226,0,699,31.5,1121.8,1.6,-260.6
any,120,3.5,1226,0,678,29.2,732.4,1.08,-300.9
any,150,2.5,1226,0,740,33.1,789.1,1.07,-288.0
any,150,3.0,1226,0,692,30.9,1016.2,1.47,-311.8
any,150,3.5,1226,0,671,28.5,667.2,0.99,-343.1
40.0,60,2.5,335,891,266,38.0,262.1,0.99,-106.0
40.0,60,3.0,335,891,261,36.8,262.8,1.01,-110.4
40.0,60,3.5,335,891,254,36.2,285.8,1.13,-132.3
40.0,90,2.5,335,891,259,37.5,273.8,1.06,-122.0
40.0,90,3.0,335,891,254,35.8,259.8,1.02,-118.6
40.0,90,3.5,335,891,246,33.7,251.2,1.02,-140.4
40.0,120,2.5,335,891,258,34.5,224.7,0.87,-136.8
40.0,120,3.0,335,891,253,32.4,212.5,0.84,-143.3
40.0,120,3.5,335,891,245,30.6,206.5,0.84,-164.9
40.0,150,2.5,335,891,258,34.1,221.1,0.86,-137.9
40.0,150,3.0,335,891,252,31.7,184.6,0.73,-156.2
40.0,150,3.5,335,891,244,29.9,188.3,0.77,-165.1
60.0,60,2.5,609,617,444,35.8,291.1,0.66,-207.1
60.0,60,3.0,609,617,433,34.4,304.8,0.7,-218.0
60.0,60,3.5,609,617,422,33.4,226.1,0.54,-292.9
60.0,90,2.5,609,617,428,34.8,374.3,0.87,-204.8
60.0,90,3.0,609,617,417,33.1,362.0,0.87,-244.1
60.0,90,3.5,609,617,407,31.0,257.4,0.63,-332.7
60.0,120,2.5,609,617,424,33.3,379.7,0.9,-214.5
60.0,120,3.0,609,617,411,30.7,339.7,0.83,-279.1
60.0,120,3.5,609,617,400,28.5,218.8,0.55,-346.8
60.0,150,2.5,609,617,424,32.8,304.4,0.72,-251.2
60.0,150,3.0,609,617,407,30.0,248.7,0.61,-327.1
60.0,150,3.5,609,617,396,27.3,121.6,0.31,-414.8
80.0,60,2.5,803,423,565,36.5,391.1,0.69,-204.3
80.0,60,3.0,803,423,552,35.0,406.0,0.74,-252.2
