side,signal_ts,entry_time,entry_price,stop,target,timeout,tp,sl,horizon,target_updates,stop_updates,exit_time,exit_price,exit_reason,pnl,win,minute_in_15m,slot_rip_pts,prev_15m_body,month,hour_lon
-1,2025-06-02 13:36:00+00:00,2025-06-02 13:37:00+00:00,3358.33,3393.33,3308.33,2025-06-02 14:39:00+00:00,50.0,35.0,60,3,0,2025-06-02 14:39:00+00:00,3375.1,timeout,-16.769999999999982,False,6,6.220000000000255,0.2600000000002183,2025-06,14
-1,2025-06-04 07:07:00+00:00,2025-06-04 07:08:00+00:00,3361.53,3396.53,3311.53,2025-06-04 08:09:00+00:00,50.0,35.0,60,2,0,2025-06-04 08:09:00+00:00,3355.63,timeout,5.900000000000091,True,7,5.050000000000182,0.6999999999998181,2025-06,8
-1,2025-06-04 12:36:00+00:00,2025-06-04 12:37:00+00:00,3355.18,3390.18,3305.18,2025-06-04 13:37:00+00:00,50.0,35.0,60,0,0,2025-06-04 13:37:00+00:00,3353.93,timeout,1.25,True,6,5.549999999999727,5.9699999999998,2025-06,13
-1,2025-06-04 14:37:00+00:00,2025-06-04 14:38:00+00:00,3376.18,3411.18,3326.18,2025-06-04 15:39:00+00:00,50.0,35.0,60,2,0,2025-06-04 15:39:00+00:00,3370.43,timeout,5.75,True,7,5.2800000000002,14.599999999999909,2025-06,15
-1,2025-06-05 09:23:00+00:00,2025-06-05 09:24:00+00:00,3384.45,3419.45,3334.45,2025-06-05 10:24:00+00:00,50.0,35.0,60,0,0,2025-06-05 10:24:00+00:00,3392.33,timeout,-7.880000000000109,False,8,5.519999999999982,2.2800000000002,2025-06,10
-1,2025-06-05 13:33:00+00:00,2025-06-05 13:34:00+00:00,3384.53,3419.53,3332.6499999999996,2025-06-05 15:35:00+00:00,50.0,35.0,60,6,0,2025-06-05 15:35:00+00:00,3357.03,timeout,27.5,True,3,5.230000000000018,2.1700000000000728,2025-06,14
-1,2025-06-09 15:22:00+00:00,2025-06-09 15:23:00+00:00,3329.43,3364.43,3279.43,2025-06-09 16:24:00+00:00,50.0,35.0,60,2,0,2025-06-09 16:24:00+00:00,3334.5,timeout,-5.070000000000164,False,7,5.770000000000437,2.169999999999618,2025-06,16
-1,2025-06-10 10:24:00+00:00,2025-06-10 10:25:00+00:00,3333.71,3368.71,3283.71,2025-06-10 11:25:00+00:00,50.0,35.0,60,0,0,2025-06-10 11:25:00+00:00,3340.16,timeout,-6.449999999999818,False,9,5.070000000000164,0.6299999999996544,2025-06,11
-1,2025-06-11 07:51:00+00:00,2025-06-11 07:52:00+00:00,3346.78,3381.78,3296.78,2025-06-11 08:52:00+00:00,50.0,35.0,60,0,0,2025-06-11 08:52:00+00:00,3346.25,timeout,0.5300000000002001,True,6,5.0,2.949999999999818,2025-06,8
-1,2025-06-12 10:18:00+00:00,2025-06-12 10:19:00+00:00,3373.02,3408.02,3323.02,2025-06-12 12:04:00+00:00,50.0,35.0,60,5,0,2025-06-12 12:04:00+00:00,3378.16,timeout,-5.139999999999873,False,3,5.200000000000273,3.849999999999909,2025-06,11
-1,2025-06-13 12:37:00+00:00,2025-06-13 12:38:00+00:00,3434.23,3469.23,3383.48,2025-06-13 13:54:00+00:00,50.0,35.0,60,2,0,2025-06-13 13:54:00+00:00,3434.08,timeout,0.15000000000009095,True,7,5.799999999999727,0.75,2025-06,13
-1,2025-06-18 07:39:00+00:00,2025-06-18 07:40:00+00:00,3383.38,3418.38,3333.38,2025-06-18 08:40:00+00:00,50.0,35.0,60,0,0,2025-06-18 08:40:00+00:00,3383.73,timeout,-0.34999999999990905,False,9,5.169999999999618,0.1999999999998181,2025-06,8
-1,2025-06-18 10:35:00+00:00,2025-06-18 10:36:00+00:00,3382.23,3417.23,3332.13,2025-06-18 11:37:00+00:00,50.0,35.0,60,2,0,2025-06-18 11:37:00+00:00,3386.83,timeout,-4.599999999999909,False,5,6.099999999999909,0.8499999999994543,2025-06,11
-1,2025-06-20 13:39:00+00:00,2025-06-20 13:40:00+00:00,3364.33,3399.33,3314.33,2025-06-20 15:09:00+00:00,50.0,35.0,60,2,0,2025-06-20 15:09:00+00:00,3369.05,timeout,-4.720000000000255,False,9,5.260000000000218,7.880000000000109,2025-06,14
-1,2025-06-23 11:21:00+00:00,2025-06-23 11:22:00+00:00,3380.73,3415.73,3330.45,2025-06-23 12:22:00+00:00,50.0,35.0,60,1,0,2025-06-23 12:22:00+00:00,3361.69,timeout,19.039999999999964,True,6,5.5099999999997635,5.25,2025-06,12
-1,2025-06-23 13:36:00+00:00,2025-06-23 13:37:00+00:00,3376.78,3411.78,3326.08,2025-06-23 14:39:00+00:00,50.0,35.0,60,2,0,2025-06-23 14:39:00+00:00,3381.73,timeout,-4.949999999999818,False,6,5.700000000000273,5.25,2025-06,14
-1,2025-06-25 14:04:00+00:00,2025-06-25 14:05:00+00:00,3318.43,3353.43,3268.43,2025-06-25 15:09:00+00:00,50.0,35.0,60,5,0,2025-06-25 15:09:00+00:00,3324.53,timeout,-6.100000000000364,False,4,5.380000000000109,0.09999999999990905,2025-06,15
-1,2025-06-30 12:35:00+00:00,2025-06-30 12:36:00+00:00,3287.37,3322.37,3237.37,2025-06-30 13:39:00+00:00,50.0,35.0,60,3,0,2025-06-30 13:39:00+00:00,3279.6,timeout,7.769999999999982,True,5,5.039999999999964,0.22000000000025466,2025-06,13
