prob,trades,wr,net,avg,max_dd,tp_hit,sl_hit
0.5,607,49.9,693.2,1.14,-311.3,78,75
0.52,582,50.0,705.4,1.21,-324.7,78,72
0.55,545,49.2,605.4,1.11,-289.6,74,70
0.58,501,50.7,774.2,1.55,-233.0,72,64
0.6,466,50.2,705.1,1.51,-245.5,68,62
0.62,436,49.3,511.8,1.17,-261.5,61,58
0.65,397,48.4,745.9,1.88,-285.5,61,51
0.68,329,48.9,633.3,1.92,-250.2,51,43
0.7,300,50.3,811.8,2.71,-217.8,50,39
0.72,263,50.6,665.3,2.53,-204.0,47,38
0.75,223,52.9,618.4,2.77,-168.3,44,34
0.78,186,53.2,577.9,3.11,-163.0,40,29
0.8,161,51.6,401.9,2.5,-137.9,33,24
0.85,78,51.3,291.9,3.74,-107.4,18,10
0.9,20,60.0,203.6,10.18,-30.0,7,2
