mode,ml_label,tp,sl,horizon,trades,wr,net,avg,tp_hit,sl_hit,timeout
mechanical,-,15.0,15.0,15,1197,50.7,-51.0,-0.04,183,209,805
mechanical,-,15.0,15.0,20,1181,50.0,79.1,0.07,223,234,724
mechanical,-,15.0,15.0,30,1118,50.1,208.6,0.19,274,295,549
mechanical,-,15.0,15.0,45,1079,50.6,253.3,0.23,324,345,410
mechanical,-,15.0,15.0,60,1057,49.5,476.7,0.45,371,370,316
mechanical,-,15.0,20.0,15,1156,52.3,81.5,0.07,183,122,851
mechanical,-,15.0,20.0,20,1142,52.0,265.4,0.23,224,132,786
mechanical,-,15.0,20.0,30,1061,53.1,474.8,0.45,275,177,609
mechanical,-,15.0,20.0,45,1012,54.2,506.3,0.5,328,220,464
mechanical,-,15.0,20.0,60,986,54.4,761.5,0.77,376,244,366
mechanical,-,15.0,25.0,15,1120,53.2,265.9,0.24,179,65,876
mechanical,-,15.0,25.0,20,1105,52.9,404.5,0.37,219,77,809
mechanical,-,15.0,25.0,30,1011,54.9,682.9,0.68,271,113,627
mechanical,-,15.0,25.0,45,952,56.1,756.1,0.79,322,135,495
mechanical,-,15.0,25.0,60,919,56.7,997.0,1.08,363,155,401
mechanical,-,15.0,30.0,15,1108,53.9,384.9,0.35,180,43,885
mechanical,-,15.0,30.0,20,1091,53.3,542.8,0.5,220,50,821
mechanical,-,15.0,30.0,30,984,55.6,771.9,0.78,265,73,646
mechanical,-,15.0,30.0,45,924,57.4,898.8,0.97,320,94,510
mechanical,-,15.0,30.0,60,886,57.9,1134.4,1.28,359,112,415
mechanical,-,15.0,35.0,15,1098,54.0,332.8,0.3,177,33,888
mechanical,-,15.0,35.0,20,1081,53.5,556.8,0.52,218,35,828
mechanical,-,15.0,35.0,30,965,56.3,884.7,0.92,262,53,650
mechanical,-,15.0,35.0,45,899,57.6,912.8,1.02,312,70,517
mechanical,-,15.0,35.0,60,859,58.3,1080.5,1.26,350,85,424
mechanical,-,20.0,15.0,15,1187,49.8,-20.6,-0.02,110,213,864
mechanical,-,20.0,15.0,20,1171,48.6,7.3,0.01,137,240,794
mechanical,-,20.0,15.0,30,1095,47.7,136.7,0.12,174,303,618
mechanical,-,20.0,15.0,45,1044,47.3,242.0,0.23,222,354,468
mechanical,-,20.0,15.0,60,1017,45.8,439.0,0.43,258,383,376
mechanical,-,20.0,20.0,15,1145,51.4,132.7,0.12,111,123,911
mechanical,-,20.0,20.0,20,1130,50.6,245.3,0.22,137,134,859
mechanical,-,20.0,20.0,30,1033,50.8,441.3,0.43,173,180,680
mechanical,-,20.0,20.0,45,974,50.8,508.9,0.52,221,225,528
mechanical,-,20.0,20.0,60,939,50.5,714.9,0.76,261,251,427
mechanical,-,20.0,25.0,15,1111,52.2,282.6,0.25,108,66,937
mechanical,-,20.0,25.0,20,1095,51.4,337.7,0.31,134,79,882
mechanical,-,20.0,25.0,30,985,52.7,622.7,0.63,169,115,701
mechanical,-,20.0,25.0,45,913,52.6,667.3,0.73,214,138,561
mechanical,-,20.0,25.0,60,873,52.8,928.3,1.06,247,158,468
mechanical,-,20.0,30.0,15,1098,52.9,407.1,0.37,107,43,948
mechanical,-,20.0,30.0,20,1081,51.9,508.8,0.47,134,51,896
mechanical,-,20.0,30.0,30,956,53.2,711.7,0.74,166,73,717
mechanical,-,20.0,30.0,45,883,53.9,893.8,1.01,213,95,575
mechanical,-,20.0,30.0,60,841,54.3,1147.7,1.36,246,115,480
mechanical,-,20.0,35.0,15,1088,53.0,348.3,0.32,104,33,951
mechanical,-,20.0,35.0,20,1070,52.1,470.3,0.44,130,36,904
mechanical,-,20.0,35.0,30,936,53.7,720.2,0.77,160,54,722
