mode,ml_label,tp,sl,horizon,trades,wr,net,avg,tp_hit,sl_hit,timeout
mechanical,-,20.0,20.0,20,4253,49.5,666.9,0.16,493,409,3351
mechanical,-,20.0,20.0,30,4253,51.3,1985.5,0.47,697,566,2990
mechanical,-,20.0,20.0,45,4253,50.6,2042.7,0.48,951,773,2529
mechanical,-,20.0,25.0,20,4253,50.2,1030.2,0.24,510,256,3487
mechanical,-,20.0,25.0,30,4253,52.2,2554.4,0.6,718,353,3182
mechanical,-,20.0,25.0,45,4253,52.1,2928.8,0.69,988,490,2775
mechanical,-,20.0,30.0,20,4253,50.4,875.7,0.21,517,175,3561
mechanical,-,20.0,30.0,30,4253,52.7,2809.6,0.66,729,231,3293
mechanical,-,20.0,30.0,45,4253,53.0,3780.0,0.89,1012,307,2934
mechanical,-,30.0,20.0,20,4253,49.1,1504.2,0.35,230,414,3609
mechanical,-,30.0,20.0,30,4253,50.7,3306.0,0.78,365,573,3315
mechanical,-,30.0,20.0,45,4253,49.3,3783.3,0.89,540,793,2920
mechanical,-,30.0,25.0,20,4253,49.8,1920.6,0.45,241,258,3754
mechanical,-,30.0,25.0,30,4253,51.6,4030.6,0.95,382,359,3512
mechanical,-,30.0,25.0,45,4253,50.8,4876.2,1.15,568,505,3180
mechanical,-,30.0,30.0,20,4253,50.0,1799.2,0.42,246,176,3831
mechanical,-,30.0,30.0,30,4253,52.0,4284.5,1.01,390,237,3626
mechanical,-,30.0,30.0,45,4253,51.7,5723.2,1.35,584,321,3348
mechanical,-,40.0,20.0,20,4253,49.1,1964.3,0.46,123,414,3716
mechanical,-,40.0,20.0,30,4253,50.4,3610.0,0.85,195,576,3482
mechanical,-,40.0,20.0,45,4253,48.8,4232.2,1.0,320,804,3129
mechanical,-,40.0,25.0,20,4253,49.7,2422.8,0.57,130,258,3865
mechanical,-,40.0,25.0,30,4253,51.4,4297.4,1.01,206,364,3683
mechanical,-,40.0,25.0,45,4253,50.2,5244.3,1.23,336,516,3401
mechanical,-,40.0,30.0,20,4253,49.9,2267.0,0.53,132,176,3945
mechanical,-,40.0,30.0,30,4253,51.8,4588.8,1.08,213,241,3799
mechanical,-,40.0,30.0,45,4253,51.1,6094.9,1.43,346,332,3575
ml,execution,20.0,20.0,20,1550,47.0,-863.0,-0.56,176,194,1180
ml,execution,20.0,20.0,30,1700,49.2,-48.4,-0.03,325,286,1089
ml,execution,20.0,20.0,45,1667,46.6,-1092.3,-0.66,339,341,987
ml,execution,20.0,25.0,20,1587,47.2,-998.3,-0.63,198,134,1255
ml,execution,20.0,25.0,30,1676,50.3,-29.3,-0.02,328,197,1151
ml,execution,20.0,25.0,45,1704,50.4,290.3,0.17,399,226,1079
ml,execution,20.0,30.0,20,1604,47.4,-1055.1,-0.66,218,102,1284
ml,execution,20.0,30.0,30,1745,52.7,661.4,0.38,370,155,1220
ml,execution,20.0,30.0,45,1720,53.1,1671.0,0.97,459,161,1100
ml,execution,30.0,20.0,20,1510,47.4,-297.0,-0.2,86,167,1257
ml,execution,30.0,20.0,30,1631,47.6,431.1,0.26,156,261,1214
ml,execution,30.0,20.0,45,1560,45.2,-19.2,-0.01,205,296,1059
ml,execution,30.0,25.0,20,1531,48.2,-292.2,-0.19,86,115,1330
ml,execution,30.0,25.0,30,1635,48.0,151.0,0.09,164,196,1275
ml,execution,30.0,25.0,45,1596,48.8,1099.9,0.69,212,191,1193
ml,execution,30.0,30.0,20,1561,49.4,-31.4,-0.02,96,88,1377
ml,execution,30.0,30.0,30,1632,49.4,587.2,0.36,168,138,1326
ml,execution,30.0,30.0,45,1621,50.5,1821.3,1.12,251,153,1217
ml,execution,40.0,20.0,20,1497,46.3,-340.2,-0.23,54,167,1276
ml,execution,40.0,20.0,30,1638,46.6,153.9,0.09,92,266,1280
ml,execution,40.0,20.0,45,1569,44.9,-2.3,-0.0,117,291,1161
ml,execution,40.0,25.0,20,1502,47.6,-202.8,-0.14,55,112,1335
ml,execution,40.0,25.0,30,1578,48.2,578.5,0.37,96,185,1297
ml,execution,40.0,25.0,45,1591,47.3,1043.3,0.66,130,192,1269
ml,execution,40.0,30.0,20,1526,48.0,-304.4,-0.2,60,92,1374
ml,execution,40.0,30.0,30,1642,49.8,802.2,0.49,99,145,1398
ml,execution,40.0,30.0,45,1591,49.5,1944.8,1.22,148,142,1301
