side,signal_ts,entry_time,entry_price,stop,target,timeout,tp,sl,horizon,target_updates,stop_updates,exit_time,exit_price,exit_reason,pnl,win
-1,2025-09-01 13:06:00+00:00,2025-09-01 13:07:00+00:00,3475.25,3510.25,3440.25,2025-09-01 13:54:00+00:00,35.0,35.0,45,3,0,2025-09-01 13:54:00+00:00,3478.1,timeout,-2.849999999999909,False
-1,2025-09-03 14:23:00+00:00,2025-09-03 14:24:00+00:00,3562.22,3597.22,3527.22,2025-09-03 15:09:00+00:00,35.0,35.0,45,0,0,2025-09-03 15:09:00+00:00,3561.55,timeout,0.669999999999618,True
-1,2025-09-04 10:08:00+00:00,2025-09-04 10:09:00+00:00,3545.19,3580.19,3510.19,2025-09-04 10:54:00+00:00,35.0,35.0,45,0,0,2025-09-04 10:54:00+00:00,3541.16,timeout,4.0300000000002,True
-1,2025-09-04 13:22:00+00:00,2025-09-04 13:23:00+00:00,3551.37,3586.37,3516.37,2025-09-04 14:24:00+00:00,35.0,35.0,45,2,0,2025-09-04 14:24:00+00:00,3538.06,timeout,13.309999999999945,True
-1,2025-09-05 16:07:00+00:00,2025-09-05 16:08:00+00:00,3598.19,3633.19,3562.31,2025-09-05 16:54:00+00:00,35.0,35.0,45,1,0,2025-09-05 16:54:00+00:00,3595.86,timeout,2.3299999999999272,True
-1,2025-09-09 12:08:00+00:00,2025-09-09 12:09:00+00:00,3654.14,3689.14,3619.14,2025-09-09 12:54:00+00:00,35.0,35.0,45,0,0,2025-09-09 12:54:00+00:00,3647.89,timeout,6.25,True
-1,2025-09-15 15:50:00+00:00,2025-09-15 15:51:00+00:00,3674.66,3709.66,3639.3900000000003,2025-09-15 16:38:00+00:00,35.0,35.0,45,2,0,2025-09-15 16:38:00+00:00,3679.8,timeout,-5.140000000000327,False
-1,2025-09-23 09:09:00+00:00,2025-09-23 09:10:00+00:00,3781.37,3816.37,3746.37,2025-09-23 10:09:00+00:00,35.0,35.0,45,2,0,2025-09-23 10:09:00+00:00,3784.92,timeout,-3.550000000000182,False
-1,2025-09-23 16:52:00+00:00,2025-09-23 16:53:00+00:00,3780.26,3815.26,3745.26,2025-09-23 17:39:00+00:00,35.0,35.0,45,2,0,2025-09-23 17:39:00+00:00,3779.84,timeout,0.42000000000007276,True
-1,2025-09-25 14:22:00+00:00,2025-09-25 14:23:00+00:00,3733.94,3768.94,3698.94,2025-09-25 15:09:00+00:00,35.0,35.0,45,2,0,2025-09-25 15:09:00+00:00,3731.28,timeout,2.6599999999998545,True
-1,2025-09-26 14:02:00+00:00,2025-09-26 14:03:00+00:00,3768.92,3803.92,3733.92,2025-09-26 14:52:00+00:00,35.0,35.0,45,2,0,2025-09-26 14:52:00+00:00,3774.85,timeout,-5.929999999999836,False
-1,2025-09-29 13:38:00+00:00,2025-09-29 13:39:00+00:00,3825.7,3860.7,3790.7,2025-09-29 14:24:00+00:00,35.0,35.0,45,0,0,2025-09-29 14:24:00+00:00,3823.84,timeout,1.8599999999996726,True
-1,2025-09-30 10:37:00+00:00,2025-09-30 10:38:00+00:00,3809.49,3844.49,3774.49,2025-09-30 11:23:00+00:00,35.0,35.0,45,0,0,2025-09-30 11:23:00+00:00,3808.81,timeout,0.6799999999998363,True
-1,2025-09-30 14:05:00+00:00,2025-09-30 14:06:00+00:00,3831.71,3866.71,3796.71,2025-09-30 14:51:00+00:00,35.0,35.0,45,1,0,2025-09-30 14:51:00+00:00,3847.72,timeout,-16.009999999999764,False
-1,2025-09-30 15:24:00+00:00,2025-09-30 15:25:00+00:00,3839.49,3874.49,3804.49,2025-09-30 16:10:00+00:00,35.0,35.0,45,0,0,2025-09-30 16:10:00+00:00,3843.61,timeout,-4.120000000000346,False
-1,2025-10-01 07:51:00+00:00,2025-10-01 07:52:00+00:00,3876.27,3911.27,3841.27,2025-10-01 08:38:00+00:00,35.0,35.0,45,1,0,2025-10-01 08:38:00+00:00,3891.72,timeout,-15.449999999999818,False
-1,2025-10-03 13:23:00+00:00,2025-10-03 13:24:00+00:00,3884.31,3919.31,3847.6400000000003,2025-10-03 14:09:00+00:00,35.0,35.0,45,1,0,2025-10-03 14:09:00+00:00,3875.58,timeout,8.730000000000018,True
-1,2025-10-03 14:49:00+00:00,2025-10-03 14:50:00+00:00,3880.6,3915.6,3845.6,2025-10-03 15:35:00+00:00,35.0,35.0,45,0,0,2025-10-03 15:35:00+00:00,3887.87,timeout,-7.269999999999982,False
-1,2025-10-06 14:34:00+00:00,2025-10-06 14:35:00+00:00,3954.73,3989.73,3919.73,2025-10-06 15:24:00+00:00,35.0,35.0,45,3,0,2025-10-06 15:24:00+00:00,3950.18,timeout,4.550000000000182,True
-1,2025-10-06 16:20:00+00:00,2025-10-06 16:21:00+00:00,3954.47,3989.47,3918.23,2025-10-06 17:09:00+00:00,35.0,35.0,45,3,0,2025-10-06 17:09:00+00:00,3958.37,timeout,-3.900000000000091,False
-1,2025-10-07 16:23:00+00:00,2025-10-07 16:24:00+00:00,3971.42,4006.42,3936.42,2025-10-07 17:09:00+00:00,35.0,35.0,45,1,0,2025-10-07 17:09:00+00:00,3982.32,timeout,-10.900000000000091,False
-1,2025-10-08 15:24:00+00:00,2025-10-08 15:25:00+00:00,4045.17,4080.17,4010.17,2025-10-08 16:10:00+00:00,35.0,35.0,45,0,0,2025-10-08 16:10:00+00:00,4049.45,timeout,-4.279999999999745,False
-1,2025-10-08 19:51:00+00:00,2025-10-08 19:52:00+00:00,4045.12,4080.12,4009.56,2025-10-08 20:39:00+00:00,35.0,35.0,45,1,0,2025-10-08 20:39:00+00:00,4039.19,timeout,5.929999999999836,True
-1,2025-10-09 14:38:00+00:00,2025-10-09 14:39:00+00:00,4013.68,4048.68,3978.68,2025-10-09 15:24:00+00:00,35.0,35.0,45,1,0,2025-10-09 15:24:00+00:00,4021.59,timeout,-7.910000000000309,False
-1,2025-10-10 07:53:00+00:00,2025-10-10 07:54:00+00:00,3971.96,4006.96,3936.96,2025-10-10 08:54:00+00:00,35.0,35.0,45,7,0,2025-10-10 08:54:00+00:00,3991.27,timeout,-19.309999999999945,False
-1,2025-10-10 12:18:00+00:00,2025-10-10 12:19:00+00:00,3993.21,4028.21,3957.89,2025-10-10 13:04:00+00:00,35.0,35.0,45,1,0,2025-10-10 13:04:00+00:00,3980.85,timeout,12.360000000000127,True
-1,2025-10-10 13:24:00+00:00,2025-10-10 13:25:00+00:00,3992.11,4027.11,3957.11,2025-10-10 14:21:00+00:00,35.0,35.0,45,1,0,2025-10-10 14:21:00+00:00,3985.94,timeout,6.170000000000073,True
-1,2025-10-10 17:37:00+00:00,2025-10-10 17:38:00+00:00,3989.4,4024.4,3954.4,2025-10-10 18:23:00+00:00,35.0,35.0,45,1,0,2025-10-10 18:23:00+00:00,4009.11,timeout,-19.710000000000036,False
-1,2025-10-10 18:23:00+00:00,2025-10-10 18:24:00+00:00,4008.9,4043.9,3968.1,2025-10-10 19:37:00+00:00,35.0,35.0,45,3,0,2025-10-10 19:37:00+00:00,4009.3,timeout,-0.40000000000009095,False
-1,2025-10-13 13:54:00+00:00,2025-10-13 13:55:00+00:00,4095.57,4130.57,4060.57,2025-10-13 14:40:00+00:00,35.0,35.0,45,0,0,2025-10-13 14:40:00+00:00,4097.89,timeout,-2.3200000000001637,False
-1,2025-10-14 08:02:00+00:00,2025-10-14 08:03:00+00:00,4130.11,4165.11,4095.04,2025-10-14 08:53:00+00:00,35.0,35.0,45,3,0,2025-10-14 08:53:00+00:00,4141.48,timeout,-11.36999999999989,False
-1,2025-10-14 13:36:00+00:00,2025-10-14 13:37:00+00:00,4112.91,4147.91,4077.91,2025-10-14 14:23:00+00:00,35.0,35.0,45,2,0,2025-10-14 14:23:00+00:00,4131.4,timeout,-18.48999999999978,False
-1,2025-10-14 16:49:00+00:00,2025-10-14 16:50:00+00:00,4149.05,4184.05,4111.450000000001,2025-10-14 17:54:00+00:00,35.0,35.0,45,7,0,2025-10-14 17:54:00+00:00,4146.41,timeout,2.6400000000003274,True
-1,2025-10-16 14:52:00+00:00,2025-10-16 14:53:00+00:00,4262.35,4297.35,4227.35,2025-10-16 15:39:00+00:00,35.0,35.0,45,1,0,2025-10-16 15:39:00+00:00,4271.77,timeout,-9.420000000000073,False
-1,2025-10-16 17:36:00+00:00,2025-10-16 17:37:00+00:00,4296.41,4331.41,4261.41,2025-10-16 18:22:00+00:00,35.0,35.0,45,1,0,2025-10-16 18:22:00+00:00,4288.05,timeout,8.359999999999673,True
-1,2025-10-17 08:18:00+00:00,2025-10-17 08:19:00+00:00,4347.48,4382.48,4309.42,2025-10-17 09:08:00+00:00,35.0,35.0,45,5,0,2025-10-17 09:08:00+00:00,4346.34,timeout,1.139999999999418,True
-1,2025-10-17 12:32:00+00:00,2025-10-17 12:33:00+00:00,4304.04,4339.04,4269.04,2025-10-17 13:24:00+00:00,35.0,35.0,45,2,0,2025-10-17 13:24:00+00:00,4310.6,timeout,-6.5600000000004,False
-1,2025-10-17 19:50:00+00:00,2025-10-17 19:51:00+00:00,4226.07,4261.07,4190.54,2025-10-17 20:37:00+00:00,35.0,35.0,45,2,0,2025-10-17 20:37:00+00:00,4246.49,timeout,-20.420000000000073,False
-1,2025-10-20 07:07:00+00:00,2025-10-20 07:08:00+00:00,4243.72,4278.72,4208.72,2025-10-20 07:53:00+00:00,35.0,35.0,45,0,0,2025-10-20 07:53:00+00:00,4257.56,timeout,-13.840000000000146,False
-1,2025-10-20 08:09:00+00:00,2025-10-20 08:10:00+00:00,4259.81,4294.81,4224.81,2025-10-20 08:55:00+00:00,35.0,35.0,45,0,0,2025-10-20 08:55:00+00:00,4254.9,timeout,4.910000000000764,True
-1,2025-10-20 12:33:00+00:00,2025-10-20 12:34:00+00:00,4305.84,4340.84,4270.84,2025-10-20 13:19:00+00:00,35.0,35.0,45,0,0,2025-10-20 13:19:00+00:00,4321.87,timeout,-16.029999999999745,False
-1,2025-10-21 16:05:00+00:00,2025-10-21 16:06:00+00:00,4140.79,4175.79,4105.79,2025-10-21 16:51:00+00:00,35.0,35.0,45,0,0,2025-10-21 16:38:00+00:00,4105.79,target_hit,35.0,True
-1,2025-10-22 12:38:00+00:00,2025-10-22 12:39:00+00:00,4049.38,4084.38,4014.38,2025-10-22 13:24:00+00:00,35.0,35.0,45,1,0,2025-10-22 13:24:00+00:00,4060.68,timeout,-11.299999999999727,False
-1,2025-10-22 14:18:00+00:00,2025-10-22 14:19:00+00:00,4069.64,4104.639999999999,4034.64,2025-10-22 15:04:00+00:00,35.0,35.0,45,0,0,2025-10-22 14:39:00+00:00,4034.64,target_hit,35.0,True
-1,2025-10-22 16:32:00+00:00,2025-10-22 16:33:00+00:00,4060.67,4095.67,4019.81,2025-10-22 17:24:00+00:00,35.0,35.0,45,5,0,2025-10-22 17:24:00+00:00,4049.89,timeout,10.7800000000002,True
-1,2025-10-22 17:36:00+00:00,2025-10-22 17:37:00+00:00,4057.24,4092.24,4021.38,2025-10-22 18:23:00+00:00,35.0,35.0,45,2,0,2025-10-22 18:23:00+00:00,4076.95,timeout,-19.710000000000036,False
-1,2025-10-22 19:03:00+00:00,2025-10-22 19:04:00+00:00,4086.15,4121.15,4050.17,2025-10-22 20:18:00+00:00,35.0,35.0,45,5,0,2025-10-22 20:18:00+00:00,4101.88,timeout,-15.730000000000018,False
