entry_min,mode,model,prob,signals,trades,wr,net,avg
0,mechanical,mech,,2517,1059,50.1,514.3,0.49
1,mechanical,mech,,2515,1044,49.7,-236.3,-0.23
2,mechanical,mech,,2516,1046,48.3,-605.1,-0.58
3,mechanical,mech,,2514,1037,48.3,-295.0,-0.28
4,mechanical,mech,,2516,1041,49.3,-145.7,-0.14
0,ml,rf,0.55,387,283,51.6,183.3,0.65
0,ml,lstm,0.7,1,1,100.0,4.6,4.56
1,ml,rf,0.7,5,5,40.0,-50.2,-10.04
1,ml,lstm,0.7,0,0,0.0,0.0,0.0
2,ml,rf,0.7,9,9,22.2,-121.4,-13.49
2,ml,lstm,0.7,20,15,40.0,-92.5,-6.16
3,ml,rf,0.58,350,265,53.2,38.8,0.15
3,ml,lstm,0.55,152,132,51.5,119.9,0.91
4,ml,rf,0.58,301,219,51.1,4.3,0.02
4,ml,lstm,0.6,36,34,47.1,14.2,0.42
