model,prob,signals,trades,wr,net,avg
xgb,0.5,1387,1387,63.1,-398.3,-0.29
xgb,0.52,1288,1288,63.6,-322.2,-0.25
xgb,0.55,1152,1152,63.7,-314.4,-0.27
xgb,0.58,1008,1008,64.1,-371.7,-0.37
xgb,0.6,919,919,64.2,-384.6,-0.42
xgb,0.65,695,695,66.8,-78.8,-0.11
rf,0.5,1468,1468,64.7,-296.4,-0.2
rf,0.52,1264,1264,64.9,-401.0,-0.32
rf,0.55,929,929,66.8,-297.6,-0.32
rf,0.58,636,636,68.9,-115.9,-0.18
rf,0.6,472,472,69.7,-141.4,-0.3
rf,0.65,190,190,74.2,47.4,0.25
hgb,0.5,1630,1630,62.5,-389.7,-0.24
hgb,0.52,1564,1564,62.5,-387.0,-0.25
hgb,0.55,1465,1465,62.5,-403.4,-0.28
hgb,0.58,1377,1377,62.9,-402.2,-0.29
hgb,0.6,1322,1322,63.0,-373.3,-0.28
hgb,0.65,1115,1115,63.9,-318.0,-0.29
logreg,0.5,964,964,64.3,-220.8,-0.23
logreg,0.52,813,813,65.8,-166.5,-0.2
logreg,0.55,607,607,67.1,-183.0,-0.3
logreg,0.58,455,455,66.6,-248.7,-0.55
logreg,0.6,382,382,65.7,-303.6,-0.79
logreg,0.65,262,262,69.1,-109.4,-0.42
lstm,0.5,1200,1200,61.8,-208.4,-0.17
lstm,0.52,600,600,62.8,-15.7,-0.03
lstm,0.55,175,175,62.3,-36.2,-0.21
lstm,0.58,56,56,58.9,41.5,0.74
lstm,0.6,26,26,65.4,57.7,2.22
lstm,0.65,2,2,100.0,15.0,7.5
