sl,horizon,trades,wr,net,avg,max_dd,scaled_pct
12.0,8,1125,54.0,-610.2,-0.54,-739.9,46.8
12.0,10,1125,56.4,-521.0,-0.46,-648.8,49.1
12.0,12,1125,57.5,-478.4,-0.43,-604.9,51.4
12.0,15,1102,59.7,-573.5,-0.52,-749.0,54.5
12.0,20,1102,60.4,-662.4,-0.6,-865.4,57.7
12.0,25,1102,62.3,-655.2,-0.59,-894.6,59.8
12.0,30,1100,62.2,-675.3,-0.61,-904.7,61.0
12.0,45,1100,63.1,-789.6,-0.72,-981.7,62.3
12.0,60,1099,64.1,-752.3,-0.68,-969.7,63.6
15.0,8,1125,54.8,-645.4,-0.57,-761.2,47.5
15.0,10,1125,57.3,-592.8,-0.53,-703.4,49.7
15.0,12,1125,58.5,-503.9,-0.45,-621.0,52.2
15.0,15,1090,61.2,-560.1,-0.51,-779.7,55.3
15.0,20,1090,62.5,-711.7,-0.65,-942.2,59.1
15.0,25,1090,64.2,-705.3,-0.65,-968.5,61.7
15.0,30,1086,64.9,-732.7,-0.67,-982.9,63.4
15.0,45,1083,66.6,-855.5,-0.79,-1047.6,65.4
15.0,60,1082,67.6,-847.0,-0.78,-1053.5,67.1
18.0,8,1125,55.4,-569.0,-0.51,-669.8,47.9
18.0,10,1125,58.0,-529.4,-0.47,-619.5,50.3
18.0,12,1125,59.3,-468.7,-0.42,-551.6,53.0
18.0,15,1073,62.2,-558.7,-0.52,-724.0,56.3
18.0,20,1073,63.6,-695.6,-0.65,-894.3,60.1
18.0,25,1073,65.7,-681.2,-0.63,-916.7,63.1
18.0,30,1063,66.5,-745.3,-0.7,-941.0,64.8
18.0,45,1057,68.7,-902.5,-0.85,-1045.3,67.4
18.0,60,1056,70.1,-899.2,-0.85,-1070.7,69.6
20.0,8,1125,55.6,-529.3,-0.47,-641.6,48.1
20.0,10,1125,58.3,-508.1,-0.45,-600.0,50.6
20.0,12,1125,59.6,-437.0,-0.39,-524.1,53.2
20.0,15,1064,62.4,-536.8,-0.5,-686.1,56.4
20.0,20,1064,63.8,-663.2,-0.62,-826.3,60.3
20.0,25,1064,66.0,-668.1,-0.63,-897.6,63.3
20.0,30,1054,67.0,-768.9,-0.73,-940.5,65.3
20.0,45,1044,69.6,-896.4,-0.86,-1002.6,68.3
20.0,60,1041,71.4,-861.2,-0.83,-1015.1,70.8
22.0,8,1125,55.8,-519.4,-0.46,-625.7,48.3
22.0,10,1125,58.5,-502.5,-0.45,-593.2,50.8
22.0,12,1125,59.7,-463.3,-0.41,-551.0,53.4
22.0,15,1059,62.5,-554.2,-0.52,-696.6,56.6
22.0,20,1059,63.9,-645.1,-0.61,-808.5,60.4
22.0,25,1059,66.3,-640.1,-0.6,-864.3,63.6
22.0,30,1043,67.3,-801.0,-0.77,-950.2,65.6
22.0,45,1027,70.2,-917.7,-0.89,-982.0,68.8
22.0,60,1025,72.2,-865.1,-0.84,-969.8,71.5
25.0,8,1125,55.9,-555.4,-0.49,-672.9,48.4
25.0,10,1125,58.6,-542.9,-0.48,-643.1,50.8
25.0,12,1125,59.8,-496.9,-0.44,-593.4,53.5
25.0,15,1048,62.4,-632.1,-0.6,-810.9,56.4
25.0,20,1048,63.8,-741.2,-0.71,-949.6,60.3
25.0,25,1048,66.2,-742.7,-0.71,-969.8,63.5
25.0,30,1030,67.4,-954.0,-0.93,-1130.2,65.6
25.0,45,1009,70.6,-1138.5,-1.13,-1229.0,69.1
25.0,60,1007,72.6,-1095.1,-1.09,-1214.6,71.9
30.0,8,1125,56.0,-605.4,-0.54,-722.9,48.4
30.0,10,1125,58.7,-613.5,-0.55,-705.0,50.9
30.0,12,1125,60.0,-532.6,-0.47,-631.6,53.7
30.0,15,1037,62.4,-699.3,-0.67,-886.4,56.4
30.0,20,1037,63.8,-804.1,-0.78,-1003.8,60.3
30.0,25,1037,66.2,-739.0,-0.71,-995.6,63.5
30.0,30,1011,67.4,-966.7,-0.96,-1141.6,65.6
30.0,45,984,70.9,-1254.1,-1.27,-1327.6,69.2
30.0,60,979,73.0,-1191.1,-1.22,-1324.5,72.3
35.0,8,1125,56.0,-598.0,-0.53,-715.5,48.5
35.0,10,1125,58.8,-609.6,-0.54,-701.2,51.0
35.0,12,1125,60.1,-513.4,-0.46,-623.8,53.8
35.0,15,1030,62.4,-676.7,-0.66,-853.8,56.3
35.0,20,1030,63.9,-789.4,-0.77,-974.1,60.3
35.0,25,1030,66.3,-739.6,-0.72,-967.7,63.5
35.0,30,999,67.8,-920.1,-0.92,-1075.7,65.9
35.0,45,970,71.8,-1144.7,-1.18,-1183.2,70.0
35.0,60,959,74.2,-967.8,-1.01,-1161.7,73.5
