tp,sl,horizon,trades,wr,net,avg,max_dd,tp_hit,sl_hit,timeout
10.0,10.0,8,2517,44.3,-1702.3,-0.68,-1817.4,591,664,1262
10.0,10.0,10,2517,45.6,-1645.8,-0.65,-1753.3,657,748,1112
10.0,10.0,12,2517,45.7,-1610.2,-0.64,-1667.1,699,802,1016
10.0,10.0,15,2320,46.0,-1567.4,-0.68,-1663.1,745,882,693
10.0,10.0,20,2307,46.1,-1473.4,-0.64,-1674.4,821,957,529
10.0,10.0,25,2307,46.2,-1560.5,-0.68,-1817.6,865,1018,424
10.0,10.0,30,2276,45.7,-1500.3,-0.66,-1750.8,896,1038,342
10.0,10.0,45,2266,45.5,-1726.7,-0.76,-1974.9,949,1120,197
10.0,10.0,60,2260,46.1,-1628.7,-0.72,-1884.2,973,1151,136
10.0,15.0,8,2517,47.2,-1376.1,-0.55,-1543.8,637,306,1574
10.0,15.0,10,2517,48.8,-1354.3,-0.54,-1532.8,712,365,1440
10.0,15.0,12,2517,49.2,-1312.0,-0.52,-1429.0,760,403,1354
10.0,15.0,15,2178,50.8,-1304.8,-0.6,-1606.1,771,468,939
10.0,15.0,20,2153,51.9,-1217.1,-0.57,-1701.3,858,541,754
10.0,15.0,25,2153,52.6,-1355.4,-0.63,-1827.1,906,597,650
10.0,15.0,30,2077,52.6,-1414.1,-0.68,-1876.5,927,632,518
10.0,15.0,45,2042,53.8,-1604.1,-0.79,-2012.5,992,710,340
10.0,15.0,60,2022,54.7,-1496.6,-0.74,-1968.7,1026,748,248
10.0,20.0,8,2517,48.0,-1344.3,-0.53,-1533.9,654,167,1696
10.0,20.0,10,2517,49.8,-1361.3,-0.54,-1546.2,732,204,1581
10.0,20.0,12,2517,50.2,-1355.0,-0.54,-1455.7,781,234,1502
10.0,20.0,15,2081,52.4,-1370.2,-0.66,-1577.4,752,274,1055
10.0,20.0,20,2041,54.2,-1186.8,-0.58,-1591.0,839,319,883
10.0,20.0,25,2041,55.1,-1222.8,-0.6,-1668.7,895,361,785
10.0,20.0,30,1925,55.3,-1374.8,-0.71,-1756.5,901,392,632
10.0,20.0,45,1857,58.1,-1293.7,-0.7,-1667.7,970,446,441
10.0,20.0,60,1819,59.8,-1007.3,-0.55,-1551.7,1004,482,333
10.0,25.0,8,2517,48.3,-1286.1,-0.51,-1492.3,661,94,1762
10.0,25.0,10,2517,50.2,-1304.9,-0.52,-1502.7,739,117,1661
10.0,25.0,12,2517,50.7,-1329.8,-0.53,-1441.8,789,145,1583
10.0,25.0,15,2032,53.0,-1377.2,-0.68,-1629.8,738,170,1124
10.0,25.0,20,1977,55.2,-1088.1,-0.55,-1597.5,825,204,948
10.0,25.0,25,1977,56.3,-1089.0,-0.55,-1621.4,884,229,864
10.0,25.0,30,1827,56.6,-1383.9,-0.76,-1869.1,876,260,691
10.0,25.0,45,1744,60.0,-1218.5,-0.7,-1708.9,940,308,496
10.0,25.0,60,1693,62.6,-796.7,-0.47,-1468.2,971,337,385
10.0,30.0,8,2517,48.3,-1399.0,-0.56,-1601.7,662,59,1796
10.0,30.0,10,2517,50.3,-1417.4,-0.56,-1622.9,741,79,1697
10.0,30.0,12,2517,50.8,-1444.6,-0.57,-1566.2,792,96,1629
10.0,30.0,15,2001,53.3,-1341.5,-0.67,-1677.9,731,112,1158
10.0,30.0,20,1940,55.8,-938.3,-0.48,-1525.1,817,133,990
10.0,30.0,25,1940,57.1,-856.8,-0.44,-1500.2,876,151,913
10.0,30.0,30,1762,57.3,-1348.4,-0.77,-1886.5,849,180,733
10.0,30.0,45,1659,61.2,-1080.7,-0.65,-1708.9,908,216,535
10.0,30.0,60,1592,64.0,-708.7,-0.45,-1452.1,929,245,418
10.0,35.0,8,2517,48.4,-1419.9,-0.56,-1617.6,662,42,1813
10.0,35.0,10,2517,50.3,-1438.7,-0.57,-1637.6,743,51,1723
10.0,35.0,12,2517,50.9,-1401.8,-0.56,-1528.7,794,60,1663
10.0,35.0,15,1981,53.5,-1269.1,-0.64,-1630.7,724,76,1181
10.0,35.0,20,1917,56.0,-945.1,-0.49,-1550.9,808,96,1013
10.0,35.0,25,1917,57.3,-879.1,-0.46,-1536.1,867,109,941
10.0,35.0,30,1725,57.9,-1305.4,-0.76,-1896.4,836,127,762
10.0,35.0,45,1597,62.0,-1048.6,-0.66,-1799.6,882,163,552
10.0,35.0,60,1525,65.0,-768.6,-0.5,-1617.0,899,185,441
15.0,10.0,8,2517,41.6,-1916.6,-0.76,-2041.5,293,690,1534
15.0,10.0,10,2517,42.6,-1981.5,-0.79,-2087.5,343,786,1388
15.0,10.0,12,2517,42.2,-1917.8,-0.76,-1990.9,382,846,1289
15.0,10.0,15,2188,41.5,-1636.1,-0.75,-1802.4,413,900,875
15.0,10.0,20,2137,40.6,-1549.8,-0.73,-1835.2,464,975,698
15.0,10.0,25,2137,39.9,-1647.5,-0.77,-1969.7,502,1044,591
15.0,10.0,30,2077,38.7,-1519.1,-0.73,-1891.9,534,1055,488
15.0,10.0,45,2042,37.6,-1813.7,-0.89,-2179.4,585,1149,308
15.0,10.0,60,2019,37.4,-1644.9,-0.81,-1967.9,617,1185,217
15.0,15.0,8,2517,44.2,-1667.1,-0.66,-1830.4,318,327,1872
