entry,gate,leg_age,max_gap,tp_r,horizon,fills,trades,wr,net,avg
open,False,,,3.0,120,5854,1582,29.9,1399.0,0.88
breakout,False,,,2.5,120,4095,1541,32.1,1269.0,0.82
open,True,,,3.0,90,1822,779,32.5,1138.0,1.46
open,False,,,3.0,90,5854,1682,30.9,1124.3,0.67
breakout,False,,,2.5,90,4095,1624,33.1,1103.4,0.68
open,False,,,2.5,120,5854,1713,32.1,1083.0,0.63
open,True,,,3.0,120,1822,757,30.5,1014.7,1.34
breakout,True,,,2.5,90,1296,702,36.0,979.0,1.39
breakout,True,,,2.5,120,1296,685,34.3,962.3,1.4
open,True,,,2.5,90,1822,824,34.7,960.6,1.17
open,False,,,2.5,90,5854,1816,32.9,954.3,0.53
breakout,True,,,3.0,90,1296,682,33.4,899.8,1.32
breakout,True,,,3.0,120,1296,663,31.2,857.4,1.29
open,True,,,2.0,90,1822,872,37.3,852.5,0.98
open,True,,,2.5,120,1822,798,33.0,801.5,1.0
open,True,,,3.0,60,1822,831,34.3,782.6,0.94
open,True,,,2.0,120,1822,848,36.1,762.9,0.9
breakout,True,2,,3.0,120,218,180,41.7,751.2,4.17
breakout,False,,,2.0,90,4095,1748,36.2,750.3,0.43
open,True,,,2.0,60,1822,921,38.2,747.3,0.81
breakout,False,,,2.0,120,4095,1672,35.3,745.1,0.45
breakout,True,,,3.0,60,1296,740,35.7,737.4,1.0
breakout,True,2,,2.5,120,218,180,43.3,726.9,4.04
breakout,True,,,2.0,90,1296,764,37.8,692.5,0.91
breakout,False,,,2.5,60,4095,1848,34.9,686.2,0.37
breakout,True,,,2.5,60,1296,759,37.2,648.2,0.85
breakout,True,2,,2.0,120,218,185,44.9,645.1,3.49
breakout,True,2,,2.5,90,218,181,45.3,596.8,3.3
breakout,True,,,2.0,120,1296,749,36.4,594.9,0.79
breakout,True,5,,2.5,120,400,278,38.8,585.0,2.1
breakout,True,2,,2.0,90,218,186,46.2,579.0,3.11
open,True,,,2.5,60,1822,870,35.7,575.9,0.66
breakout,True,2,3.0,3.0,120,157,142,41.5,571.5,4.02
breakout,True,2,,3.0,90,218,181,43.6,569.0,3.14
open,True,2,,3.0,120,323,201,37.8,558.8,2.78
breakout,True,5,3.0,3.0,120,286,236,36.0,544.0,2.31
breakout,True,5,,2.5,90,400,279,40.1,541.1,1.94
breakout,True,2,3.0,2.5,120,157,142,42.3,521.7,3.67
breakout,True,5,,3.0,90,400,269,39.0,513.8,1.91
breakout,True,5,3.0,2.5,120,286,242,36.4,491.8,2.03
open,True,2,,3.0,90,323,202,39.6,491.6,2.43
open,False,,,3.0,60,5854,1978,32.6,486.3,0.25
breakout,False,,,3.0,120,4095,1427,28.9,477.6,0.33
breakout,True,,3.0,3.0,120,954,710,28.7,460.4,0.65
