min_move_pts,change_mode,signals,trades,wr,net,avg,max_dd,sl_med,tp_hit,sl_hit,timeout
2.0,body,9142,2197,27.9,298.2,0.14,-835.6,6.0,435,1516,246
2.0,range,11832,2329,26.9,207.1,0.09,-783.4,5.6,469,1636,224
2.0,either,11832,2329,26.9,207.1,0.09,-783.4,5.6,469,1636,224
3.0,body,5854,1566,29.2,1314.2,0.84,-1093.9,7.2,312,1040,214
3.0,range,8900,2058,27.5,141.7,0.07,-1008.9,6.1,403,1432,223
3.0,either,8900,2058,27.5,141.7,0.07,-1008.9,6.1,403,1432,223
4.0,body,3778,1193,29.0,788.5,0.66,-1114.3,8.4,220,778,195
4.0,range,6457,1648,27.6,489.5,0.3,-922.8,7.1,318,1120,210
4.0,either,6457,1648,27.6,489.5,0.3,-922.8,7.1,318,1120,210
5.0,body,2517,900,30.7,989.1,1.1,-666.9,9.3,171,557,172
5.0,range,4608,1319,28.8,639.8,0.49,-1128.5,8.2,243,877,199
5.0,either,4608,1319,28.8,639.8,0.49,-1128.5,8.2,243,877,199
6.0,body,1739,678,31.7,876.5,1.29,-703.2,10.7,126,421,131
6.0,range,3370,1074,29.7,135.5,0.13,-1127.4,9.1,200,696,178
6.0,either,3370,1074,29.7,135.5,0.13,-1127.4,9.1,200,696,178
7.0,body,1259,494,32.0,96.8,0.2,-807.5,12.7,84,298,112
7.0,range,2491,856,32.1,970.2,1.13,-876.7,10.2,168,531,157
7.0,either,2491,856,32.1,970.2,1.13,-876.7,10.2,168,531,157
8.0,body,944,392,30.9,-91.2,-0.23,-747.1,14.2,59,233,100
8.0,range,1925,690,31.6,515.8,0.75,-757.8,11.2,121,429,140
8.0,either,1925,690,31.6,515.8,0.75,-757.8,11.2,121,429,140
10.0,body,563,267,30.3,163.7,0.61,-611.2,16.8,42,157,68
10.0,range,1172,449,30.7,18.8,0.04,-565.4,13.4,63,272,114
10.0,either,1172,449,30.7,18.8,0.04,-565.4,13.4,63,272,114
12.0,body,375,185,31.4,82.4,0.45,-651.6,20.1,28,109,48
12.0,range,779,341,33.7,110.8,0.33,-701.1,15.6,52,200,89
12.0,either,779,341,33.7,110.8,0.33,-701.1,15.6,52,200,89
15.0,body,214,122,30.3,-328.2,-2.69,-674.1,21.3,20,78,24
15.0,range,458,209,28.7,170.5,0.82,-673.9,18.2,35,123,51
15.0,either,458,209,28.7,170.5,0.82,-673.9,18.2,35,123,51
