model,prob,signals,trades,wr,net,avg
rf,0.5,331,237,35.4,-59.8,-0.25
rf,0.52,214,164,36.6,-25.0,-0.15
rf,0.55,107,88,39.8,186.4,2.12
rf,0.58,63,51,43.1,161.3,3.16
rf,0.6,46,37,35.1,7.5,0.2
rf,0.65,11,10,50.0,164.7,16.47
rf,0.7,2,2,50.0,-42.6,-21.28
xgb,0.5,448,309,35.3,-45.4,-0.15
xgb,0.52,398,277,36.1,34.0,0.12
xgb,0.55,319,234,38.5,209.6,0.9
xgb,0.58,244,191,37.7,128.3,0.67
xgb,0.6,197,161,38.5,165.4,1.03
xgb,0.65,136,114,35.1,125.9,1.1
xgb,0.7,89,79,36.7,259.4,3.28
lgb,0.5,427,317,35.6,233.8,0.74
lgb,0.52,390,296,36.8,291.1,0.98
lgb,0.55,331,254,37.8,444.7,1.75
lgb,0.58,284,219,34.7,313.3,1.43
lgb,0.6,251,200,36.5,302.3,1.51
lgb,0.65,173,145,41.4,448.2,3.09
lgb,0.7,123,110,39.1,552.6,5.02
et,0.5,451,310,34.2,316.0,1.02
et,0.52,294,211,36.0,46.7,0.22
et,0.55,146,110,37.3,-166.8,-1.52
et,0.58,77,57,36.8,-116.3,-2.04
et,0.6,48,34,44.1,149.4,4.39
et,0.65,15,8,62.5,151.4,18.93
et,0.7,0,0,0.0,0.0,0.0
hgb,0.5,270,210,36.2,365.3,1.74
hgb,0.52,237,188,35.1,198.7,1.06
hgb,0.55,203,166,36.7,398.9,2.4
hgb,0.58,179,149,36.2,311.9,2.09
hgb,0.6,164,142,36.6,344.8,2.43
hgb,0.65,123,110,33.6,131.6,1.2
hgb,0.7,88,79,32.9,175.7,2.22
ens,0.5,408,286,35.0,-111.1,-0.39
ens,0.52,319,232,40.1,133.1,0.57
ens,0.55,222,168,38.7,82.0,0.49
ens,0.58,158,130,36.2,130.5,1.0
ens,0.6,126,103,36.9,197.2,1.91
ens,0.65,56,48,43.8,297.4,6.2
ens,0.7,30,24,45.8,187.4,7.81
mlp,0.5,150,124,33.1,231.5,1.87
mlp,0.52,118,100,38.0,466.6,4.67
mlp,0.55,84,74,41.9,440.4,5.95
mlp,0.58,54,50,44.0,444.9,8.9
mlp,0.6,41,38,42.1,365.1,9.61
mlp,0.65,21,20,40.0,232.8,11.64
mlp,0.7,12,11,45.5,203.3,18.48
gbc,0.5,207,169,37.3,528.0,3.12
gbc,0.52,178,146,41.1,680.3,4.66
gbc,0.55,143,115,39.1,487.5,4.24
gbc,0.58,120,98,41.8,544.2,5.55
gbc,0.6,106,93,38.7,436.5,4.69
gbc,0.65,71,64,43.8,390.0,6.09
gbc,0.7,50,46,47.8,353.5,7.69
ada,0.5,887,501,29.1,235.3,0.47
ada,0.52,879,495,29.1,107.0,0.22
ada,0.55,849,472,29.0,135.8,0.29
ada,0.58,840,468,28.6,85.4,0.18
ada,0.6,839,470,28.9,109.3,0.23
ada,0.65,824,457,29.1,151.6,0.33
ada,0.7,745,425,30.6,137.9,0.32
logreg,0.5,782,475,30.9,25.1,0.05
logreg,0.52,691,428,31.1,39.0,0.09
logreg,0.55,532,347,33.4,451.8,1.3
logreg,0.58,412,266,34.6,542.3,2.04
logreg,0.6,340,227,36.1,683.8,3.01
logreg,0.65,206,140,37.9,716.4,5.12
logreg,0.7,124,84,31.0,549.7,6.54
lstm,0.5,1021,631,30.4,337.7,0.54
lstm,0.52,666,487,26.7,-323.2,-0.66
lstm,0.55,186,170,31.8,-117.3,-0.69
lstm,0.58,40,40,32.5,-136.4,-3.41
lstm,0.6,20,20,40.0,-47.7,-2.39
lstm,0.65,0,0,0.0,0.0,0.0
lstm,0.7,0,0,0.0,0.0,0.0
