tp_r,horizon,trades,wr,net,avg,max_dd,sl_med,tp_med,tp_hit,sl_hit,timeout
1.5,30,1451,39.4,-343.8,-0.24,-1218.2,9.4,14.1,369,656,426
1.5,45,1348,38.7,-584.1,-0.43,-1311.3,9.4,14.1,383,676,289
1.5,60,1249,39.6,-45.3,-0.04,-1069.0,9.5,14.2,379,650,220
1.5,90,1157,39.4,272.1,0.24,-828.2,9.5,14.3,375,635,147
1.5,120,1135,38.7,186.2,0.16,-737.8,9.6,14.4,376,629,130
1.5,150,1113,38.5,40.7,0.04,-934.7,9.6,14.4,378,631,104
2.0,30,1400,37.4,-28.5,-0.02,-1189.3,9.4,18.7,273,652,475
2.0,45,1273,35.7,-336.8,-0.26,-1264.0,9.4,18.8,275,669,329
2.0,60,1165,36.2,24.1,0.02,-980.0,9.5,18.9,271,637,257
2.0,90,1059,35.6,234.6,0.22,-790.1,9.5,19.0,273,614,172
2.0,120,1030,34.4,243.3,0.24,-709.9,9.6,19.2,278,606,146
2.0,150,1003,34.2,53.7,0.05,-940.5,9.7,19.3,274,606,123
2.5,30,1363,35.4,-29.7,-0.02,-1245.5,9.3,23.3,195,655,513
2.5,45,1209,34.0,-13.0,-0.01,-1127.1,9.4,23.5,198,648,363
2.5,60,1094,34.9,603.9,0.55,-981.4,9.4,23.5,206,609,279
2.5,90,990,33.4,596.1,0.6,-946.4,9.4,23.4,207,591,192
2.5,120,952,31.7,688.1,0.72,-806.0,9.4,23.5,211,580,161
2.5,150,928,32.0,591.3,0.64,-914.7,9.5,23.7,208,578,142
3.0,30,1338,34.8,189.4,0.14,-1102.0,9.3,28.0,152,651,535
3.0,45,1174,32.5,93.9,0.08,-1034.6,9.3,27.8,155,641,378
3.0,60,1052,33.6,693.0,0.66,-863.2,9.3,27.8,162,598,292
3.0,90,938,32.3,821.5,0.88,-720.3,9.2,27.5,165,567,206
3.0,120,900,30.7,989.1,1.1,-666.9,9.3,27.9,171,557,172
3.0,150,877,31.0,944.8,1.08,-777.9,9.3,28.0,170,555,152
3.5,30,1322,34.3,154.1,0.12,-1103.4,9.3,32.5,115,651,556
3.5,45,1162,31.2,-453.3,-0.39,-1238.4,9.3,32.5,112,653,397
3.5,60,1036,32.2,434.1,0.42,-922.8,9.3,32.6,124,603,309
3.5,90,921,30.1,434.3,0.47,-864.7,9.3,32.6,127,574,220
3.5,120,878,28.0,531.8,0.61,-715.1,9.4,32.9,128,564,186
3.5,150,852,28.3,442.2,0.52,-879.8,9.4,32.9,130,562,160
4.0,30,1309,33.5,157.3,0.12,-1158.9,9.3,37.1,93,652,564
4.0,45,1148,30.1,-524.0,-0.46,-1400.9,9.3,37.1,87,657,404
4.0,60,1016,30.8,201.1,0.2,-1146.9,9.3,37.2,93,607,316
4.0,90,901,28.6,386.9,0.43,-921.0,9.3,37.3,101,576,224
4.0,120,860,26.4,446.6,0.52,-815.8,9.4,37.8,102,568,190
4.0,150,833,26.5,370.3,0.44,-958.9,9.5,37.8,104,564,165
5.0,30,1298,32.7,-109.3,-0.08,-1290.5,9.3,46.3,64,661,573
5.0,45,1129,29.7,-237.5,-0.21,-1128.0,9.2,46.0,61,652,416
5.0,60,997,30.5,328.2,0.33,-882.0,9.3,46.4,64,599,334
5.0,90,880,27.6,417.4,0.47,-767.9,9.3,46.4,72,574,234
5.0,120,842,25.3,464.6,0.55,-775.5,9.3,46.6,75,570,197
5.0,150,814,25.2,391.5,0.48,-864.3,9.3,46.6,79,565,170
6.0,30,1294,32.5,-53.9,-0.04,-1275.6,9.2,55.3,48,665,581
6.0,45,1120,29.5,-137.6,-0.12,-1116.2,9.1,54.7,45,648,427
6.0,60,975,30.4,473.7,0.49,-750.0,9.2,55.2,48,585,342
6.0,90,851,27.8,734.3,0.86,-675.2,9.2,54.9,59,555,237
6.0,120,805,25.7,733.7,0.91,-678.1,9.2,55.4,56,544,205
6.0,150,776,25.4,663.3,0.85,-740.2,9.2,55.3,59,539,178
