side,signal_ts,entry_time,entry_price,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,target_updates,exit_time,exit_price,exit_reason,pnl,win,struct_trend,struct_last_kind,struct_last_swing_price,struct_dist_pts,struct_leg_pts,struct_prior_leg_pts,struct_pullback_pct,struct_leg_age_15m,struct_hh,struct_hl,struct_lh,struct_ll,struct_aligned,with_trend,counter_trend,range_regime
1,2025-06-02 07:30:00+00:00,2025-06-02 07:31:00+00:00,3355.88,3351.18,3369.980000000001,4.700000000000273,14.100000000000819,120,2025-06-02 09:31:00+00:00,3351.18,3354.8,0,2025-06-02 07:55:00+00:00,3351.18,stop_loss,-4.700000000000273,False,,,,,,,0.0,0.0,,,,,,False,False,False
1,2025-06-02 11:00:00+00:00,2025-06-02 11:01:00+00:00,3348.4,3346.31,3354.6700000000005,2.0900000000001455,6.270000000000437,120,2025-06-02 13:01:00+00:00,3346.31,3350.43,0,2025-06-02 11:05:00+00:00,3346.31,stop_loss,-2.0900000000001455,False,,,,,,,0.0,0.0,,,,,,False,False,False
1,2025-06-02 11:45:00+00:00,2025-06-02 11:46:00+00:00,3356.74,3354.15,3364.509999999999,2.5899999999996908,7.769999999999072,120,2025-06-02 13:46:00+00:00,3354.15,3358.08,0,2025-06-02 11:50:00+00:00,3354.15,stop_loss,-2.5899999999996908,False,,,,,,,0.0,0.0,,,,,,False,False,False
1,2025-06-02 14:00:00+00:00,2025-06-02 14:01:00+00:00,3375.2,3369.83,3391.3099999999995,5.369999999999891,16.109999999999673,120,2025-06-02 16:01:00+00:00,3369.83,3374.88,0,2025-06-02 14:08:00+00:00,3369.83,stop_loss,-5.369999999999891,False,,,,,,,0.0,0.0,,,,,,False,False,False
-1,2025-06-02 15:30:00+00:00,2025-06-02 15:31:00+00:00,3372.38,3375.3,3363.62,2.9200000000000728,8.760000000000218,120,2025-06-02 17:31:00+00:00,3371.85,3375.3,0,2025-06-02 15:42:00+00:00,3375.3,stop_loss,-2.9200000000000728,False,,,,,,,0.0,0.0,,,,,,False,False,False
-1,2025-06-03 13:45:00+00:00,2025-06-03 13:46:00+00:00,3348.48,3359.86,3314.3399999999997,11.38000000000011,34.14000000000033,120,2025-06-03 16:15:00+00:00,3353.32,3359.86,2,2025-06-03 16:15:00+00:00,3349.99,timeout,-1.5099999999997635,False,0.0,1.0,3363.34,-14.5600000000004,14.5600000000004,43.38000000000011,0.33563854310743113,2.0,0.0,0.0,1.0,0.0,-0.0,False,False,True
-1,2025-06-04 11:00:00+00:00,2025-06-04 11:01:00+00:00,3351.13,3354.23,3341.8300000000004,3.099999999999909,9.299999999999727,120,2025-06-04 13:30:00+00:00,3349.93,3354.23,1,2025-06-04 12:15:00+00:00,3354.23,stop_loss,-3.099999999999909,False,0.0,1.0,3365.35,-14.2199999999998,14.2199999999998,24.789999999999964,0.5736183945139097,13.0,0.0,1.0,1.0,0.0,-0.0,False,False,True
-1,2025-06-04 12:30:00+00:00,2025-06-04 12:31:00+00:00,3349.78,3350.95,3346.2700000000013,1.169999999999618,3.509999999998854,120,2025-06-04 14:31:00+00:00,3345.47,3350.95,0,2025-06-04 12:32:00+00:00,3350.95,stop_loss,-1.169999999999618,False,-1.0,-1.0,3343.78,6.199999999999818,6.199999999999818,17.40000000000009,0.35632183908044746,4.0,0.0,0.0,1.0,1.0,1.0,True,False,False
1,2025-06-04 12:45:00+00:00,2025-06-04 12:46:00+00:00,3356.08,3349.75,3375.0699999999997,6.329999999999927,18.98999999999978,120,2025-06-04 16:15:00+00:00,3349.75,3354.98,1,2025-06-04 14:37:00+00:00,3375.0699999999997,target_hit,18.98999999999978,True,-1.0,-1.0,3343.78,12.150000000000091,12.150000000000091,17.40000000000009,0.6982758620689671,5.0,0.0,0.0,1.0,1.0,-1.0,False,True,False
1,2025-06-05 10:15:00+00:00,2025-06-05 10:16:00+00:00,3391.93,3389.98,3397.7799999999993,1.949999999999818,5.849999999999454,120,2025-06-05 12:16:00+00:00,3389.98,3394.29,0,2025-06-05 10:31:00+00:00,3397.7799999999993,target_hit,5.849999999999454,True,-1.0,-1.0,3361.18,30.90000000000009,30.90000000000009,13.66000000000031,2.2620790629574956,17.0,0.0,0.0,1.0,1.0,-1.0,False,True,False
-1,2025-06-05 13:00:00+00:00,2025-06-05 13:01:00+00:00,3379.43,3391.08,3344.4799999999996,11.650000000000091,34.95000000000027,120,2025-06-05 17:45:00+00:00,3380.57,3391.08,7,2025-06-05 15:47:00+00:00,3344.4799999999996,target_hit,34.95000000000027,True,0.0,1.0,3403.59,-23.909999999999854,23.909999999999854,23.220000000000255,1.0297157622738842,7.0,1.0,0.0,0.0,1.0,-0.0,False,False,True
-1,2025-06-06 09:15:00+00:00,2025-06-06 09:16:00+00:00,3360.33,3365.4,3345.1199999999994,5.070000000000164,15.210000000000491,120,2025-06-06 11:16:00+00:00,3361.1,3365.4,0,2025-06-06 11:16:00+00:00,3362.13,timeout,-1.800000000000182,False,-1.0,1.0,3375.83,-15.399999999999636,15.399999999999636,64.24000000000024,0.23972602739725374,16.0,0.0,0.0,1.0,1.0,1.0,True,False,False
-1,2025-06-06 12:45:00+00:00,2025-06-06 12:46:00+00:00,3353.01,3362.37,3324.930000000001,9.359999999999673,28.079999999999018,120,2025-06-06 16:15:00+00:00,3349.3,3362.37,4,2025-06-06 14:19:00+00:00,3324.930000000001,target_hit,28.079999999999018,True,-1.0,1.0,3375.83,-22.579999999999927,22.579999999999927,64.24000000000024,0.35149439601494153,30.0,0.0,0.0,1.0,1.0,1.0,True,False,False
-1,2025-06-06 14:30:00+00:00,2025-06-06 14:31:00+00:00,3328.43,3335.98,3305.7799999999993,7.550000000000182,22.650000000000546,120,2025-06-06 17:15:00+00:00,3327.03,3335.98,2,2025-06-06 15:38:00+00:00,3335.98,stop_loss,-7.550000000000182,False,-1.0,1.0,3375.83,-47.440000000000055,47.440000000000055,64.24000000000024,0.7384806973848052,37.0,0.0,0.0,1.0,1.0,1.0,True,False,False
1,2025-06-09 14:00:00+00:00,2025-06-09 14:01:00+00:00,3319.0,3314.03,3333.9099999999994,4.9699999999998,14.9099999999994,120,2025-06-09 16:01:00+00:00,3314.03,3317.59,0,2025-06-09 16:01:00+00:00,3328.26,timeout,9.260000000000218,True,1.0,-1.0,3310.65,8.400000000000091,8.400000000000091,35.09999999999991,0.23931623931624252,2.0,1.0,1.0,0.0,0.0,1.0,True,False,False
-1,2025-06-10 07:45:00+00:00,2025-06-10 07:46:00+00:00,3330.56,3331.68,3327.2000000000003,1.1199999999998909,3.3599999999996726,120,2025-06-10 09:46:00+00:00,3327.33,3331.68,0,2025-06-10 08:07:00+00:00,3327.2000000000003,target_hit,3.3599999999996726,True,0.0,-1.0,3301.75,28.93000000000029,28.93000000000029,27.7199999999998,1.0436507936508117,21.0,1.0,0.0,0.0,1.0,-0.0,False,False,True
-1,2025-06-10 11:45:00+00:00,2025-06-10 11:46:00+00:00,3337.05,3339.8,3328.8,2.75,8.25,120,2025-06-10 13:46:00+00:00,3336.03,3339.8,0,2025-06-10 12:15:00+00:00,3328.8,target_hit,8.25,True,0.0,1.0,3342.73,-5.679999999999836,5.679999999999836,36.61999999999989,0.15510649918077152,0.0,1.0,0.0,0.0,1.0,-0.0,False,False,True
1,2025-06-10 13:30:00+00:00,2025-06-10 13:31:00+00:00,3345.33,3342.72,3353.1600000000003,2.6100000000001273,7.830000000000382,120,2025-06-10 15:31:00+00:00,3342.72,3346.42,0,2025-06-10 13:37:00+00:00,3342.72,stop_loss,-2.6100000000001273,False,1.0,-1.0,3328.28,17.0300000000002,17.0300000000002,40.98000000000002,0.4155685700341677,5.0,1.0,1.0,0.0,0.0,1.0,True,False,False
