retrace_sl_pct,target_offset,horizon,trades,wr,net,avg,max_dd,sl_med,tp_med,tp_hit,sl_hit,timeout,invalid_skip
0.25,40.0,60,261,10.7,-85.8,-0.33,-168.3,1.3,15.1,24,233,4,965
0.25,40.0,90,261,10.0,-103.9,-0.4,-173.1,1.3,15.1,24,235,2,965
0.25,40.0,120,261,9.6,-106.1,-0.41,-173.1,1.3,15.1,24,236,1,965
0.25,40.0,150,261,9.6,-104.8,-0.4,-173.1,1.3,15.1,24,236,1,965
0.25,60.0,60,470,11.1,-138.7,-0.3,-288.6,1.3,23.3,41,418,11,756
0.25,60.0,90,467,10.5,-142.0,-0.3,-289.7,1.3,23.4,42,418,7,759
0.25,60.0,120,467,9.9,-183.8,-0.39,-292.9,1.3,23.4,42,421,4,759
0.25,60.0,150,467,9.9,-191.1,-0.41,-300.2,1.3,23.4,42,421,4,759
0.25,80.0,60,617,10.2,-77.2,-0.13,-271.0,1.3,36.4,45,554,18,609
0.25,80.0,90,612,9.5,-65.4,-0.11,-276.3,1.3,36.4,46,554,12,614
0.25,80.0,120,611,8.8,-134.9,-0.22,-281.3,1.3,36.4,46,557,8,615
0.25,80.0,150,611,8.7,-136.5,-0.22,-282.6,1.3,36.4,46,558,7,615
0.25,100.0,60,694,7.3,-89.8,-0.13,-327.4,1.3,52.7,23,643,28,532
0.25,100.0,90,682,6.3,-10.6,-0.02,-301.3,1.3,53.0,27,639,16,544
0.25,100.0,120,679,5.6,-99.0,-0.15,-304.0,1.3,53.1,27,641,11,547
0.25,100.0,150,679,5.4,-104.4,-0.15,-302.1,1.3,53.1,27,642,10,547
0.25,120.0,60,768,7.7,25.1,0.03,-281.3,1.3,68.2,25,709,34,458
0.25,120.0,90,755,6.5,44.3,0.06,-275.0,1.3,68.6,25,706,24,471
0.25,120.0,120,751,5.7,-35.7,-0.05,-292.9,1.3,68.9,26,708,17,475
0.25,120.0,150,750,5.6,-45.0,-0.06,-294.3,1.4,68.9,26,708,16,476
0.25,140.0,60,826,7.4,-5.9,-0.01,-306.6,1.4,84.4,19,765,42,400
0.25,140.0,90,811,5.9,-33.0,-0.04,-343.1,1.4,85.3,19,763,29,415
0.25,140.0,120,803,5.0,-113.5,-0.14,-361.8,1.4,85.8,20,763,20,423
0.25,140.0,150,797,4.9,-55.6,-0.07,-363.2,1.4,86.3,21,758,18,429
0.25,160.0,60,847,6.7,-18.0,-0.02,-292.7,1.4,103.3,13,790,44,379
0.25,160.0,90,831,5.3,-33.7,-0.04,-330.1,1.4,103.7,14,787,30,395
0.25,160.0,120,819,4.4,-97.1,-0.12,-349.8,1.4,104.2,15,783,21,407
0.25,160.0,150,810,4.3,13.1,0.02,-320.1,1.4,105.3,16,775,19,416
0.5,40.0,60,299,21.1,-77.4,-0.26,-194.1,2.4,15.1,50,234,15,927
0.5,40.0,90,296,20.6,-68.9,-0.23,-179.1,2.4,15.1,51,235,10,930
0.5,40.0,120,296,19.9,-56.0,-0.19,-169.2,2.4,15.1,52,237,7,930
0.5,40.0,150,296,19.6,-64.9,-0.22,-173.6,2.4,15.1,52,238,6,930
0.5,60.0,60,524,19.5,-89.2,-0.17,-266.8,2.4,23.5,70,419,35,702
0.5,60.0,90,515,18.8,-105.0,-0.2,-284.4,2.4,23.9,72,418,25,711
0.5,60.0,120,510,18.0,-91.1,-0.18,-230.2,2.4,24.5,74,417,19,716
0.5,60.0,150,507,17.8,-115.5,-0.23,-246.3,2.4,24.5,74,417,16,719
0.5,80.0,60,660,18.0,-95.8,-0.15,-395.6,2.5,36.9,65,535,60,566
0.5,80.0,90,634,16.6,-13.5,-0.02,-381.3,2.5,37.3,68,528,38,592
0.5,80.0,120,625,15.5,-24.8,-0.04,-332.0,2.5,37.8,69,527,29,601
