model,prob,signals,trades,wr,net,avg,min_volume
logreg,0.5,419,275,38.2,581.4,2.11,200.0
logreg,0.52,392,264,38.6,530.8,2.01,200.0
logreg,0.55,359,251,39.4,531.2,2.12,200.0
logreg,0.58,319,232,40.1,519.1,2.24,200.0
logreg,0.6,290,210,40.0,537.8,2.56,200.0
logreg,0.62,266,195,40.0,569.8,2.92,200.0
logreg,0.65,239,175,40.0,564.8,3.23,200.0
logreg,0.68,197,152,39.5,582.6,3.83,200.0
logreg,0.7,175,139,41.7,525.3,3.78,200.0
gbc,0.5,214,178,37.6,302.6,1.7,200.0
gbc,0.52,200,165,37.0,202.4,1.23,200.0
gbc,0.55,171,139,38.1,213.4,1.54,200.0
gbc,0.58,145,119,34.5,-64.1,-0.54,200.0
gbc,0.6,127,104,36.5,18.1,0.17,200.0
gbc,0.62,113,92,35.9,142.6,1.55,200.0
gbc,0.65,96,82,40.2,251.5,3.07,200.0
gbc,0.68,80,67,37.3,63.7,0.95,200.0
gbc,0.7,72,62,40.3,83.4,1.35,200.0
lgb,0.5,292,224,41.5,666.1,2.97,200.0
lgb,0.52,280,215,41.4,599.4,2.79,200.0
lgb,0.55,253,197,42.1,600.9,3.05,200.0
lgb,0.58,230,181,42.0,534.6,2.95,200.0
lgb,0.6,213,170,42.4,617.4,3.63,200.0
lgb,0.62,191,155,40.6,420.9,2.72,200.0
lgb,0.65,172,139,41.7,352.6,2.54,200.0
lgb,0.68,148,127,40.2,283.7,2.23,200.0
lgb,0.7,138,119,41.2,336.9,2.83,200.0
hgb,0.5,242,188,44.1,805.2,4.28,200.0
hgb,0.52,219,174,45.4,759.6,4.37,200.0
hgb,0.55,196,153,43.1,521.7,3.41,200.0
hgb,0.58,177,139,43.9,606.0,4.36,200.0
hgb,0.6,168,134,44.0,623.7,4.65,200.0
hgb,0.62,153,125,44.0,590.2,4.72,200.0
hgb,0.65,128,104,44.2,579.6,5.57,200.0
hgb,0.68,106,88,45.5,510.1,5.8,200.0
hgb,0.7,98,84,44.0,437.4,5.21,200.0
mlp,0.5,122,109,35.8,317.4,2.91,200.0
mlp,0.52,98,87,36.8,209.5,2.41,200.0
mlp,0.55,71,60,33.3,58.0,0.97,200.0
mlp,0.58,54,46,37.0,134.3,2.92,200.0
mlp,0.6,48,43,34.9,157.1,3.65,200.0
mlp,0.62,41,36,33.3,23.0,0.64,200.0
mlp,0.65,28,24,29.2,1.5,0.06,200.0
mlp,0.68,22,18,33.3,63.0,3.5,200.0
mlp,0.7,17,14,35.7,40.9,2.92,200.0
rf,0.5,280,195,42.1,381.8,1.96,200.0
rf,0.52,221,158,39.2,243.1,1.54,200.0
rf,0.55,143,109,34.9,-236.6,-2.17,200.0
rf,0.58,84,69,33.3,-270.6,-3.92,200.0
rf,0.6,62,53,34.0,-329.3,-6.21,200.0
rf,0.62,44,37,27.0,-267.3,-7.22,200.0
rf,0.65,21,18,33.3,-98.8,-5.49,200.0
rf,0.68,5,5,40.0,46.2,9.25,200.0
rf,0.7,1,1,0.0,-11.8,-11.8,200.0
xgb,0.5,296,220,43.2,566.9,2.58,200.0
xgb,0.52,278,207,44.9,570.2,2.75,200.0
xgb,0.55,238,177,45.8,537.9,3.04,200.0
xgb,0.58,208,162,46.9,618.2,3.82,200.0
xgb,0.6,187,148,44.6,370.1,2.5,200.0
xgb,0.62,164,131,42.7,289.8,2.21,200.0
xgb,0.65,142,119,40.3,116.1,0.98,200.0
xgb,0.68,122,101,38.6,-80.8,-0.8,200.0
xgb,0.7,99,83,37.3,-38.6,-0.47,200.0
ens,0.5,292,212,44.8,648.0,3.06,200.0
ens,0.52,256,188,44.7,569.0,3.03,200.0
ens,0.55,209,158,43.7,327.5,2.07,200.0
ens,0.58,160,123,39.8,133.2,1.08,200.0
ens,0.6,134,104,38.5,-75.4,-0.73,200.0
ens,0.62,109,90,38.9,-62.1,-0.69,200.0
ens,0.65,83,70,37.1,-138.4,-1.98,200.0
ens,0.68,53,45,28.9,-182.2,-4.05,200.0
ens,0.7,37,32,31.2,-156.1,-4.88,200.0
et,0.5,360,233,45.1,971.1,4.17,200.0
et,0.52,278,186,44.6,738.5,3.97,200.0
et,0.55,169,120,43.3,236.4,1.97,200.0
et,0.58,90,73,39.7,42.6,0.58,200.0
et,0.6,56,45,40.0,-110.2,-2.45,200.0
et,0.62,37,30,33.3,-117.9,-3.93,200.0
et,0.65,15,9,33.3,36.0,4.01,200.0
et,0.68,8,2,50.0,47.1,23.55,200.0
et,0.7,6,1,100.0,62.5,62.52,200.0
