model,prob,signals,trades,wr,net,avg,min_volume
logreg,0.5,317,204,41.2,819.9,4.02,200.0
logreg,0.52,302,197,40.6,717.7,3.64,200.0
logreg,0.55,279,186,41.9,720.1,3.87,200.0
logreg,0.58,255,178,39.9,472.6,2.66,200.0
logreg,0.6,239,170,40.0,467.3,2.75,200.0
logreg,0.62,218,156,39.1,363.4,2.33,200.0
logreg,0.65,199,145,38.6,334.5,2.31,200.0
logreg,0.68,179,136,38.2,264.5,1.94,200.0
logreg,0.7,158,122,37.7,203.9,1.67,200.0
gbc,0.5,157,124,46.8,668.1,5.39,200.0
gbc,0.52,149,119,47.1,644.7,5.42,200.0
gbc,0.55,139,113,46.9,668.6,5.92,200.0
gbc,0.58,117,93,47.3,529.3,5.69,200.0
gbc,0.6,107,85,48.2,427.5,5.03,200.0
gbc,0.62,101,82,47.6,360.9,4.4,200.0
gbc,0.65,93,74,45.9,309.3,4.18,200.0
gbc,0.68,73,56,53.6,354.0,6.32,200.0
gbc,0.7,67,52,53.8,337.0,6.48,200.0
lgb,0.5,200,155,43.9,696.3,4.49,200.0
lgb,0.52,185,143,44.8,670.5,4.69,200.0
lgb,0.55,168,131,45.0,642.5,4.9,200.0
lgb,0.58,154,121,43.0,523.2,4.32,200.0
lgb,0.6,145,117,44.4,527.3,4.51,200.0
lgb,0.62,140,114,45.6,546.5,4.79,200.0
lgb,0.65,125,103,48.5,632.1,6.14,200.0
lgb,0.68,108,89,50.6,535.0,6.01,200.0
lgb,0.7,101,85,48.2,455.1,5.35,200.0
hgb,0.5,152,119,42.0,194.4,1.63,200.0
hgb,0.52,139,110,41.8,156.0,1.42,200.0
hgb,0.55,135,109,41.3,134.2,1.23,200.0
hgb,0.58,120,100,42.0,184.3,1.84,200.0
hgb,0.6,111,91,46.2,310.7,3.41,200.0
hgb,0.62,107,89,46.1,293.9,3.3,200.0
hgb,0.65,92,77,48.1,331.2,4.3,200.0
hgb,0.68,82,68,50.0,344.1,5.06,200.0
hgb,0.7,79,65,49.2,345.7,5.32,200.0
mlp,0.5,77,65,36.9,456.5,7.02,200.0
mlp,0.52,63,53,35.8,363.8,6.86,200.0
mlp,0.55,47,39,41.0,349.8,8.97,200.0
mlp,0.58,36,32,37.5,189.4,5.92,200.0
mlp,0.6,34,30,40.0,213.5,7.12,200.0
mlp,0.62,27,23,43.5,225.3,9.8,200.0
mlp,0.65,17,14,42.9,105.2,7.52,200.0
mlp,0.68,14,11,54.5,144.2,13.11,200.0
mlp,0.7,13,10,50.0,129.0,12.9,200.0
rf,0.5,158,119,40.3,215.1,1.81,200.0
rf,0.52,112,85,43.5,226.5,2.66,200.0
rf,0.55,71,58,39.7,108.9,1.88,200.0
rf,0.58,47,38,39.5,166.6,4.38,200.0
rf,0.6,37,29,41.4,109.3,3.77,200.0
rf,0.62,20,13,38.5,89.4,6.88,200.0
rf,0.65,13,10,30.0,-25.2,-2.52,200.0
rf,0.68,5,4,25.0,3.9,0.96,200.0
rf,0.7,3,3,33.3,18.7,6.23,200.0
xgb,0.5,184,144,43.8,459.2,3.19,200.0
xgb,0.52,172,138,42.8,357.0,2.59,200.0
xgb,0.55,152,125,42.4,249.7,2.0,200.0
xgb,0.58,138,113,43.4,306.9,2.72,200.0
xgb,0.6,128,105,42.9,290.3,2.76,200.0
xgb,0.62,119,98,42.9,265.8,2.71,200.0
xgb,0.65,101,86,43.0,174.8,2.03,200.0
xgb,0.68,86,74,40.5,109.8,1.48,200.0
xgb,0.7,75,63,41.3,180.2,2.86,200.0
ens,0.5,177,139,43.9,366.6,2.64,200.0
ens,0.52,157,126,43.7,343.8,2.73,200.0
ens,0.55,128,106,41.5,241.0,2.27,200.0
ens,0.58,102,84,39.3,124.0,1.48,200.0
ens,0.6,92,78,42.3,147.5,1.89,200.0
ens,0.62,77,63,42.9,191.0,3.03,200.0
ens,0.65,60,50,46.0,183.0,3.66,200.0
ens,0.68,44,35,51.4,238.6,6.82,200.0
ens,0.7,27,24,45.8,81.8,3.41,200.0
et,0.5,243,171,44.4,753.7,4.41,200.0
et,0.52,184,135,43.7,488.0,3.62,200.0
et,0.55,115,88,47.7,340.7,3.87,200.0
et,0.58,56,44,50.0,225.9,5.14,200.0
et,0.6,33,26,46.2,187.4,7.21,200.0
et,0.62,22,16,56.2,206.8,12.93,200.0
et,0.65,11,5,40.0,98.8,19.76,200.0
et,0.68,9,4,25.0,82.9,20.73,200.0
et,0.7,8,3,33.3,103.9,34.64,200.0
