tp_r,struct_mode,horizon,trades,wr,net,avg,max_dd,struct_ex,tp_hit,sl_hit,timeout
1.5,off,90,1003,41.0,438.8,0.44,-373.1,0,374,570,59
1.5,profit,90,1003,42.2,612.8,0.61,-304.1,14,374,562,53
1.5,always,90,1003,42.0,642.4,0.64,-314.1,21,374,556,52
2.0,off,90,910,35.5,557.5,0.61,-369.0,0,263,565,82
2.0,profit,90,910,36.9,751.2,0.83,-281.2,15,263,556,76
2.0,always,90,910,36.7,773.4,0.85,-286.6,21,263,550,76
2.5,off,90,856,32.7,917.8,1.07,-297.0,0,207,555,94
2.5,profit,90,856,34.0,1100.5,1.29,-254.4,19,207,548,82
2.5,always,90,856,33.9,1124.5,1.31,-256.2,26,207,541,82
3.0,off,90,814,31.6,953.7,1.17,-239.7,0,168,534,112
3.0,profit,90,814,33.0,1194.5,1.47,-205.2,23,168,527,96
3.0,always,90,814,32.8,1202.0,1.48,-207.0,28,168,522,96
3.5,off,90,792,29.8,779.7,0.98,-225.8,0,137,533,122
3.5,profit,90,792,31.3,1054.5,1.33,-180.7,24,137,526,105
3.5,always,90,792,31.2,1068.3,1.35,-180.7,30,137,520,105
4.0,off,90,770,27.7,806.3,1.05,-261.1,0,113,535,122
4.0,profit,90,770,29.6,1122.1,1.46,-193.0,27,113,525,105
4.0,always,90,770,29.6,1137.7,1.48,-193.0,32,113,520,105
4.5,off,90,747,26.5,692.1,0.93,-236.7,0,94,529,124
4.5,profit,90,747,28.5,1010.1,1.35,-216.1,28,94,518,107
4.5,always,90,747,28.5,1025.2,1.37,-216.1,32,94,514,107
5.0,off,90,742,25.6,732.1,0.99,-232.2,0,82,534,126
5.0,profit,90,742,27.6,1050.1,1.42,-204.2,28,82,523,109
5.0,always,90,742,27.6,1065.2,1.44,-204.2,32,82,519,109
6.0,off,90,715,24.1,695.8,0.97,-301.7,0,57,525,133
6.0,profit,90,715,26.2,1017.0,1.42,-261.3,31,57,514,113
6.0,always,90,715,26.2,1028.2,1.44,-261.3,34,57,511,113
