side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,slot_low,slot_high,stop_mode,entry_struct_trend,target_updates,exit_time,exit_price,exit_reason,pnl,win,hold_min
1,2025-11-11 09:15:00+00:00,2025-11-11 09:17:00+00:00,4142.67,breakout_next_open,4135.49,4164.210000000001,7.180000000000291,21.540000000000873,120,2025-11-11 11:17:00+00:00,4135.49,4139.84,4134.36,4144.5,impulse_bar,1,0,2025-11-11 11:17:00+00:00,4140.23,timeout,-2.4400000000005093,False,120.0
-1,2025-11-14 09:15:00+00:00,2025-11-14 09:19:00+00:00,4172.7,breakout_next_open,4177.32,4158.84,4.619999999999891,13.859999999999673,120,2025-11-14 11:19:00+00:00,4172.89,4177.32,4167.94,4180.82,impulse_bar,-1,0,2025-11-14 11:09:00+00:00,4158.84,target_hit,13.859999999999673,True,110.0
-1,2025-11-14 11:15:00+00:00,2025-11-14 11:17:00+00:00,4148.3,breakout_next_open,4158.01,4119.17,9.710000000000036,29.13000000000011,120,2025-11-14 13:17:00+00:00,4151.81,4158.01,4150.85,4170.14,impulse_bar,-1,0,2025-11-14 11:40:00+00:00,4158.01,stop_loss,-9.710000000000036,False,23.0
-1,2025-11-14 12:00:00+00:00,2025-11-14 12:04:00+00:00,4135.32,breakout_next_open,4149.86,4091.7,14.539999999999964,43.61999999999989,120,2025-11-14 14:04:00+00:00,4145.57,4149.86,4130.87,4153.73,impulse_bar,-1,0,2025-11-14 13:12:00+00:00,4091.7,target_hit,43.61999999999989,True,68.0
-1,2025-11-14 14:30:00+00:00,2025-11-14 14:33:00+00:00,4039.43,breakout_next_open,4051.18,4004.18,11.75,35.25,120,2025-11-14 16:33:00+00:00,4046.92,4051.18,4046.92,4060.63,impulse_bar,-1,0,2025-11-14 14:35:00+00:00,4051.18,stop_loss,-11.75,False,2.0
-1,2025-11-14 15:30:00+00:00,2025-11-14 15:32:00+00:00,4075.98,breakout_next_open,4080.52,4062.36,4.539999999999964,13.61999999999989,120,2025-11-14 17:32:00+00:00,4074.73,4080.52,4071.59,4082.37,impulse_bar,-1,0,2025-11-14 15:37:00+00:00,4080.52,stop_loss,-4.539999999999964,False,5.0
-1,2025-11-14 17:00:00+00:00,2025-11-14 17:02:00+00:00,4104.2,breakout_next_open,4109.2,4089.2,5.0,15.0,120,2025-11-14 19:02:00+00:00,4104.53,4109.2,4102.3,4109.2,impulse_bar,-1,0,2025-11-14 17:04:00+00:00,4109.2,stop_loss,-5.0,False,2.0
-1,2025-11-14 17:15:00+00:00,2025-11-14 17:17:00+00:00,4103.21,breakout_next_open,4106.21,4094.21,3.0,9.0,120,2025-11-14 19:17:00+00:00,4101.42,4106.21,4096.19,4110.77,impulse_bar,-1,0,2025-11-14 17:28:00+00:00,4094.21,target_hit,9.0,True,11.0
1,2025-11-20 17:30:00+00:00,2025-11-20 17:32:00+00:00,4055.72,breakout_next_open,4050.48,4071.439999999999,5.239999999999782,15.719999999999345,120,2025-11-20 19:32:00+00:00,4050.48,4056.48,4050.48,4061.44,impulse_bar,1,0,2025-11-20 17:35:00+00:00,4050.48,stop_loss,-5.239999999999782,False,3.0
1,2025-11-20 17:45:00+00:00,2025-11-20 17:49:00+00:00,4059.98,breakout_next_open,4055.88,4072.2799999999997,4.099999999999909,12.299999999999727,120,2025-11-20 20:00:00+00:00,4055.88,4060.29,4049.32,4060.29,impulse_bar,1,1,2025-11-20 18:06:00+00:00,4072.2799999999997,target_hit,12.299999999999727,True,17.0
1,2025-11-20 19:30:00+00:00,2025-11-20 19:32:00+00:00,4082.08,breakout_next_open,4072.54,4110.7,9.539999999999964,28.61999999999989,120,2025-11-20 21:32:00+00:00,4072.54,4077.78,4066.33,4087.31,impulse_bar,1,0,2025-11-20 21:32:00+00:00,4078.23,timeout,-3.849999999999909,False,120.0
