tp_pts,struct_mode,horizon,trades,wr,net,avg,max_dd,struct_ex,tp_hit,sl_hit,timeout
10,off,120,1008,46.5,355.4,0.35,-264.3,0,458,531,19
10,profit,120,1008,47.4,450.4,0.45,-221.6,9,458,523,18
10,always,120,1008,47.3,485.1,0.48,-213.3,16,458,516,18
15,off,120,892,39.6,600.4,0.67,-248.2,0,321,525,46
15,profit,120,892,41.3,770.0,0.86,-207.8,16,321,513,42
15,always,120,892,40.9,797.9,0.89,-209.9,23,321,506,42
20,off,120,821,35.0,881.3,1.07,-257.3,0,246,521,54
20,profit,120,821,37.0,1103.4,1.34,-212.9,19,246,507,49
20,always,120,821,36.9,1135.2,1.38,-210.5,25,246,501,49
25,off,120,759,32.0,912.0,1.2,-239.0,0,186,504,69
25,profit,120,759,34.1,1193.5,1.57,-212.1,24,186,491,58
25,always,120,759,34.1,1228.1,1.62,-212.1,30,186,485,58
30,off,120,713,28.3,493.7,0.69,-346.7,0,135,496,82
30,profit,120,713,31.6,934.3,1.31,-276.4,33,135,478,67
30,always,120,713,31.6,958.0,1.34,-273.9,37,135,474,67
35,off,120,681,27.5,640.5,0.94,-330.2,0,107,480,94
35,profit,120,681,30.8,1096.6,1.61,-257.7,35,107,462,77
35,always,120,681,30.8,1116.3,1.64,-255.3,38,107,459,77
40,off,120,666,25.7,491.4,0.74,-264.4,0,87,479,100
40,profit,120,666,29.4,1021.5,1.53,-219.3,38,87,459,82
40,always,120,666,29.4,1032.8,1.55,-219.3,40,87,457,82
45,off,120,646,24.9,506.7,0.78,-274.2,0,75,470,101
45,profit,120,646,28.6,1026.8,1.59,-216.4,37,75,451,83
45,always,120,646,28.6,1038.0,1.61,-214.0,39,75,449,83
50,off,120,636,24.1,496.7,0.78,-264.1,0,67,468,101
50,profit,120,636,27.7,1022.3,1.61,-219.0,37,67,450,82
50,always,120,636,27.7,1033.5,1.63,-219.0,39,67,448,82
60,off,120,622,22.3,418.5,0.67,-336.4,0,53,467,102
60,profit,120,622,26.0,975.6,1.57,-245.7,39,53,449,81
60,always,120,622,26.0,986.9,1.59,-243.2,41,53,447,81
70,off,120,603,22.4,517.7,0.86,-359.8,0,41,453,109
70,profit,120,603,26.2,1074.8,1.78,-222.9,39,41,435,88
70,always,120,603,26.2,1086.0,1.8,-222.9,41,41,433,88
80,off,120,583,22.3,619.7,1.06,-292.6,0,31,438,114
80,profit,120,583,26.2,1176.8,2.02,-219.2,39,31,420,93
80,always,120,583,26.2,1188.0,2.04,-219.2,41,31,418,93
100,off,120,558,22.2,674.0,1.21,-301.2,0,18,420,120
100,profit,120,558,26.3,1231.1,2.21,-221.8,39,18,402,99
100,always,120,558,26.3,1242.3,2.23,-219.4,41,18,400,99
120,off,120,558,21.3,571.6,1.02,-260.8,0,14,425,119
120,profit,120,558,25.4,1128.7,2.02,-202.6,39,14,407,98
120,always,120,558,25.4,1140.0,2.04,-202.6,41,14,405,98
R3,off,120,699,31.5,1121.8,1.6,-260.6,0,161,460,78
R3,profit,120,699,34.0,1489.2,2.13,-217.2,26,161,446,66
R3,always,120,699,33.9,1511.7,2.16,-214.8,31,161,441,66
