model,prob,signals,trades,wr,net,avg
logreg,0.5,446,266,44.0,1319.2,4.96
logreg,0.52,416,252,44.8,1327.9,5.27
logreg,0.55,376,229,46.7,1240.0,5.42
logreg,0.58,341,208,46.6,1196.2,5.75
logreg,0.6,320,205,45.4,1122.0,5.47
logreg,0.62,302,194,45.4,1109.3,5.72
logreg,0.65,265,184,42.9,966.5,5.25
logreg,0.68,230,167,41.3,743.8,4.45
logreg,0.7,205,151,43.7,828.6,5.49
gbc,0.5,274,200,43.0,821.3,4.11
gbc,0.52,250,190,44.2,859.1,4.52
gbc,0.55,222,172,44.2,751.9,4.37
gbc,0.58,203,162,44.4,725.5,4.48
gbc,0.6,191,153,43.8,620.8,4.06
gbc,0.62,170,140,45.7,638.3,4.56
gbc,0.65,146,120,45.8,545.1,4.54
gbc,0.68,129,107,45.8,452.5,4.23
gbc,0.7,116,96,44.8,393.8,4.1
lgb,0.5,322,231,45.0,935.0,4.05
lgb,0.52,308,223,44.8,888.5,3.98
lgb,0.55,279,207,44.4,814.3,3.93
lgb,0.58,262,197,44.7,785.1,3.99
lgb,0.6,253,192,43.8,730.4,3.8
lgb,0.62,238,184,44.0,688.7,3.74
lgb,0.65,210,165,43.0,578.2,3.5
lgb,0.68,187,149,43.6,509.6,3.42
lgb,0.7,174,142,45.1,507.0,3.57
hgb,0.5,265,202,46.5,898.4,4.45
hgb,0.52,248,194,46.9,820.7,4.23
hgb,0.55,229,181,47.0,815.8,4.51
hgb,0.58,215,171,46.2,747.9,4.37
hgb,0.6,203,162,45.7,687.7,4.25
hgb,0.62,191,153,44.4,553.2,3.62
hgb,0.65,170,137,47.4,601.8,4.39
hgb,0.68,157,126,46.8,585.7,4.65
hgb,0.7,137,115,47.0,513.7,4.47
mlp,0.5,197,156,39.7,805.3,5.16
mlp,0.52,166,134,40.3,772.4,5.76
mlp,0.55,132,109,40.4,696.5,6.39
mlp,0.58,92,79,41.8,586.4,7.42
mlp,0.6,77,64,45.3,585.7,9.15
mlp,0.62,61,53,41.5,529.1,9.98
mlp,0.65,51,43,39.5,467.4,10.87
mlp,0.68,37,31,45.2,470.9,15.19
mlp,0.7,32,26,53.8,499.6,19.21
rf,0.5,310,218,45.0,891.2,4.09
rf,0.52,252,185,44.9,748.4,4.05
rf,0.55,168,132,41.7,458.0,3.47
rf,0.58,89,73,49.3,420.0,5.75
rf,0.6,67,54,50.0,399.2,7.39
rf,0.62,47,36,50.0,271.2,7.53
rf,0.65,29,22,59.1,374.5,17.02
rf,0.68,14,10,60.0,219.6,21.96
rf,0.7,8,6,83.3,257.8,42.97
xgb,0.5,331,233,42.1,667.7,2.87
xgb,0.52,309,223,43.0,685.9,3.08
xgb,0.55,278,207,43.5,671.8,3.25
xgb,0.58,250,192,44.8,732.8,3.82
xgb,0.6,224,173,46.2,683.2,3.95
xgb,0.62,205,166,46.4,674.5,4.06
xgb,0.65,183,148,48.6,692.5,4.68
xgb,0.68,149,121,46.3,521.2,4.31
xgb,0.7,137,112,48.2,559.6,5.0
ens,0.5,322,230,43.9,785.8,3.42
ens,0.52,286,205,45.4,767.5,3.74
ens,0.55,240,178,46.1,626.5,3.52
ens,0.58,188,147,49.0,688.2,4.68
ens,0.6,165,137,46.0,571.8,4.17
ens,0.62,138,116,47.4,557.9,4.81
ens,0.65,113,95,47.4,489.5,5.15
ens,0.68,80,67,47.8,315.4,4.71
ens,0.7,66,56,48.2,278.4,4.97
et,0.5,406,254,53.1,1935.8,7.62
et,0.52,311,214,52.3,1449.0,6.77
et,0.55,178,135,49.6,790.9,5.86
et,0.58,87,70,55.7,590.0,8.43
et,0.6,46,37,37.8,141.3,3.82
et,0.62,28,20,50.0,267.2,13.36
et,0.65,12,6,66.7,208.1,34.68
et,0.68,8,4,50.0,128.0,32.0
et,0.7,7,3,66.7,149.0,49.68
