tp_r,struct_mode,horizon,trades,wr,net,avg,max_dd,struct_ex,tp_hit,sl_hit,timeout
1.5,off,120,878,41.2,406.1,0.46,-383.8,0,342,500,36
1.5,profit,120,878,42.9,630.5,0.72,-297.1,17,342,488,31
1.5,always,120,878,42.7,664.5,0.76,-290.9,25,342,480,31
2.0,off,120,790,36.5,535.4,0.68,-462.2,0,254,489,47
2.0,profit,120,790,38.0,735.0,0.93,-391.5,17,254,479,40
2.0,always,120,790,37.8,765.7,0.97,-385.3,24,254,472,40
2.5,off,120,743,33.6,893.7,1.2,-238.3,0,202,476,65
2.5,profit,120,743,36.1,1222.1,1.64,-204.2,24,202,462,55
2.5,always,120,743,35.9,1240.5,1.67,-201.8,28,202,458,55
3.0,off,120,699,31.5,1121.8,1.6,-260.6,0,161,460,78
3.0,profit,120,699,34.0,1489.2,2.13,-217.2,26,161,446,66
3.0,always,120,699,33.9,1511.7,2.16,-214.8,31,161,441,66
3.5,off,120,678,29.2,732.4,1.08,-300.9,0,126,463,89
3.5,profit,120,678,31.9,1103.3,1.63,-243.2,29,126,448,75
3.5,always,120,678,31.9,1127.5,1.66,-240.8,34,126,443,75
4.0,off,120,658,26.7,551.6,0.84,-323.9,0,98,467,93
4.0,profit,120,658,30.1,969.3,1.47,-216.3,33,98,448,79
4.0,always,120,658,30.1,985.1,1.5,-213.9,37,98,444,79
4.5,off,120,642,26.0,694.0,1.08,-257.3,0,85,458,99
4.5,profit,120,642,29.3,1096.4,1.71,-189.2,33,85,441,83
4.5,always,120,642,29.3,1108.2,1.73,-186.7,36,85,438,83
5.0,off,120,634,24.9,663.8,1.05,-243.4,0,73,463,98
5.0,profit,120,634,28.2,1073.8,1.69,-198.3,33,73,446,82
5.0,always,120,634,28.2,1085.6,1.71,-198.3,36,73,443,82
6.0,off,120,622,23.0,498.9,0.8,-312.0,0,54,465,103
6.0,profit,120,622,26.7,995.7,1.6,-245.4,38,54,446,84
6.0,always,120,622,26.7,1007.5,1.62,-242.9,41,54,443,84
