mode,lane,horizon,tp_enabled,trades,wr,net,avg,hold_med,struct,tp,sl,to
baseline_R3_H120,mech,120,True,699,33.9,1511.7,2.16,24.0,31,161,441,66
baseline_R3_H120,ml,120,True,254,50.0,1776.8,7.0,44.0,18,73,116,47
struct_hold,mech,90,False,555,29.0,1476.2,2.66,34.0,40,0,380,135
struct_hold,ml,90,False,237,50.6,1654.8,6.98,90.0,25,0,105,107
struct_hold,mech,120,False,520,26.3,1492.8,2.87,32.5,42,0,372,106
struct_hold,ml,120,False,218,49.1,1940.9,8.9,93.5,26,0,106,86
struct_hold,mech,180,False,502,25.1,1667.4,3.32,31.5,44,0,367,91
struct_hold,ml,180,False,192,47.9,2250.4,11.72,105.0,32,0,96,64
struct_hold,mech,240,False,496,24.8,1791.1,3.61,31.0,47,0,369,80
struct_hold,ml,240,False,181,47.5,2481.0,13.71,96.0,33,0,94,54
struct_hold,mech,360,False,493,23.5,1601.1,3.25,31.0,54,0,371,68
struct_hold,ml,360,False,179,45.8,2582.5,14.43,93.0,38,0,95,46
struct_hold,mech,480,False,493,22.9,1719.9,3.49,31.0,62,0,375,56
struct_hold,ml,480,False,175,44.6,2780.2,15.89,88.0,39,0,96,40
struct_hold,mech,600,False,493,22.9,1818.7,3.69,31.0,65,0,377,51
struct_hold,ml,600,False,175,42.3,2606.3,14.89,88.0,42,0,100,33
struct_hold,mech,720,False,483,22.2,1605.9,3.32,31.0,71,0,373,39
struct_hold,ml,720,False,174,41.4,2793.0,16.05,87.5,44,0,101,29
