h,dx,rx,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
360,0.3,0.1,0.2,0.2,1.0,33002,12776,38.712805284528216,18.688991257749272,18.688991257749272,12776
240,0.3,0.1,0.2,0.2,1.0,33002,12536,37.98557663171929,18.688991257749272,18.688991257749272,12536
480,0.3,0.1,0.2,0.2,1.0,33002,11962,36.24628810375129,18.688991257749272,18.688991257749272,11962
360,0.3,0.1,0.25,0.2,1.25,33002,11520,34.906975334828196,23.36123907218659,18.688991257749272,11520
480,0.3,0.1,0.25,0.2,1.25,33002,11198,33.93127689230956,23.36123907218659,18.688991257749272,11198
240,0.3,0.1,0.2,0.15,1.3333333333333335,33002,10811,32.758620689655174,18.688991257749272,14.01674344331195,10811
360,0.3,0.15,0.2,0.2,1.0,27603,10571,38.296561967902036,18.64759180543886,18.64759180543886,10571
240,0.3,0.1,0.25,0.2,1.25,33002,10555,31.982910126658993,23.36123907218659,18.688991257749272,10555
480,0.3,0.1,0.3,0.2,1.4999999999999998,33002,10547,31.958669171565358,28.0334868866239,18.688991257749272,10547
360,0.3,0.1,0.2,0.15,1.3333333333333335,33002,10541,31.940488455245138,18.688991257749272,14.01674344331195,10541
360,0.3,0.1,0.3,0.2,1.4999999999999998,33002,10305,31.225380279983035,28.0334868866239,18.688991257749272,10305
240,0.3,0.15,0.2,0.2,1.0,27603,10286,37.2640655001268,18.64759180543886,18.64759180543886,10286
120,0.3,0.1,0.2,0.2,1.0,33002,10140,30.7254105811769,18.688991257749272,18.688991257749272,10140
480,0.3,0.15,0.2,0.2,1.0,27603,10006,36.249683005470416,18.64759180543886,18.64759180543886,10005
480,0.3,0.1,0.35,0.2,1.7499999999999998,33002,9719,29.449730319374584,32.70573470106122,18.688991257749272,9719
360,0.3,0.1,0.25,0.15,1.6666666666666667,33002,9659,29.267923156172355,23.36123907218659,14.01674344331195,9659
360,0.3,0.15,0.25,0.2,1.25,27603,9563,34.644784987139076,23.309489756798573,18.64759180543886,9562
480,0.3,0.1,0.2,0.15,1.3333333333333335,33002,9445,28.619477607417732,18.688991257749272,14.01674344331195,9445
480,0.3,0.15,0.25,0.2,1.25,27603,9360,33.90935767851321,23.309489756798573,18.64759180543886,9360
240,0.3,0.1,0.2,0.12,1.6666666666666667,33002,9284,28.131628386158415,18.688991257749272,11.213394754649562,9284
120,0.3,0.1,0.2,0.15,1.3333333333333335,33002,9231,27.97103205866311,18.688991257749272,14.01674344331195,9230
240,0.3,0.1,0.25,0.15,1.6666666666666667,33002,9224,27.949821222956185,23.36123907218659,14.01674344331195,9224
360,0.3,0.1,0.35,0.2,1.7499999999999998,33002,9060,27.452881643536752,32.70573470106122,18.688991257749272,9059
480,0.3,0.1,0.25,0.15,1.6666666666666667,33002,8984,27.222592570147263,23.36123907218659,14.01674344331195,8984
240,0.3,0.1,0.3,0.2,1.4999999999999998,33002,8949,27.116538391612625,28.0334868866239,18.688991257749272,8948
240,0.3,0.15,0.2,0.15,1.3333333333333335,27603,8933,32.36242437416223,18.64759180543886,13.985693854079141,8933
360,0.3,0.15,0.2,0.15,1.3333333333333335,27603,8902,32.250117740825274,18.64759180543886,13.985693854079141,8902
480,0.3,0.15,0.3,0.2,1.4999999999999998,27603,8787,31.833496359091402,27.971387708158282,18.64759180543886,8787
480,0.3,0.1,0.4,0.2,2.0,33002,8784,26.616568692806496,37.377982515498545,18.688991257749272,8784
360,0.3,0.1,0.3,0.15,2.0,33002,8730,26.452942245924486,28.0334868866239,14.01674344331195,8729
240,0.3,0.15,0.25,0.2,1.25,27603,8715,31.572655146179763,23.309489756798573,18.64759180543886,8715
360,0.3,0.1,0.2,0.12,1.6666666666666667,33002,8597,26.049936367492883,18.688991257749272,11.213394754649562,8597
360,0.3,0.15,0.3,0.2,1.4999999999999998,27603,8575,31.065463898851576,27.971387708158282,18.64759180543886,8575
480,0.3,0.1,0.3,0.15,2.0,33002,8556,25.925701472638025,28.0334868866239,14.01674344331195,8556
120,0.3,0.15,0.2,0.2,1.0,27603,8422,30.51117632141434,18.64759180543886,18.64759180543886,8422
120,0.3,0.1,0.2,0.12,1.6666666666666667,33002,8332,25.246954730016363,18.688991257749272,11.213394754649562,8332
240,0.3,0.1,0.2,0.1,2.0,33002,8168,24.750015150596933,18.688991257749272,9.344495628874636,8168
360,0.3,0.15,0.25,0.15,1.6666666666666667,27603,8152,29.53302177299569,23.309489756798573,13.985693854079141,8152
480,0.3,0.15,0.35,0.2,1.7499999999999998,27603,8146,29.51128500525305,32.633285659517995,18.64759180543886,8146
480,0.3,0.15,0.2,0.15,1.3333333333333335,27603,8051,29.16711951599464,18.64759180543886,13.985693854079141,8051
360,0.3,0.2,0.2,0.2,1.0,21600,8048,37.25925925925926,18.7339088706605,18.7339088706605,8048
360,0.3,0.1,0.25,0.12,2.0833333333333335,33002,8048,24.38640082419247,23.36123907218659,11.213394754649562,8047
240,0.3,0.1,0.25,0.12,2.0833333333333335,33002,8038,24.356099630325435,23.36123907218659,11.213394754649562,8038
360,0.3,0.1,0.4,0.2,2.0,33002,7979,24.17732258650991,37.377982515498545,18.688991257749272,7979
480,0.3,0.1,0.35,0.15,2.3333333333333335,33002,7930,24.02884673656142,32.70573470106122,14.01674344331195,7930
240,0.3,0.1,0.3,0.15,2.0,33002,7898,23.931882916186897,28.0334868866239,14.01674344331195,7898
240,0.3,0.2,0.2,0.2,1.0,21600,7826,36.23148148148148,18.7339088706605,18.7339088706605,7826
360,0.3,0.1,0.35,0.15,2.3333333333333335,33002,7717,23.383431307193504,32.70573470106122,14.01674344331195,7717
240,0.3,0.15,0.2,0.12,1.6666666666666667,27603,7680,27.823062710574938,18.64759180543886,11.188555083263315,7680
240,0.3,0.15,0.25,0.15,1.6666666666666667,27603,7670,27.786834764337208,23.309489756798573,13.985693854079141,7669
480,0.3,0.2,0.2,0.2,1.0,21600,7657,35.44907407407407,18.7339088706605,18.7339088706605,7656
480,0.3,0.1,0.2,0.12,1.6666666666666667,33002,7640,23.15011211441731,18.688991257749272,11.213394754649562,7640
480,0.3,0.15,0.25,0.15,1.6666666666666667,27603,7639,27.674528131000255,23.309489756798573,13.985693854079141,7639
120,0.3,0.1,0.2,0.1,2.0,33002,7631,23.122841039936972,18.688991257749272,9.344495628874636,7631
120,0.3,0.15,0.2,0.15,1.3333333333333335,27603,7620,27.60569503314857,18.64759180543886,13.985693854079141,7620
360,0.3,0.15,0.35,0.2,1.7499999999999998,27603,7575,27.442669275078796,32.633285659517995,18.64759180543886,7575
240,0.3,0.1,0.35,0.2,1.7499999999999998,33002,7407,22.444094297315313,32.70573470106122,18.688991257749272,7407
360,0.3,0.15,0.3,0.15,2.0,27603,7384,26.750715501938195,27.971387708158282,13.985693854079141,7384
240,0.3,0.15,0.3,0.2,1.4999999999999998,27603,7377,26.725355939571788,27.971387708158282,18.64759180543886,7377
480,0.3,0.15,0.4,0.2,2.0,27603,7373,26.710864761076696,37.29518361087772,18.64759180543886,7373
480,0.3,0.1,0.25,0.12,2.0833333333333335,33002,7353,22.280467850433308,23.36123907218659,11.213394754649562,7353
360,0.3,0.1,0.3,0.12,2.5,33002,7340,22.241076298406156,28.0334868866239,11.213394754649562,7340
360,0.3,0.15,0.2,0.12,1.6666666666666667,27603,7317,26.50798826214542,18.64759180543886,11.188555083263315,7317
360,0.3,0.1,0.2,0.1,2.0,33002,7300,22.119871522938002,18.688991257749272,9.344495628874636,7300
360,0.3,0.2,0.25,0.2,1.25,21600,7283,33.717592592592595,23.417386088325625,18.7339088706605,7283
480,0.3,0.15,0.3,0.15,2.0,27603,7242,26.236278665362462,27.971387708158282,13.985693854079141,7242
120,0.3,0.1,0.25,0.2,1.25,33002,7239,21.93503424034907,23.36123907218659,18.688991257749272,7239
480,0.3,0.1,0.4,0.15,2.666666666666667,33002,7234,21.91988364341555,37.377982515498545,14.01674344331195,7234
480,0.3,0.2,0.25,0.2,1.25,21600,7180,33.24074074074074,23.417386088325625,18.7339088706605,7180
240,0.3,0.1,0.25,0.1,2.5,33002,7154,21.677474092479244,23.36123907218659,9.344495628874636,7154
240,0.3,0.1,0.3,0.12,2.5,33002,7040,21.332040482395005,28.0334868866239,11.213394754649562,7040
480,0.3,0.1,0.3,0.12,2.5,33002,7030,21.30173928852797,28.0334868866239,11.213394754649562,7030
360,0.3,0.1,0.25,0.1,2.5,33002,6896,20.895703290709655,23.36123907218659,9.344495628874636,6896
360,0.3,0.1,0.4,0.15,2.666666666666667,33002,6849,20.753287679534573,37.377982515498545,14.01674344331195,6849
120,0.3,0.15,0.2,0.12,1.6666666666666667,27603,6838,24.77266963735826,18.64759180543886,11.188555083263315,6838
240,0.3,0.2,0.2,0.15,1.3333333333333335,21600,6802,31.49074074074074,18.7339088706605,14.050431652995373,6802
360,0.3,0.15,0.25,0.12,2.0833333333333335,27603,6801,24.638626236278665,23.309489756798573,11.188555083263315,6801
360,0.3,0.2,0.2,0.15,1.3333333333333335,21600,6796,31.462962962962965,18.7339088706605,14.050431652995373,6796
240,0.3,0.15,0.2,0.1,2.0,27603,6751,24.457486505090024,18.64759180543886,9.32379590271943,6750
480,0.3,0.15,0.35,0.15,2.3333333333333335,27603,6746,24.439372531971163,32.633285659517995,13.985693854079141,6746
480,0.3,0.2,0.3,0.2,1.4999999999999998,21600,6711,31.069444444444443,28.100863305990746,18.7339088706605,6711
360,0.3,0.15,0.4,0.2,2.0,27603,6689,24.232873238416115,37.29518361087772,18.64759180543886,6689
