eh,tpx,slx,rr,pt,nt,pnl,wr,dd
480,0.65,0.3,2.166666666666667,0.4,133,1368.0053462562855,50.37593984962406,-426.6154391342043
480,0.6,0.35,1.7142857142857144,0.4,178,1281.994275282268,50.0,-379.9874854094346
360,0.6,0.25,2.4,0.45,100,1261.9147853268164,50.0,-517.4404077010977
480,0.65,0.25,2.6,0.4,136,1158.5949417624106,45.588235294117645,-291.44057469559084
480,0.65,0.3,2.166666666666667,0.45,110,1156.6846085523412,50.90909090909091,-317.4451532193216
480,0.65,0.25,2.6,0.45,113,1145.4392206728317,46.017699115044245,-267.3882136689963
360,0.6,0.25,2.4,0.4,121,1134.6515657880796,49.586776859504134,-489.8043118898577
360,0.55,0.25,2.2,0.4,152,1078.6210065738082,45.39473684210527,-281.8112815003842
480,0.65,0.25,2.6,0.5,92,1061.5629504251979,47.82608695652174,-267.2542174678392
360,0.65,0.25,2.6,0.4,97,1053.7830942106457,48.45360824742268,-298.6731132629184
360,0.5,0.25,2.0,0.4,190,1050.5640103609785,45.26315789473684,-333.2263797497553
480,0.65,0.35,1.8571428571428574,0.45,116,1048.2481717135342,48.275862068965516,-263.37637327843004
360,0.5,0.3,1.6666666666666667,0.4,190,1032.4890128805323,45.78947368421053,-255.02286294993837
360,0.55,0.25,2.2,0.45,129,1015.3985981298447,47.286821705426355,-217.4179591897746
480,0.65,0.35,1.8571428571428574,0.4,139,1012.5047430955351,48.201438848920866,-421.1915423029591
360,0.6,0.35,1.7142857142857144,0.4,126,962.959558089578,53.17460317460318,-312.87063760812134
360,0.55,0.2,2.75,0.45,114,952.4619332417192,50.0,-269.9117241582512
480,0.6,0.35,1.7142857142857144,0.45,140,942.3300967846344,48.57142857142857,-351.65143924428094
360,0.55,0.2,2.75,0.4,155,925.6216771654026,44.516129032258064,-359.4414394706455
360,0.6,0.3,2.0,0.45,98,925.4193400973531,51.02040816326531,-444.1600976600257
360,0.55,0.25,2.2,0.5,108,915.045200116343,50.0,-212.15954257502517
360,0.55,0.4,1.375,0.4,164,914.2283128818494,49.390243902439025,-441.4252995974539
480,0.7,0.3,2.3333333333333335,0.4,103,910.5037581763527,50.48543689320388,-489.00539103777464
480,0.6,0.25,2.4,0.4,172,910.2310856138151,43.604651162790695,-486.6318616429785
360,0.6,0.25,2.4,0.5,82,903.7307562715346,50.0,-451.8764033409716
360,0.5,0.2,2.5,0.4,172,877.120309927669,42.44186046511628,-232.7380663903332
360,0.65,0.25,2.6,0.45,77,870.5681897098029,48.05194805194805,-224.4539560983876
480,0.55,0.25,2.2,0.4,194,854.673030592412,40.20618556701031,-570.8840228400468
480,0.65,0.25,2.6,0.55,71,846.8053064629771,53.52112676056338,-253.789598031477
480,0.7,0.35,2.0,0.4,101,844.8803837499377,47.524752475247524,-320.90642199446347
360,0.5,0.25,2.0,0.45,158,834.0237186243698,43.037974683544306,-285.02721978127556
360,0.45,0.25,1.8,0.4,224,812.7594963475849,41.964285714285715,-390.2653010305039
360,0.6,0.3,2.0,0.4,117,798.647529306465,48.717948717948715,-636.3213649410995
360,0.45,0.3,1.5,0.4,224,793.440314727427,45.089285714285715,-412.4978581899377
480,0.7,0.25,2.8,0.4,106,768.7182159860099,45.28301886792453,-386.3551351228416
480,0.7,0.25,2.8,0.45,87,767.7768647370904,47.12643678160919,-328.30649845583685
480,0.65,0.3,2.166666666666667,0.5,91,766.6589690742826,50.54945054945055,-448.672647847553
360,0.45,0.4,1.125,0.4,216,764.3060054099651,47.22222222222222,-299.9412609584924
360,0.65,0.35,1.8571428571428574,0.45,79,763.360630025149,51.89873417721519,-243.42999010469703
360,0.65,0.2,3.25,0.4,80,759.3935958066568,43.75,-222.23165787590096
480,0.55,0.3,1.8333333333333335,0.45,155,752.0778333967537,45.16129032258064,-571.1080278145087
360,0.45,0.35,1.2857142857142858,0.4,213,747.7729584179692,46.009389671361504,-354.6932782054437
360,0.55,0.25,2.2,0.55,82,746.4647476746236,53.65853658536586,-149.16726770218793
360,0.6,0.35,1.7142857142857144,0.45,103,740.23189591857,53.398058252427184,-332.31964099493734
360,0.6,0.25,2.4,0.55,61,738.7699092557332,52.459016393442624,-280.91342659779093
360,0.65,0.25,2.6,0.5,63,738.0297734568967,47.61904761904761,-194.1209602213048
360,0.45,0.25,1.8,0.5,150,737.8137877564332,44.0,-258.29484776582376
480,0.7,0.3,2.3333333333333335,0.45,87,731.933037653027,48.275862068965516,-447.4305218138825
240,0.6,0.25,2.4,0.4,57,731.6718450309099,56.14035087719298,-135.2671616297821
480,0.6,0.35,1.7142857142857144,0.5,111,730.357399743611,52.25225225225225,-272.70123496676433
360,0.55,0.35,1.5714285714285716,0.4,165,720.5645641815026,48.484848484848484,-424.42756320196304
480,0.7,0.35,2.0,0.45,78,718.3594394517936,47.43589743589743,-201.44017259602288
240,0.55,0.2,2.75,0.4,64,708.5962284682182,54.6875,-75.9328646519134
480,0.7,0.35,2.0,0.5,66,703.082416595043,46.96969696969697,-132.67152122411017
360,0.45,0.25,1.8,0.55,121,702.0746858998327,46.28099173553719,-180.38117274105707
360,0.55,0.4,1.375,0.45,145,693.1314078242694,51.03448275862069,-434.54680968812227
360,0.6,0.4,1.4999999999999998,0.4,132,684.3582052403672,53.78787878787878,-489.91493651516475
360,0.45,0.35,1.2857142857142858,0.45,191,681.9581355268438,45.54973821989529,-364.6560757588668
360,0.6,0.35,1.7142857142857144,0.5,83,670.815917918359,54.21686746987952,-270.9389418906221
480,0.65,0.35,1.8571428571428574,0.5,99,667.3213034302444,44.44444444444444,-275.5228056279402
480,0.65,0.2,3.25,0.4,114,661.8771231960663,35.96491228070175,-372.579046140283
360,0.65,0.3,2.166666666666667,0.4,95,661.5206585175083,44.21052631578947,-386.6764648684839
