os,warm,ob,cool,slk,ros,rob,n,eh,tpx,slx,rr,pt,nt,pnl,wr,dd
0,-30,-60,-10,0,20,10,73983,480,0.7,0.25,2.8,0.4,137,458.31658218487973,38.68613138686132,-141.22471652928652
-5,-30,-60,-10,0,20,15,74306,480,0.65,0.2,3.25,0.4,179,449.71541463970925,34.63687150837989,-177.49797740440863
0,-30,-60,-10,0,15,15,74306,480,0.65,0.2,3.25,0.4,179,449.71541463970925,34.63687150837989,-177.49797740440863
0,-30,-60,-10,0,20,15,74306,480,0.65,0.2,3.25,0.4,179,449.71541463970925,34.63687150837989,-177.49797740440863
-5,-30,-60,-10,0,15,15,74306,480,0.65,0.2,3.25,0.4,179,449.71541463970925,34.63687150837989,-177.49797740440863
0,-30,-60,-10,0,20,10,73983,360,0.45,0.4,1.125,0.45,108,438.48749847826275,49.074074074074076,-149.6843133315324
0,-30,-60,-10,0,20,10,73983,480,0.7,0.35,2.0,0.4,118,438.10735300302076,45.76271186440678,-155.3955741913005
0,-30,-60,-10,0,20,10,73983,360,0.45,0.3,1.5,0.45,119,428.14566383223473,45.378151260504204,-136.46198654097316
-5,-30,-60,-10,0,15,15,74306,360,0.45,0.4,1.125,0.45,99,426.11738554585645,50.505050505050505,-156.18509214829737
0,-30,-60,-10,0,15,15,74306,360,0.45,0.4,1.125,0.45,99,426.11738554585645,50.505050505050505,-156.18509214829737
0,-30,-60,-10,0,20,15,74306,360,0.45,0.4,1.125,0.45,99,426.11738554585645,50.505050505050505,-156.18509214829737
-5,-30,-60,-10,0,20,15,74306,360,0.45,0.4,1.125,0.45,99,426.11738554585645,50.505050505050505,-156.18509214829737
0,-30,-60,-10,0,20,10,73983,360,0.45,0.35,1.2857142857142858,0.45,112,424.2151817156082,47.32142857142857,-131.13518743602435
0,-30,-60,-10,0,20,10,73983,480,0.7,0.2,3.4999999999999996,0.4,155,423.2275807676756,32.25806451612903,-135.14331457861044
0,-30,-60,-10,0,20,15,74306,360,0.45,0.35,1.2857142857142858,0.45,103,419.5223093976392,48.54368932038835,-137.62727122230172
-5,-30,-60,-10,0,20,15,74306,360,0.45,0.35,1.2857142857142858,0.45,103,419.5223093976392,48.54368932038835,-137.62727122230172
0,-30,-60,-10,0,15,15,74306,360,0.45,0.35,1.2857142857142858,0.45,103,419.5223093976392,48.54368932038835,-137.62727122230172
-5,-30,-60,-10,0,15,15,74306,360,0.45,0.35,1.2857142857142858,0.45,103,419.5223093976392,48.54368932038835,-137.62727122230172
-5,-30,-60,-10,0,15,15,74306,360,0.6,0.4,1.4999999999999998,0.4,87,418.49609089827527,47.12643678160919,-153.7605518743212
0,-30,-60,-10,0,15,15,74306,360,0.6,0.4,1.4999999999999998,0.4,87,418.49609089827527,47.12643678160919,-153.7605518743212
0,-30,-60,-10,0,20,15,74306,360,0.6,0.4,1.4999999999999998,0.4,87,418.49609089827527,47.12643678160919,-153.7605518743212
-5,-30,-60,-10,0,20,15,74306,360,0.6,0.4,1.4999999999999998,0.4,87,418.49609089827527,47.12643678160919,-153.7605518743212
0,-30,-60,-10,0,20,15,74306,360,0.45,0.3,1.5,0.45,110,411.90761830191514,46.36363636363636,-142.94606276979994
0,-30,-60,-10,0,15,15,74306,360,0.45,0.3,1.5,0.45,110,411.90761830191514,46.36363636363636,-142.94606276979994
-5,-30,-60,-10,0,15,15,74306,360,0.45,0.3,1.5,0.45,110,411.90761830191514,46.36363636363636,-142.94606276979994
-5,-30,-60,-10,0,20,15,74306,360,0.45,0.3,1.5,0.45,110,411.90761830191514,46.36363636363636,-142.94606276979994
-5,-30,-60,-10,0,20,15,74306,360,0.6,0.4,1.4999999999999998,0.45,87,409.9560908982753,47.12643678160919,-153.46055187432194
